Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-05,18.173077,[3 3] ; [62  2],[5.57142857 0.42857143] ; [59.42857143  4.57142857],1
n6,1,0.002523,9.124176,[4 2] ; [61  2],[5.65217391 0.34782609] ; [59.34782609  3.65217391],0
v1,1,0.003588,8.481572,[1 5] ; [46 16],[4.14705882 1.85294118] ; [42.85294118 19.14705882],0
p4,1,0.004908,7.913095,[3 3] ; [57  6],[5.2173913 0.7826087] ; [54.7826087  8.2173913],0
s3,1,0.005235,7.796473,[2 4] ; [52 11],[4.69565217 1.30434783] ; [49.30434783 13.69565217],0
p6,1,0.017979,5.598193,[1 4] ; [45 18],[3.38235294 1.61764706] ; [42.61764706 20.38235294],0
v4,1,0.033716,4.509038,[5 1] ; [63  1],[5.82857143 0.17142857] ; [62.17142857  1.82857143],0
r2,1,0.074747,3.175568,[4 1] ; [62  2],[4.7826087 0.2173913] ; [61.2173913  2.7826087],0
a8,1,0.117953,2.444294,[2 3] ; [ 8 51],[0.78125 4.21875] ; [ 9.21875 49.78125],0
p8,1,0.2149,1.538103,[4 2] ; [55  9],[5.05714286 0.94285714] ; [53.94285714 10.05714286],0
b4,1,0.2484,1.332282,[2 4] ; [37 27],[3.34285714 2.65714286] ; [35.65714286 28.34285714],0
s5,1,0.253104,1.306089,[2 3] ; [40 21],[3.18181818 1.81818182] ; [38.81818182 22.18181818],0
b1,1,0.277657,1.178522,[1 5] ; [25 39],[2.22857143 3.77142857] ; [23.77142857 40.22857143],0
d2,1,0.333612,0.934824,[2 4] ; [34 29],[3.13043478 2.86956522] ; [32.86956522 30.13043478],0
v3,1,0.374258,0.789478,[2 3] ; [38 25],[2.94117647 2.05882353] ; [37.05882353 25.94117647],0
d1,1,0.396387,0.71926,[3 3] ; [43 21],[3.94285714 2.05714286] ; [42.05714286 21.94285714],0
r4,1,0.458819,0.548774,[5 1] ; [59  5],[5.48571429 0.51428571] ; [58.51428571  5.48571429],0
a7,1,0.499627,0.455729,[5 1] ; [45 19],[4.28571429 1.71428571] ; [45.71428571 18.28571429],0
s6,1,0.579764,0.306616,[5 1] ; [57  6],[5.39130435 0.60869565] ; [56.60869565  6.39130435],0
d3,1,0.582355,0.302443,[5 1] ; [46 17],[4.43478261 1.56521739] ; [46.56521739 16.43478261],0
n2,1,0.61209,0.257143,[2 1] ; [12  3],[2.33333333 0.66666667] ; [11.66666667  3.33333333],0
s1,1,0.6732,0.177881,[1 5] ; [ 7 57],[0.68571429 5.31428571] ; [ 7.31428571 56.68571429],0
a6,1,0.705213,0.143106,[4 2] ; [37 26],[3.56521739 2.43478261] ; [37.43478261 25.56521739],0
a5,1,0.705684,0.142626,[5 1] ; [49 15],[4.62857143 1.37142857] ; [49.37142857 14.62857143],0
r1,1,0.770629,0.085003,[5 1] ; [56  8],[5.22857143 0.77142857] ; [55.77142857  8.22857143],0
b5,1,0.782801,0.075994,[2 4] ; [25 39],[2.31428571 3.68571429] ; [24.68571429 39.31428571],0
s8,1,0.817351,0.05334,[5 1] ; [50 13],[4.7826087 1.2173913] ; [50.2173913 12.7826087],0
v2,1,0.847231,0.037115,[3 2] ; [35 28],[2.79411765 2.20588235] ; [35.20588235 27.79411765],0
p3,1,0.886675,0.02031,[5 1] ; [51 12],[4.86956522 1.13043478] ; [51.13043478 11.86956522],0
d5,1,0.886675,0.02031,[5 1] ; [51 12],[4.86956522 1.13043478] ; [51.13043478 11.86956522],0
u1,1,0.900146,0.015744,[1 5] ; [12 52],[1.11428571 4.88571429] ; [11.88571429 52.11428571],0
b2,1,0.96236,0.002227,[3 3] ; [24 25],[2.94545455 3.05454545] ; [24.05454545 24.94545455],0
b3,1,0.96236,0.002227,[3 3] ; [24 25],[2.94545455 3.05454545] ; [24.05454545 24.94545455],0
a3,1,0.974179,0.001048,[5 1] ; [53 11],[4.97142857 1.02857143] ; [53.02857143 10.97142857],0
