Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000166,14.186176,[ 9 16] ; [16  1],[14.88095238 10.11904762] ; [10.11904762  6.88095238],1
b4,1,0.001044,10.748512,[20  5] ; [ 5 12],[14.88095238 10.11904762] ; [10.11904762  6.88095238],0
p5,1,0.007559,7.135059,[ 1 24] ; [ 6 11],[ 4.16666667 20.83333333] ; [ 2.83333333 14.16666667],0
p7,1,0.027769,4.842353,[ 9 16] ; [12  5],[12.5 12.5] ; [8.5 8.5],0
d3,1,0.045761,3.990378,[18  7] ; [ 7 10],[14.88095238 10.11904762] ; [10.11904762  6.88095238],0
s4,1,0.067605,3.340235,[ 2 23] ; [ 5 12],[ 4.16666667 20.83333333] ; [ 2.83333333 14.16666667],0
p6,1,0.068526,3.317978,[ 4 21] ; [ 7 10],[ 6.54761905 18.45238095] ; [ 4.45238095 12.54761905],0
s5,1,0.070938,3.261176,[ 3 22] ; [ 6 11],[ 5.35714286 19.64285714] ; [ 3.64285714 13.35714286],0
v4,1,0.075355,3.162353,[14 11] ; [14  3],[16.66666667  8.33333333] ; [11.33333333  5.66666667],0
b5,1,0.084668,2.972941,[17  8] ; [ 7 10],[14.28571429 10.71428571] ; [9.71428571 7.28571429],0
u2,1,0.088158,2.907692,[11  2] ; [4 4],[9.28571429 3.71428571] ; [5.71428571 2.28571429],0
n1,1,0.0994,2.715152,[1 9] ; [2 2],[2.14285714 7.85714286] ; [0.85714286 3.14285714],0
p8,1,0.102308,2.669186,[ 7 18] ; [9 8],[ 9.52380952 15.47619048] ; [ 6.47619048 10.52380952],0
a7,1,0.102308,2.669186,[18  7] ; [8 9],[15.47619048  9.52380952] ; [10.52380952  6.47619048],0
s7,1,0.109781,2.557367,[ 5 16] ; [7 7],[ 7.2 13.8] ; [4.8 9.2],0
b1,1,0.146508,2.108235,[12 13] ; [12  5],[14.28571429 10.71428571] ; [9.71428571 7.28571429],0
n5,1,0.174144,1.846902,[14 11] ; [13  4],[16.07142857  8.92857143] ; [10.92857143  6.07142857],0
s3,1,0.184797,1.758616,[ 5 18] ; [ 7 10],[ 6.9 16.1] ; [ 5.1 11.9],0
p2,1,0.196243,1.670118,[16  9] ; [14  3],[17.85714286  7.14285714] ; [12.14285714  4.85714286],0
n4,1,0.26638,1.235294,[15 10] ; [13  4],[16.66666667  8.33333333] ; [11.33333333  5.66666667],0
s8,1,0.299064,1.078365,[ 8 17] ; [ 3 14],[ 6.54761905 18.45238095] ; [ 4.45238095 12.54761905],0
d4,1,0.325062,0.968471,[22  3] ; [13  4],[20.83333333  4.16666667] ; [14.16666667  2.83333333],0
s2,1,0.331382,0.943491,[ 4 20] ; [ 5 12],[ 5.26829268 18.73170732] ; [ 3.73170732 13.26829268],0
p10,1,0.349898,0.873828,[12 12] ; [11  6],[13.46341463 10.53658537] ; [9.53658537 7.46341463],0
b2,1,0.350045,0.873294,[ 4 12] ; [5 7],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
b3,1,0.350045,0.873294,[ 4 12] ; [5 7],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
v3,1,0.373922,0.790588,[ 7 18] ; [ 7 10],[ 8.33333333 16.66666667] ; [ 5.66666667 11.33333333],0
r4,1,0.373922,0.790588,[ 7 18] ; [ 7 10],[ 8.33333333 16.66666667] ; [ 5.66666667 11.33333333],0
v2,1,0.443986,0.585958,[14 11] ; [7 9],[12.80487805 12.19512195] ; [8.19512195 7.80487805],0
n3,1,0.480478,0.497778,[7 3] ; [2 2],[6.42857143 3.57142857] ; [2.57142857 1.42857143],0
a2,1,0.507362,0.439505,[ 3 22] ; [ 1 16],[ 2.38095238 22.61904762] ; [ 1.61904762 15.38095238],0
p9,1,0.524091,0.405835,[14  9] ; [12  5],[14.95  8.05] ; [11.05  5.95],0
v1,1,0.542385,0.371137,[ 8 17] ; [ 7 10],[ 8.92857143 16.07142857] ; [ 6.07142857 10.92857143],0
d2,1,0.572614,0.318328,[11 14] ; [ 6 11],[10.11904762 14.88095238] ; [ 6.88095238 10.11904762],0
u3,1,0.603848,0.269231,[5 8] ; [4 4],[5.57142857 7.42857143] ; [3.42857143 4.57142857],0
a5,1,0.650014,0.205882,[15 10] ; [9 8],[14.28571429 10.71428571] ; [9.71428571 7.28571429],0
r1,1,0.650014,0.205882,[10 15] ; [8 9],[10.71428571 14.28571429] ; [7.28571429 9.71428571],0
n6,1,0.656627,0.197647,[16  9] ; [12  5],[16.66666667  8.33333333] ; [11.33333333  5.66666667],0
d1,1,0.662763,0.190184,[12 13] ; [ 7 10],[11.30952381 13.69047619] ; [7.69047619 9.30952381],0
p12,1,0.683296,0.16644,[ 2 23] ; [ 2 15],[ 2.38095238 22.61904762] ; [ 1.61904762 15.38095238],0
a8,1,0.686884,0.162479,[ 3 20] ; [ 3 14],[ 3.45 19.55] ; [ 2.55 14.45],0
r3,1,0.746355,0.10462,[18  7] ; [13  4],[18.45238095  6.54761905] ; [12.54761905  4.45238095],0
s6,1,0.753246,0.098824,[13 12] ; [8 9],[12.5 12.5] ; [8.5 8.5],0
a3,1,0.753246,0.098824,[12 13] ; [9 8],[12.5 12.5] ; [8.5 8.5],0
u1,1,0.793657,0.068416,[ 2 23] ; [ 1 16],[ 1.78571429 23.21428571] ; [ 1.21428571 15.78571429],0
a4,1,0.82409,0.049412,[ 8 17] ; [ 6 11],[ 8.33333333 16.66666667] ; [ 5.66666667 11.33333333],0
a6,1,0.845006,0.038218,[14 11] ; [9 8],[13.69047619 11.30952381] ; [9.30952381 7.69047619],0
p11,1,0.858648,0.031718,[17  8] ; [12  5],[17.26190476  7.73809524] ; [11.73809524  5.26190476],0
