Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000146,14.429473,[12 19] ; [33  7],[19.64788732 11.35211268] ; [25.35211268 14.64788732],1
r3,1,0.049807,3.847941,[24  7] ; [22 18],[20.08450704 10.91549296] ; [25.91549296 14.08450704],0
u3,1,0.052539,3.758523,[6 5] ; [ 3 13],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
s5,1,0.095774,2.774551,[ 8 23] ; [ 4 34],[ 5.39130435 25.60869565] ; [ 6.60869565 31.39130435],0
v4,1,0.114287,2.493912,[22  9] ; [21 19],[18.77464789 12.22535211] ; [24.22535211 15.77464789],0
b1,1,0.116256,2.46705,[19 12] ; [17 23],[15.71830986 15.28169014] ; [20.28169014 19.71830986],0
n6,1,0.132535,2.262553,[16 15] ; [27 12],[19.04285714 11.95714286] ; [23.95714286 15.04285714],0
s6,1,0.202198,1.626423,[13 18] ; [11 29],[10.47887324 20.52112676] ; [13.52112676 26.47887324],0
a6,1,0.213745,1.545876,[14 17] ; [24 16],[16.5915493 14.4084507] ; [21.4084507 18.5915493],0
s2,1,0.227714,1.455085,[11 20] ; [ 9 31],[ 8.73239437 22.26760563] ; [11.26760563 28.73239437],0
p4,1,0.238967,1.386677,[10 21] ; [ 8 32],[ 7.85915493 23.14084507] ; [10.14084507 29.85915493],0
r4,1,0.255054,1.295405,[15 16] ; [14 26],[12.66197183 18.33802817] ; [16.33802817 23.66197183],0
u1,1,0.268522,1.224282,[ 1 30] ; [ 4 36],[ 2.18309859 28.81690141] ; [ 2.81690141 37.18309859],0
n1,1,0.295694,1.093514,[4 9] ; [8 8],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
a5,1,0.309342,1.033485,[20 11] ; [21 19],[17.90140845 13.09859155] ; [23.09859155 16.90140845],0
v3,1,0.408714,0.682537,[ 5 24] ; [10 29],[ 6.39705882 22.60294118] ; [ 8.60294118 30.39705882],0
b2,1,0.434863,0.6098,[ 7 12] ; [14 15],[ 8.3125 10.6875] ; [12.6875 16.3125],0
b3,1,0.434863,0.6098,[ 7 12] ; [14 15],[ 8.3125 10.6875] ; [12.6875 16.3125],0
p6,1,0.435403,0.608367,[ 4 26] ; [ 8 31],[ 5.2173913 24.7826087] ; [ 6.7826087 32.2173913],0
s1,1,0.44878,0.573731,[ 4 27] ; [ 3 37],[ 3.05633803 27.94366197] ; [ 3.94366197 36.05633803],0
r2,1,0.452188,0.565161,[20 11] ; [27 10],[21.42647059  9.57352941] ; [25.57352941 11.42647059],0
n3,1,0.464214,0.535714,[6 8] ; [9 7],[7. 7.] ; [8. 8.],0
a1,1,0.503772,0.446982,[ 3 28] ; [ 6 34],[ 3.92957746 27.07042254] ; [ 5.07042254 34.92957746],0
n2,1,0.51043,0.433185,[8 6] ; [11  5],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
p8,1,0.510961,0.432099,[ 8 22] ; [ 8 32],[ 6.85714286 23.14285714] ; [ 9.14285714 30.85714286],0
s3,1,0.514654,0.424593,[11 20] ; [11 28],[ 9.74285714 21.25714286] ; [12.25714286 26.74285714],0
a7,1,0.539583,0.376313,[14 17] ; [21 19],[15.28169014 15.71830986] ; [19.71830986 20.28169014],0
p9,1,0.542567,0.370804,[13 15] ; [20 17],[14.21538462 13.78461538] ; [18.78461538 18.21538462],0
u2,1,0.579639,0.306818,[3 8] ; [ 6 10],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
a4,1,0.590544,0.289495,[10 21] ; [15 24],[11.07142857 19.92857143] ; [13.92857143 25.07142857],0
b5,1,0.5946,0.283218,[19 12] ; [22 18],[17.90140845 13.09859155] ; [23.09859155 16.90140845],0
s4,1,0.627237,0.235826,[ 6 25] ; [ 6 34],[ 5.23943662 25.76056338] ; [ 6.76056338 33.23943662],0
p11,1,0.640236,0.218434,[13 18] ; [19 21],[13.97183099 17.02816901] ; [18.02816901 21.97183099],0
b4,1,0.662356,0.190674,[17 14] ; [24 16],[17.90140845 13.09859155] ; [23.09859155 16.90140845],0
p7,1,0.663063,0.189824,[10 21] ; [11 29],[ 9.16901408 21.83098592] ; [11.83098592 28.16901408],0
s7,1,0.663864,0.188864,[ 7 21] ; [ 8 31],[ 6.26865672 21.73134328] ; [ 8.73134328 30.26865672],0
s8,1,0.675738,0.174964,[ 5 26] ; [ 8 32],[ 5.67605634 25.32394366] ; [ 7.32394366 32.67605634],0
p1,1,0.675738,0.174964,[ 5 26] ; [ 8 32],[ 5.67605634 25.32394366] ; [ 7.32394366 32.67605634],0
a3,1,0.697443,0.151146,[20 11] ; [24 16],[19.21126761 11.78873239] ; [24.78873239 15.21126761],0
a2,1,0.709109,0.139169,[ 3 28] ; [ 5 35],[ 3.49295775 27.50704225] ; [ 4.50704225 35.49295775],0
p5,1,0.717034,0.131352,[ 1 29] ; [ 2 37],[ 1.30434783 28.69565217] ; [ 1.69565217 37.30434783],0
d4,1,0.808596,0.058679,[21 10] ; [26 14],[20.52112676 10.47887324] ; [26.47887324 13.52112676],0
p10,1,0.815379,0.054519,[13 17] ; [18 21],[13.47826087 16.52173913] ; [17.52173913 21.47826087],0
p3,1,0.872152,0.025897,[ 7 23] ; [10 30],[ 7.28571429 22.71428571] ; [ 9.71428571 30.28571429],0
d2,1,0.893956,0.017769,[15 16] ; [19 19],[15.27536232 15.72463768] ; [18.72463768 19.27536232],0
d5,1,0.917061,0.010844,[19 12] ; [25 15],[19.21126761 11.78873239] ; [24.78873239 15.21126761],0
d3,1,0.940842,0.005507,[15 16] ; [19 21],[14.84507042 16.15492958] ; [19.15492958 20.84507042],0
d1,1,0.961908,0.002281,[13 18] ; [17 23],[13.09859155 17.90140845] ; [16.90140845 23.09859155],0
v1,1,0.993832,6e-05,[ 9 22] ; [11 27],[ 8.98550725 22.01449275] ; [11.01449275 26.98550725],0
v2,1,1.0,0.0,[10 20] ; [12 24],[10. 20.] ; [12. 24.],0
