Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,26.01014,[117   8] ; [50 26],[103.85572139  21.14427861] ; [63.14427861 12.85572139],1
p11,1,2e-06,22.978421,[94 32] ; [31 45],[77.97029703 48.02970297] ; [47.02970297 28.97029703],1
r3,1,3e-06,22.004684,[113  12] ; [48 28],[100.12437811  24.87562189] ; [60.87562189 15.12437811],1
p6,1,1.6e-05,18.584526,[36 88] ; [ 3 72],[24.30150754 99.69849246] ; [14.69849246 60.30150754],1
r4,1,3.1e-05,17.378965,[100  26] ; [39 37],[86.7029703 39.2970297] ; [52.2970297 23.7029703],1
p7,1,3.5e-05,17.133603,[68 57] ; [18 56],[54.0201005 70.9798995] ; [31.9798995 42.0201005],1
n6,1,4e-05,16.868791,[99 27] ; [38 37],[85.88059701 40.11940299] ; [51.11940299 23.88059701],1
p9,1,8.2e-05,15.520408,[90 36] ; [31 41],[77. 49.] ; [44. 28.],1
p4,1,8.9e-05,15.356071,[52 73] ; [11 63],[39.57286432 85.42713568] ; [23.42713568 50.57286432],1
a1,1,0.001163,10.548707,[  1 125] ; [ 8 68],[  5.61386139 120.38613861] ; [ 3.38613861 72.61386139],0
p8,1,0.001206,10.481283,[53 72] ; [15 60],[42.5 82.5] ; [25.5 49.5],0
s1,1,0.008107,7.009585,[  1 123] ; [ 6 70],[  4.34 119.66] ; [ 2.66 73.34],0
p10,1,0.008123,7.006162,[82 44] ; [34 40],[73.08 52.92] ; [42.92 31.08],0
d3,1,0.008835,6.855883,[82 42] ; [36 40],[73.16 50.84] ; [44.84 31.16],0
s7,1,0.009011,6.820737,[30 88] ; [ 7 64],[23.1005291 94.8994709] ; [13.8994709 57.1005291],0
p3,1,0.019929,5.418099,[42 83] ; [14 62],[34.82587065 90.17412935] ; [21.17412935 54.82587065],0
s2,1,0.029174,4.757334,[ 24 101] ; [ 6 70],[ 18.65671642 106.34328358] ; [11.34328358 64.65671642],0
a7,1,0.032584,4.567524,[87 37] ; [42 34],[79.98 44.02] ; [49.02 26.98],0
b5,1,0.041088,4.172384,[75 51] ; [34 42],[67.99009901 58.00990099] ; [41.00990099 34.99009901],0
s8,1,0.075922,3.150097,[ 21 105] ; [ 6 70],[ 16.84158416 109.15841584] ; [10.15841584 65.84158416],0
n3,1,0.084956,2.967438,[27 11] ; [18 17],[23.42465753 14.57534247] ; [21.57534247 13.42465753],0
b1,1,0.111808,2.528477,[47 79] ; [37 39],[52.3960396 73.6039604] ; [31.6039604 44.3960396],0
n1,1,0.119954,2.417916,[ 9 27] ; [16 22],[12.16216216 23.83783784] ; [12.83783784 25.16216216],0
v2,1,0.195005,1.679396,[47 74] ; [21 50],[42.85416667 78.14583333] ; [25.14583333 45.85416667],0
r2,1,0.200062,1.641923,[108  17] ; [58 15],[104.7979798  20.2020202] ; [61.2020202 11.7979798],0
s4,1,0.21003,1.571221,[ 13 113] ; [ 4 72],[ 10.6039604 115.3960396] ; [ 6.3960396 69.6039604],0
r1,1,0.219838,1.505429,[79 47] ; [41 35],[74.85148515 51.14851485] ; [45.14851485 30.85148515],0
s3,1,0.239072,1.386057,[34 90] ; [15 60],[30.53266332 93.46733668] ; [18.46733668 56.53266332],0
u1,1,0.277371,1.179926,[ 12 114] ; [ 4 72],[  9.98019802 116.01980198] ; [ 6.01980198 69.98019802],0
p5,1,0.289526,1.121823,[  1 125] ; [ 2 73],[  1.88059701 124.11940299] ; [ 1.11940299 73.88059701],0
n5,1,0.300315,1.072797,[69 56] ; [47 28],[72.5 52.5] ; [43.5 31.5],0
a6,1,0.307194,1.042701,[82 44] ; [44 32],[78.59405941 47.40594059] ; [47.40594059 28.59405941],0
u3,1,0.343124,0.898724,[21 28] ; [10 21],[18.9875 30.0125] ; [12.0125 18.9875],0
d5,1,0.494428,0.466875,[88 37] ; [50 26],[85.82089552 39.17910448] ; [52.17910448 23.82089552],0
d2,1,0.525235,0.403602,[50 75] ; [33 41],[52.13567839 72.86432161] ; [30.86432161 43.13567839],0
b4,1,0.579628,0.306836,[73 53] ; [41 35],[71.10891089 54.89108911] ; [42.89108911 33.10891089],0
p1,1,0.609596,0.260764,[  9 116] ; [ 7 69],[  9.95024876 115.04975124] ; [ 6.04975124 69.95024876],0
v3,1,0.623144,0.241474,[29 94] ; [15 58],[27.6122449 95.3877551] ; [16.3877551 56.6122449],0
a4,1,0.674684,0.176172,[45 81] ; [29 46],[46.3880597 79.6119403] ; [27.6119403 47.3880597],0
