Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.4e-05,16.685884,[57  2] ; [18 10],[50.86206897  8.13793103] ; [24.13793103  3.86206897],1
v4,1,0.015543,5.85387,[56  2] ; [21  5],[53.16666667  4.83333333] ; [23.83333333  2.16666667],0
r2,1,0.017256,5.670112,[57  2] ; [22  5],[54.19767442  4.80232558] ; [24.80232558  2.19767442],0
v3,1,0.018975,5.503844,[26 32] ; [ 5 22],[21.15294118 36.84705882] ; [ 9.84705882 17.15294118],0
r3,1,0.020465,5.371765,[57  2] ; [23  5],[54.25287356  4.74712644] ; [25.74712644  2.25287356],0
s6,1,0.027806,4.840074,[45 13] ; [14 12],[40.73809524 17.26190476] ; [18.26190476  7.73809524],0
n4,1,0.03851,4.282348,[48 11] ; [17 11],[44.08045977 14.91954023] ; [20.91954023  7.08045977],0
a7,1,0.057511,3.607759,[38 21] ; [12 16],[33.90804598 25.09195402] ; [16.09195402 11.90804598],0
v1,1,0.102519,2.665919,[29 28] ; [ 9 19],[25.48235294 31.51764706] ; [12.51764706 15.48235294],0
p9,1,0.161901,1.956384,[40 19] ; [23  5],[42.72413793 16.27586207] ; [20.27586207  7.72413793],0
p1,1,0.176989,1.822731,[11 48] ; [ 2 25],[ 8.91860465 50.08139535] ; [ 4.08139535 22.91860465],0
p5,1,0.179894,1.798498,[ 8 51] ; [ 1 25],[ 6.24705882 52.75294118] ; [ 2.75294118 23.24705882],0
p12,1,0.193238,1.692753,[ 1 58] ; [ 2 26],[ 2.03448276 56.96551724] ; [ 0.96551724 27.03448276],0
a3,1,0.24767,1.336397,[31 28] ; [11 17],[28.48275862 30.51724138] ; [13.51724138 14.48275862],0
b2,1,0.250302,1.321618,[ 7 31] ; [ 1 15],[ 5.62962963 32.37037037] ; [ 2.37037037 13.62962963],0
b3,1,0.250302,1.321618,[ 7 31] ; [ 1 15],[ 5.62962963 32.37037037] ; [ 2.37037037 13.62962963],0
d3,1,0.256001,1.290254,[22 37] ; [ 7 21],[19.66666667 39.33333333] ; [ 9.33333333 18.66666667],0
n2,1,0.264616,1.244444,[14  1] ; [7 2],[13.125  1.875] ; [7.875 1.125],0
v2,1,0.286321,1.136842,[26 31] ; [ 9 18],[23.75 33.25] ; [11.25 15.75],0
s7,1,0.310318,1.029323,[32 23] ; [12 14],[29.87654321 25.12345679] ; [14.12345679 11.87654321],0
a5,1,0.327508,0.958727,[34 25] ; [13 15],[31.87356322 27.12643678] ; [15.12643678 12.87356322],0
u3,1,0.335782,0.926471,[14 14] ; [ 6 11],[12.44444444 15.55555556] ; [7.55555556 9.44444444],0
n5,1,0.345622,0.889465,[43 16] ; [23  5],[44.75862069 14.24137931] ; [21.24137931  6.75862069],0
p11,1,0.413209,0.66955,[43 16] ; [18 10],[41.36781609 17.63218391] ; [19.63218391  8.36781609],0
n1,1,0.47191,0.5175,[6 9] ; [2 6],[5.2173913 9.7826087] ; [2.7826087 5.2173913],0
p2,1,0.588844,0.292153,[45 14] ; [22  5],[45.96511628 13.03488372] ; [21.03488372  5.96511628],0
s5,1,0.599119,0.276326,[16 42] ; [ 6 21],[15.01176471 42.98823529] ; [ 6.98823529 20.01176471],0
a6,1,0.603982,0.269032,[33 26] ; [14 14],[31.87356322 27.12643678] ; [15.12643678 12.87356322],0
s2,1,0.623995,0.240292,[39 20] ; [17 11],[37.97701149 21.02298851] ; [18.02298851  9.97701149],0
a4,1,0.626442,0.236916,[13 45] ; [ 5 23],[12.13953488 45.86046512] ; [ 5.86046512 22.13953488],0
b1,1,0.657554,0.196509,[24 35] ; [10 18],[23.05747126 35.94252874] ; [10.94252874 17.05747126],0
p7,1,0.681817,0.168088,[36 22] ; [18  9],[36.84705882 21.15294118] ; [17.15294118  9.84705882],0
s4,1,0.68413,0.165514,[15 44] ; [ 6 22],[14.24137931 44.75862069] ; [ 6.75862069 21.24137931],0
b4,1,0.687505,0.1618,[31 28] ; [16 12],[31.87356322 27.12643678] ; [15.12643678 12.87356322],0
s8,1,0.687505,0.1618,[28 31] ; [12 16],[27.12643678 31.87356322] ; [12.87356322 15.12643678],0
p6,1,0.710035,0.138242,[17 42] ; [ 7 21],[16.27586207 42.72413793] ; [ 7.72413793 20.27586207],0
d1,1,0.752864,0.099141,[ 3 56] ; [ 1 27],[ 2.71264368 56.28735632] ; [ 1.28735632 26.71264368],0
a2,1,0.752864,0.099141,[ 3 56] ; [ 1 27],[ 2.71264368 56.28735632] ; [ 1.28735632 26.71264368],0
b5,1,0.812238,0.056425,[30 29] ; [15 13],[30.51724138 28.48275862] ; [14.48275862 13.51724138],0
s1,1,0.814319,0.055158,[ 5 53] ; [ 2 26],[ 4.72093023 53.27906977] ; [ 2.27906977 25.72093023],0
n3,1,0.825381,0.048677,[12  2] ; [8 1],[12.17391304  1.82608696] ; [7.82608696 1.17391304],0
a8,1,0.833942,0.043953,[ 7 46] ; [ 3 23],[ 6.70886076 46.29113924] ; [ 3.29113924 22.70886076],0
u2,1,0.847846,0.036813,[ 9 19] ; [ 5 12],[ 8.71111111 19.28888889] ; [ 5.28888889 11.71111111],0
p3,1,0.896427,0.016946,[24 34] ; [12 16],[24.27906977 33.72093023] ; [11.72093023 16.27906977],0
n6,1,0.916578,0.010972,[49 10] ; [23  5],[48.82758621 10.17241379] ; [23.17241379  4.82758621],0
p4,1,0.92842,0.00807,[31 28] ; [15 13],[31.1954023 27.8045977] ; [14.8045977 13.1954023],0
d2,1,0.949094,0.004076,[13 46] ; [ 6 22],[12.88505747 46.11494253] ; [ 6.11494253 21.88505747],0
d5,1,0.953574,0.00339,[27 32] ; [13 15],[27.12643678 31.87356322] ; [12.87356322 15.12643678],0
p10,1,0.995007,3.9e-05,[43 15] ; [20  7],[42.98823529 15.01176471] ; [20.01176471  6.98823529],0
p8,1,0.995612,3e-05,[24 35] ; [11 16],[24.01162791 34.98837209] ; [10.98837209 16.01162791],0
