Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.002174,9.396307,[ 1 10] ; [11  5],[4.88888889 6.11111111] ; [7.11111111 8.88888889],0
v4,1,0.016057,5.796672,[6 5] ; [15  1],[8.55555556 2.44444444] ; [12.44444444  3.55555556],0
p10,1,0.018728,5.526764,[5 6] ; [14  2],[7.74074074 3.25925926] ; [11.25925926  4.74074074],0
p6,1,0.026716,4.909091,[ 1 10] ; [8 8],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
p4,1,0.044685,4.030475,[4 7] ; [12  4],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
r4,1,0.052634,3.755495,[ 1 10] ; [7 9],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
r2,1,0.054864,3.686201,[6 5] ; [14  2],[8.14814815 2.85185185] ; [11.85185185  4.14814815],0
p7,1,0.07956,3.073874,[4 7] ; [10  4],[6.16 4.84] ; [7.84 6.16],0
d1,1,0.16612,1.917614,[2 9] ; [7 9],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
p5,1,0.173566,1.851867,[ 1 10] ; [ 5 11],[2.44444444 8.55555556] ; [ 3.55555556 12.44444444],0
u2,1,0.200751,1.636905,[1 2] ; [6 2],[1.90909091 1.09090909] ; [5.09090909 2.90909091],0
v2,1,0.233703,1.418182,[2 9] ; [6 9],[3.38461538 7.61538462] ; [ 4.61538462 10.38461538],0
p3,1,0.237625,1.394628,[3 8] ; [8 8],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
s2,1,0.237625,1.394628,[3 8] ; [8 8],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
a3,1,0.237625,1.394628,[8 3] ; [8 8],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
s5,1,0.267938,1.227273,[5 6] ; [ 4 12],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
a4,1,0.267938,1.227273,[5 6] ; [ 4 12],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
s8,1,0.280077,1.166717,[2 9] ; [ 6 10],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
p9,1,0.304807,1.053044,[7 4] ; [13  3],[8.14814815 2.85185185] ; [11.85185185  4.14814815],0
s6,1,0.309558,1.032561,[7 4] ; [7 9],[5.7037037 5.2962963] ; [8.2962963 7.7037037],0
n6,1,0.352704,0.863705,[7 4] ; [12  3],[8.03846154 2.96153846] ; [10.96153846  4.03846154],0
d3,1,0.381133,0.767045,[5 6] ; [10  6],[6.11111111 4.88888889] ; [8.88888889 7.11111111],0
n1,1,0.416448,0.660317,[2 1] ; [4 6],[1.38461538 1.61538462] ; [4.61538462 5.38461538],0
n3,1,0.416448,0.660317,[2 1] ; [4 6],[1.38461538 1.61538462] ; [4.61538462 5.38461538],0
n4,1,0.452651,0.564004,[6 5] ; [11  5],[6.92592593 4.07407407] ; [10.07407407  5.92592593],0
v1,1,0.483522,0.490909,[4 7] ; [8 8],[4.88888889 6.11111111] ; [7.11111111 8.88888889],0
b4,1,0.52518,0.403708,[7 4] ; [12  4],[7.74074074 3.25925926] ; [11.25925926  4.74074074],0
b2,1,0.576999,0.311111,[2 7] ; [4 8],[2.57142857 6.42857143] ; [3.42857143 8.57142857],0
b3,1,0.576999,0.311111,[2 7] ; [4 8],[2.57142857 6.42857143] ; [3.42857143 8.57142857],0
d2,1,0.581206,0.304289,[6 5] ; [7 9],[5.2962963 5.7037037] ; [7.7037037 8.2962963],0
s4,1,0.600698,0.273945,[3 8] ; [ 3 13],[2.44444444 8.55555556] ; [ 3.55555556 12.44444444],0
p2,1,0.675422,0.175325,[9 2] ; [12  4],[8.55555556 2.44444444] ; [12.44444444  3.55555556],0
d5,1,0.679365,0.170842,[6 5] ; [10  6],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
a6,1,0.679365,0.170842,[6 5] ; [10  6],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
d4,1,0.679365,0.170842,[6 5] ; [10  6],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
p1,1,0.683017,0.166749,[2 9] ; [ 2 14],[1.62962963 9.37037037] ; [ 2.37037037 13.62962963],0
r1,1,0.701122,0.147308,[4 7] ; [7 9],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
s3,1,0.742174,0.108225,[4 7] ; [6 8],[4.4 6.6] ; [5.6 8.4],0
b5,1,0.781814,0.076705,[7 4] ; [11  5],[7.33333333 3.66666667] ; [10.66666667  5.33333333],0
a2,1,0.781814,0.076705,[ 1 10] ; [ 2 14],[1.22222222 9.77777778] ; [ 1.77777778 14.22222222],0
b1,1,0.816334,0.053946,[5 6] ; [8 8],[5.2962963 5.7037037] ; [7.7037037 8.2962963],0
a5,1,0.824016,0.049454,[8 3] ; [11  5],[7.74074074 3.25925926] ; [11.25925926  4.74074074],0
s7,1,0.850646,0.035455,[4 6] ; [7 9],[4.23076923 5.76923077] ; [6.76923077 9.23076923],0
n5,1,0.89466,0.017532,[8 3] ; [12  4],[8.14814815 2.85185185] ; [11.85185185  4.14814815],0
v3,1,0.90748,0.013506,[2 9] ; [ 3 12],[2.11538462 8.88461538] ; [ 2.88461538 12.11538462],0
