Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00224,9.341379,[33  6] ; [100  71],[24.7 14.3] ; [108.3  62.7],0
s7,1,0.002737,8.97486,[29 11] ; [79 92],[20.47393365 19.52606635] ; [87.52606635 83.47393365],0
s5,1,0.005699,7.643171,[21 16] ; [ 55 114],[13.65048544 23.34951456] ; [ 62.34951456 106.65048544],0
b5,1,0.009937,6.646154,[11 29] ; [88 88],[18.33333333 21.66666667] ; [80.66666667 95.33333333],0
s3,1,0.010952,6.473082,[29 10] ; [91 84],[21.86915888 17.13084112] ; [98.13084112 76.86915888],0
b3,1,0.014188,6.014617,[ 5 19] ; [59 64],[10.44897959 13.55102041] ; [53.55102041 69.44897959],0
b2,1,0.014188,6.014617,[ 5 19] ; [59 64],[10.44897959 13.55102041] ; [53.55102041 69.44897959],0
s2,1,0.019349,5.469723,[25 14] ; [76 99],[18.40654206 20.59345794] ; [82.59345794 92.40654206],0
v2,1,0.020502,5.368644,[12 26] ; [88 80],[18.44660194 19.55339806] ; [81.55339806 86.44660194],0
a8,1,0.072473,3.226106,[ 1 37] ; [ 21 145],[ 4.09803922 33.90196078] ; [ 17.90196078 148.09803922],0
s1,1,0.087714,2.915833,[ 3 36] ; [  4 170],[ 1.28169014 37.71830986] ; [  5.71830986 168.28169014],0
p8,1,0.090129,2.872059,[24 15] ; [80 92],[19.22274882 19.77725118] ; [84.77725118 87.22274882],0
v3,1,0.104614,2.633753,[10 29] ; [ 68 104],[14.41706161 24.58293839] ; [ 63.58293839 108.41706161],0
u1,1,0.117821,2.446055,[ 4 36] ; [  7 169],[ 2.03703704 37.96296296] ; [  8.96296296 167.03703704],0
n2,1,0.148445,2.088153,[12  1] ; [33 12],[10.0862069  2.9137931] ; [34.9137931 10.0862069],0
p7,1,0.152371,2.048351,[29 10] ; [107  65],[25.13744076 13.86255924] ; [110.86255924  61.13744076],0
u3,1,0.171725,1.867816,[9 6] ; [20 30],[6.69230769 8.30769231] ; [22.30769231 27.69230769],0
p3,1,0.188438,1.729789,[23 17] ; [80 94],[19.25233645 20.74766355] ; [83.74766355 90.25233645],0
a3,1,0.257822,1.280415,[25 15] ; [126  50],[27.96296296 12.03703704] ; [123.03703704  52.96296296],0
d3,1,0.264082,1.247233,[20 20] ; [ 71 105],[16.85185185 23.14814815] ; [ 74.14814815 101.85185185],0
p1,1,0.29612,1.091587,[ 5 35] ; [ 13 162],[ 3.34883721 36.65116279] ; [ 14.65116279 160.34883721],0
