Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,23.574836,[ 50 272] ; [19 21],[ 61.37569061 260.62430939] ; [ 7.62430939 32.37569061],1
p12,1,2.2e-05,18.043236,[ 11 315] ; [ 8 35],[ 16.78590786 309.21409214] ; [ 2.21409214 40.78590786],1
s7,1,0.000196,13.872384,[ 77 237] ; [21 19],[ 86.92655367 227.07344633] ; [11.07344633 28.92655367],1
p3,1,0.00062,11.713899,[148 179] ; [32 12],[158.65229111 168.34770889] ; [21.34770889 22.65229111],1
p4,1,0.001564,10.001439,[169 156] ; [34 10],[178.79403794 146.20596206] ; [24.20596206 19.79403794],0
p1,1,0.002008,9.542608,[ 22 305] ; [ 9 35],[ 27.32345013 299.67654987] ; [ 3.67654987 40.32345013],0
s8,1,0.01304,6.163681,[ 83 244] ; [19 25],[ 89.90296496 237.09703504] ; [12.09703504 31.90296496],0
p6,1,0.013569,6.093366,[ 93 229] ; [20 22],[ 99.96153846 222.03846154] ; [13.03846154 28.96153846],0
p10,1,0.026728,4.908327,[279  47] ; [42  1],[283.59349593  42.40650407] ; [37.40650407  5.59349593],0
p8,1,0.028679,4.78675,[170 151] ; [31 13],[176.76986301 144.23013699] ; [24.23013699 19.76986301],0
b5,1,0.036691,4.364703,[203 125] ; [20 24],[196.62365591 131.37634409] ; [26.37634409 17.62365591],0
v3,1,0.040136,4.212138,[108 211] ; [21 21],[113.99168975 205.00831025] ; [15.00831025 26.99168975],0
p7,1,0.040886,4.18074,[196 127] ; [33 10],[202.09562842 120.90437158] ; [26.90437158 16.09562842],0
s6,1,0.053226,3.73682,[151 175] ; [25 15],[156.76502732 169.23497268] ; [19.23497268 20.76502732],0
b2,1,0.124711,2.357138,[ 66 117] ; [17 17],[ 69.99539171 113.00460829] ; [13.00460829 20.99539171],0
b3,1,0.124711,2.357138,[ 66 117] ; [17 17],[ 69.99539171 113.00460829] ; [13.00460829 20.99539171],0
r3,1,0.13026,2.289399,[309  18] ; [39  5],[306.7277628  20.2722372] ; [41.2722372  2.7277628],0
b4,1,0.137397,2.206867,[185 143] ; [30 14],[189.56989247 138.43010753] ; [25.43010753 18.56989247],0
a5,1,0.147385,2.099111,[226 102] ; [35  9],[230.12903226  97.87096774] ; [30.87096774 13.12903226],0
n5,1,0.156132,2.011292,[233  92] ; [36  8],[236.92411924  88.07588076] ; [32.07588076 11.92411924],0
s1,1,0.168695,1.894499,[  5 321] ; [ 2 42],[  6.16756757 319.83243243] ; [ 0.83243243 43.16756757],0
v2,1,0.180503,1.793476,[168 147] ; [27 15],[172.05882353 142.94117647] ; [22.94117647 19.05882353],0
a1,1,0.201086,1.634468,[ 10 318] ; [ 3 41],[ 11.46236559 316.53763441] ; [ 1.53763441 42.46236559],0
n4,1,0.204069,1.61301,[239  89] ; [36  8],[242.47311828  85.52688172] ; [32.52688172 11.47311828],0
u1,1,0.211986,1.557811,[ 38 290] ; [ 8 36],[ 40.55913978 287.44086022] ; [ 5.44086022 38.55913978],0
r2,1,0.228889,1.447751,[296  27] ; [37  6],[293.87704918  29.12295082] ; [39.12295082  3.87704918],0
d3,1,0.280712,1.163641,[220 107] ; [26 18],[216.82479784 110.17520216] ; [29.17520216 14.82479784],0
u3,1,0.28309,1.152198,[49 58] ; [8 5],[50.825 56.175] ; [6.175 6.825],0
r4,1,0.295349,1.095079,[287  41] ; [36  8],[284.79569892  43.20430108] ; [38.20430108  5.79569892],0
d2,1,0.351788,0.866997,[132 195] ; [21 23],[134.85444744 192.14555256] ; [18.14555256 25.85444744],0
v1,1,0.415697,0.662447,[162 159] ; [24 18],[164.47933884 156.52066116] ; [21.52066116 20.47933884],0
p11,1,0.437508,0.602811,[276  52] ; [39  5],[277.74193548  50.25806452] ; [37.25806452  6.74193548],0
b1,1,0.451516,0.566844,[108 220] ; [17 27],[110.21505376 217.78494624] ; [14.78494624 29.21505376],0
n3,1,0.456582,0.55426,[55 19] ; [7 4],[53.97647059 20.02352941] ; [8.02352941 2.97647059],0
a7,1,0.511502,0.430994,[232  96] ; [29 15],[230.12903226  97.87096774] ; [30.87096774 13.12903226],0
s4,1,0.544307,0.367615,[ 33 294] ; [ 3 39],[ 31.90243902 295.09756098] ; [ 4.09756098 37.90243902],0
v4,1,0.564304,0.332307,[305  22] ; [40  4],[304.08355795  22.91644205] ; [40.91644205  3.08355795],0
u2,1,0.591972,0.287274,[58 50] ; [8 5],[58.90909091 49.09090909] ; [7.09090909 5.90909091],0
a2,1,0.59916,0.276265,[ 63 265] ; [ 7 37],[ 61.72043011 266.27956989] ; [ 8.27956989 35.72043011],0
a8,1,0.640192,0.218492,[ 37 257] ; [ 4 36],[ 36.08982036 257.91017964] ; [ 4.91017964 35.08982036],0
a4,1,0.668672,0.18316,[137 189] ; [17 27],[135.68648649 190.31351351] ; [18.31351351 25.68648649],0
