Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.8e-05,16.967432,[1 5] ; [97 18],[4.85950413 1.14049587] ; [93.14049587 21.85950413],1
r1,1,0.001694,9.854506,[2 4] ; [96 18],[4.9 1.1] ; [93.1 20.9],0
s6,1,0.009173,6.788895,[1 5] ; [76 35],[3.94871795 2.05128205] ; [73.05128205 37.94871795],0
n4,1,0.012793,6.197523,[1 5] ; [76 38],[3.85 2.15] ; [73.15 40.85],0
p10,1,0.037153,4.3434,[1 5] ; [67 45],[3.45762712 2.54237288] ; [64.54237288 47.45762712],0
n5,1,0.042498,4.115266,[1 5] ; [67 47],[3.4 2.6] ; [64.6 49.4],0
n6,1,0.046294,3.970849,[2 4] ; [81 32],[4.18487395 1.81512605] ; [78.81512605 34.18487395],0
a3,1,0.048995,3.875534,[3 3] ; [94 20],[4.85 1.15] ; [92.15 21.85],0
d2,1,0.061646,3.492542,[3 3] ; [92 21],[4.78991597 1.21008403] ; [90.21008403 22.78991597],0
b5,1,0.081818,3.028422,[2 4] ; [78 37],[3.96694215 2.03305785] ; [76.03305785 38.96694215],0
s2,1,0.085881,2.949942,[1 5] ; [60 54],[3.05 2.95] ; [57.95 56.05],0
p2,1,0.098902,2.723161,[2 4] ; [75 38],[3.88235294 2.11764706] ; [73.11764706 39.88235294],0
a4,1,0.106099,2.611391,[2 4] ; [75 39],[3.85 2.15] ; [73.15 40.85],0
a5,1,0.109548,2.560734,[3 3] ; [90 25],[4.61157025 1.38842975] ; [88.38842975 26.61157025],0
r3,1,0.139249,2.186235,[4 2] ; [100  14],[5.2 0.8] ; [98.8 15.2],0
n2,1,0.147283,2.10017,[1 3] ; [31 19],[2.37037037 1.62962963] ; [29.62962963 20.37037037],0
v1,1,0.164007,1.93689,[1 5] ; [52 62],[2.65 3.35] ; [50.35 63.65],0
p7,1,0.177756,1.816283,[1 5] ; [50 62],[2.59322034 3.40677966] ; [48.40677966 63.59322034],0
s8,1,0.202527,1.62406,[1 5] ; [49 65],[2.5 3.5] ; [47.5 66.5],0
b4,1,0.2122,1.556353,[2 4] ; [68 47],[3.47107438 2.52892562] ; [66.52892562 48.47107438],0
a2,1,0.237438,1.395742,[1 5] ; [47 68],[2.38016529 3.61983471] ; [45.61983471 69.38016529],0
s3,1,0.273733,1.197944,[2 4] ; [64 50],[3.3 2.7] ; [62.7 51.3],0
p8,1,0.308361,1.037683,[1 5] ; [42 71],[2.16806723 3.83193277] ; [40.83193277 72.16806723],0
s1,1,0.309281,1.033745,[1 5] ; [  7 108],[0.39669421 5.60330579] ; [  7.60330579 107.39669421],0
v2,1,0.321926,0.981105,[2 4] ; [60 51],[3.17948718 2.82051282] ; [58.82051282 52.17948718],0
b1,1,0.390716,0.736713,[4 2] ; [56 59],[2.97520661 3.02479339] ; [57.02479339 57.97520661],0
v3,1,0.4036,0.697576,[1 5] ; [36 73],[1.93043478 4.06956522] ; [35.06956522 73.93043478],0
v4,1,0.44861,0.574163,[5 1] ; [105   9],[5.5 0.5] ; [104.5   9.5],0
p6,1,0.448809,0.573658,[1 4] ; [41 71],[1.79487179 3.20512821] ; [40.20512821 71.79487179],0
n3,1,0.481185,0.496178,[2 2] ; [33 16],[2.64150943 1.35849057] ; [32.35849057 16.64150943],0
p4,1,0.489423,0.477794,[2 4] ; [54 59],[2.82352941 3.17647059] ; [53.17647059 59.82352941],0
a7,1,0.619252,0.24692,[4 2] ; [87 28],[4.51239669 1.48760331] ; [86.48760331 28.51239669],0
p1,1,0.637155,0.222483,[1 5] ; [ 12 102],[0.65 5.35] ; [ 12.35 101.65],0
u2,1,0.642271,0.215784,[2 1] ; [11 10],[1.625 1.375] ; [11.375  9.625],0
s4,1,0.725539,0.123247,[1 5] ; [26 88],[1.35 4.65] ; [25.65 88.35],0
p3,1,0.762056,0.091677,[2 3] ; [53 60],[2.33050847 2.66949153] ; [52.66949153 60.33050847],0
a6,1,0.854953,0.033417,[4 2] ; [80 34],[4.2 1.8] ; [79.8 34.2],0
u3,1,0.873382,0.025397,[2 1] ; [13  8],[1.875 1.125] ; [13.125  7.875],0
b2,1,0.886421,0.020402,[2 4] ; [18 41],[1.84615385 4.15384615] ; [18.15384615 40.84615385],0
b3,1,0.886421,0.020402,[2 4] ; [18 41],[1.84615385 4.15384615] ; [18.15384615 40.84615385],0
