Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000114,14.886203,[28 81] ; [17  9],[36.33333333 72.66666667] ; [ 8.66666667 17.33333333],1
p7,1,0.000124,14.723375,[26 81] ; [16  9],[34.04545455 72.95454545] ; [ 7.95454545 17.04545455],1
p6,1,0.000979,10.866365,[14 93] ; [11 16],[19.96268657 87.03731343] ; [ 5.03731343 21.96268657],1
p3,1,0.002159,9.409562,[27 81] ; [15 12],[33.6 74.4] ; [ 8.4 18.6],0
p5,1,0.031228,4.640408,[  4 102] ; [ 4 23],[ 6.37593985 99.62406015] ; [ 1.62406015 25.37593985],0
v4,1,0.040846,4.182403,[87 22] ; [26  1],[90.56617647 18.43382353] ; [22.43382353  4.56617647],0
s3,1,0.057463,3.609147,[54 54] ; [ 8 19],[49.6 58.4] ; [12.4 14.6],0
s4,1,0.064723,3.41202,[25 82] ; [ 2 25],[21.55970149 85.44029851] ; [ 5.44029851 21.55970149],0
d2,1,0.119536,2.423394,[69 38] ; [13 14],[65.47761194 41.52238806] ; [16.52238806 10.47761194],0
d3,1,0.132153,2.26703,[68 41] ; [21  6],[71.33088235 37.66911765] ; [17.66911765  9.33088235],0
b1,1,0.132381,2.264356,[58 51] ; [10 17],[54.5 54.5] ; [13.5 13.5],0
p11,1,0.155731,2.015197,[52 57] ; [17 10],[55.30147059 53.69852941] ; [13.69852941 13.30147059],0
p10,1,0.210225,1.569878,[57 50] ; [18  9],[59.8880597 47.1119403] ; [15.1119403 11.8880597],0
b5,1,0.236432,1.401744,[70 39] ; [14 13],[67.32352941 41.67647059] ; [16.67647059 10.32352941],0
a1,1,0.247757,1.33591,[12 97] ; [ 1 26],[10.41911765 98.58088235] ; [ 2.58088235 24.41911765],0
r2,1,0.251703,1.313829,[94 12] ; [25  1],[95.56060606 10.43939394] ; [23.43939394  2.56060606],0
v2,1,0.272856,1.202332,[51 52] ; [16 10],[53.49612403 49.50387597] ; [13.50387597 12.49612403],0
n2,1,0.301414,1.067928,[28 19] ; [7 2],[29.375 17.625] ; [5.625 3.375],0
n3,1,0.32175,0.981818,[28 17] ; [4 5],[26.66666667 18.33333333] ; [5.33333333 3.66666667],0
d1,1,0.359759,0.838736,[75 34] ; [21  6],[76.94117647 32.05882353] ; [19.05882353  7.94117647],0
a3,1,0.366597,0.815168,[82 27] ; [18  9],[80.14705882 28.85294118] ; [19.85294118  7.14705882],0
s5,1,0.369848,0.804174,[25 76] ; [ 9 18],[26.828125 74.171875] ; [ 7.171875 19.828125],0
u2,1,0.371776,0.797721,[16 10] ; [4 5],[14.85714286 11.14285714] ; [5.14285714 3.85714286],0
v3,1,0.373838,0.790868,[35 65] ; [ 7 20],[33.07086614 66.92913386] ; [ 8.92913386 18.07086614],0
p9,1,0.397246,0.716646,[60 44] ; [18  9],[61.92366412 42.07633588] ; [16.07633588 10.92366412],0
n4,1,0.405088,0.69317,[70 39] ; [15 12],[68.125 40.875] ; [16.875 10.125],0
d4,1,0.432481,0.616151,[95 14] ; [25  2],[96.17647059 12.82352941] ; [23.82352941  3.17647059],0
a8,1,0.434624,0.610436,[ 9 95] ; [ 1 24],[ 8.0620155 95.9379845] ; [ 1.9379845 23.0620155],0
s1,1,0.490153,0.47619,[  8 100] ; [ 1 26],[  7.2 100.8] ; [ 1.8 25.2],0
p1,1,0.49628,0.462882,[  8 101] ; [ 1 26],[  7.21323529 101.78676471] ; [ 1.78676471 25.21323529],0
a5,1,0.515698,0.422488,[78 31] ; [21  6],[79.34558824 29.65441176] ; [19.65441176  7.34558824],0
b4,1,0.574042,0.315965,[67 42] ; [15 12],[65.72058824 43.27941176] ; [16.27941176 10.72058824],0
v1,1,0.596028,0.281028,[37 68] ; [11 16],[38.18181818 66.81818182] ; [ 9.81818182 17.18181818],0
a4,1,0.602686,0.270963,[62 46] ; [14 13],[60.8 47.2] ; [15.2 11.8],0
u1,1,0.666313,0.185946,[20 89] ; [ 4 23],[19.23529412 89.76470588] ; [ 4.76470588 22.23529412],0
s7,1,0.681003,0.168999,[45 56] ; [10 15],[44.08730159 56.91269841] ; [10.91269841 14.08730159],0
s6,1,0.693346,0.155487,[60 47] ; [14 13],[59.08955224 47.91044776] ; [14.91044776 12.08955224],0
a7,1,0.762299,0.091484,[72 37] ; [17 10],[71.33088235 37.66911765] ; [17.66911765  9.33088235],0
a6,1,0.764756,0.089545,[68 41] ; [16 11],[67.32352941 41.67647059] ; [16.67647059 10.32352941],0
a2,1,0.782132,0.076475,[27 82] ; [ 6 21],[26.44852941 82.55147059] ; [ 6.55147059 20.44852941],0
s8,1,0.791494,0.069892,[43 65] ; [10 17],[42.4 65.6] ; [10.6 16.4],0
s2,1,0.822973,0.050052,[47 62] ; [11 16],[46.48529412 62.51470588] ; [11.51470588 15.48529412],0
p12,1,0.834591,0.043605,[  5 103] ; [ 1 26],[  4.8 103.2] ; [ 1.2 25.8],0
