Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,41.961441,[ 3 33] ; [76 32],[19.75 16.25] ; [59.25 48.75],1
d4,1,0.0,37.424599,[14 22] ; [96 12],[27.5  8.5] ; [82.5 25.5],1
d3,1,3.7e-05,17.012018,[13 23] ; [80 28],[23.25 12.75] ; [69.75 38.25],1
p2,1,7.6e-05,15.658757,[23 13] ; [97  9],[30.42253521  5.57746479] ; [89.57746479 16.42253521],1
a5,1,0.001057,10.724926,[19 17] ; [87 21],[26.5  9.5] ; [79.5 28.5],0
p3,1,0.004338,8.136679,[11 25] ; [61 44],[18.38297872 17.61702128] ; [53.61702128 51.38297872],0
r4,1,0.009823,6.666667,[25 11] ; [95 13],[30.  6.] ; [90. 18.],0
d2,1,0.026519,4.921884,[11 25] ; [56 52],[16.75 19.25] ; [50.25 57.75],0
a6,1,0.031178,4.643123,[19 17] ; [78 30],[24.25 11.75] ; [72.75 35.25],0
p8,1,0.031516,4.624625,[13 22] ; [61 44],[18.5 16.5] ; [55.5 49.5],0
r2,1,0.033188,4.536067,[29  6] ; [101   6],[32.04225352  2.95774648] ; [97.95774648  9.04225352],0
v4,1,0.033188,4.536067,[29  6] ; [101   6],[32.04225352  2.95774648] ; [97.95774648  9.04225352],0
s5,1,0.033349,4.527783,[ 2 33] ; [23 84],[ 6.16197183 28.83802817] ; [18.83802817 88.16197183],0
a7,1,0.036771,4.360986,[19 16] ; [79 29],[23.98601399 11.01398601] ; [74.01398601 33.98601399],0
s1,1,0.040757,4.186102,[ 4 31] ; [  3 104],[ 1.72535211 33.27464789] ; [  5.27464789 101.72535211],0
u1,1,0.076369,3.140534,[ 2 34] ; [19 89],[ 5.25 30.75] ; [15.75 92.25],0
p9,1,0.085767,2.952074,[25 11] ; [87 18],[28.59574468  7.40425532] ; [83.40425532 21.59574468],0
v3,1,0.087612,2.917709,[12 23] ; [52 50],[16.35036496 18.64963504] ; [47.64963504 54.35036496],0
n4,1,0.092848,2.824297,[23 12] ; [86 22],[26.67832168  8.32167832] ; [82.32167832 25.67832168],0
p4,1,0.095845,2.773355,[16 20] ; [64 42],[20.28169014 15.71830986] ; [59.71830986 46.28169014],0
r1,1,0.096935,2.755257,[25 10] ; [90 17],[28.34507042  6.65492958] ; [86.65492958 20.34507042],0
p7,1,0.098231,2.734031,[18 17] ; [71 35],[22.09219858 12.90780142] ; [66.90780142 39.09219858],0
p10,1,0.102992,2.658586,[24 12] ; [84 21],[27.57446809  8.42553191] ; [80.42553191 24.57446809],0
b1,1,0.11842,2.438095,[19 17] ; [41 67],[15. 21.] ; [45. 63.],0
r3,1,0.13268,2.260867,[29  5] ; [101   7],[31.12676056  2.87323944] ; [98.87323944  9.12676056],0
p5,1,0.13345,2.251911,[ 1 34] ; [12 94],[ 3.22695035 31.77304965] ; [ 9.77304965 96.22695035],0
p6,1,0.157513,1.997942,[ 8 28] ; [36 67],[11.39568345 24.60431655] ; [32.60431655 70.39568345],0
v2,1,0.165124,1.926664,[19 15] ; [73 33],[22.34285714 11.65714286] ; [69.65714286 36.34285714],0
s7,1,0.231848,1.429488,[ 6 29] ; [27 72],[ 8.61940299 26.38059701] ; [24.38059701 74.61940299],0
n2,1,0.236386,1.402019,[7 1] ; [11  6],[5.76 2.24] ; [12.24  4.76],0
p1,1,0.239915,1.381092,[ 5 31] ; [  8 100],[ 3.25 32.75] ; [ 9.75 98.25],0
a1,1,0.263304,1.251303,[ 3 33] ; [  4 104],[ 1.75 34.25] ; [  5.25 102.75],0
p11,1,0.267257,1.230769,[27  9] ; [90 18],[29.25  6.75] ; [87.75 20.25],0
p12,1,0.280879,1.162831,[ 3 33] ; [  4 101],[ 1.78723404 34.21276596] ; [ 5.21276596 99.78723404],0
a8,1,0.297446,1.08561,[ 2 31] ; [12 83],[ 3.609375 29.390625] ; [10.390625 84.609375],0
s8,1,0.321689,0.982066,[ 7 29] ; [30 78],[ 9.25 26.75] ; [27.75 80.25],0
a2,1,0.330787,0.945813,[ 5 31] ; [23 85],[ 7. 29.] ; [21. 87.],0
u2,1,0.333672,0.934595,[3 6] ; [16 15],[4.275 4.725] ; [14.725 16.275],0
a4,1,0.33424,0.932401,[14 22] ; [52 56],[16.5 19.5] ; [49.5 58.5],0
s3,1,0.361199,0.833721,[12 24] ; [27 79],[ 9.88732394 26.11267606] ; [29.11267606 76.88732394],0
s2,1,0.383551,0.759289,[10 26] ; [22 84],[ 8.11267606 27.88732394] ; [23.88732394 82.11267606],0
n3,1,0.393454,0.728241,[7 1] ; [13  5],[6.15384615 1.84615385] ; [13.84615385  4.15384615],0
s4,1,0.486234,0.484848,[ 2 34] ; [10 98],[ 3. 33.] ; [ 9. 99.],0
u3,1,0.527447,0.399307,[6 3] ; [17 14],[5.175 3.825] ; [17.825 13.175],0
n6,1,0.609,0.261634,[25  9] ; [84 24],[26.09859155  7.90140845] ; [82.90140845 25.09859155],0
b2,1,0.664301,0.188341,[14 13] ; [30 34],[13.05494505 13.94505495] ; [30.94505495 33.05494505],0
b3,1,0.664301,0.188341,[14 13] ; [30 34],[13.05494505 13.94505495] ; [30.94505495 33.05494505],0
b5,1,0.69627,0.152381,[20 16] ; [64 44],[21. 15.] ; [63. 45.],0
a3,1,0.723364,0.125292,[27  9] ; [77 30],[26.18181818  9.81818182] ; [77.81818182 29.18181818],0
b4,1,0.772638,0.083478,[18 18] ; [57 51],[18.75 17.25] ; [56.25 51.75],0
n1,1,0.861052,0.030637,[3 5] ; [ 7 10],[3.2 4.8] ; [ 6.8 10.2],0
n5,1,0.980178,0.000617,[26  9] ; [80 28],[25.94405594  9.05594406] ; [80.05594406 27.94405594],0
