Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.010173,6.604288,[5 7] ; [14  2],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
v3,1,0.019478,5.45809,[ 1 11] ; [8 8],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
d2,1,0.019478,5.45809,[ 1 11] ; [8 8],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
v2,1,0.031308,4.635989,[3 9] ; [10  5],[5.77777778 6.22222222] ; [7.22222222 7.77777778],0
a4,1,0.040078,4.214583,[ 1 11] ; [7 9],[3.42857143 8.57142857] ; [ 4.57142857 11.42857143],0
n4,1,0.062942,3.45812,[4 8] ; [11  5],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
p2,1,0.064061,3.428986,[8 4] ; [15  1],[9.85714286 2.14285714] ; [13.14285714  2.85714286],0
p4,1,0.079741,3.070175,[6 6] ; [13  3],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
b5,1,0.09821,2.734375,[9 3] ; [7 9],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
r1,1,0.09821,2.734375,[3 9] ; [9 7],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
a7,1,0.12663,2.333333,[4 8] ; [10  6],[6. 6.] ; [8. 8.],0
s5,1,0.143606,2.138889,[ 1 11] ; [ 5 11],[2.57142857 9.42857143] ; [ 3.42857143 12.57142857],0
p11,1,0.160581,1.96875,[9 3] ; [15  1],[10.28571429  1.71428571] ; [13.71428571  2.28571429],0
v1,1,0.180101,1.796791,[3 9] ; [8 8],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
p9,1,0.214193,1.542857,[8 4] ; [13  2],[9.33333333 2.66666667] ; [11.66666667  3.33333333],0
p10,1,0.214193,1.542857,[8 4] ; [13  2],[9.33333333 2.66666667] ; [11.66666667  3.33333333],0
s4,1,0.227195,1.458333,[ 2 10] ; [ 6 10],[3.42857143 8.57142857] ; [ 4.57142857 11.42857143],0
a3,1,0.228871,1.447863,[4 8] ; [9 7],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
p12,1,0.254478,1.298551,[ 1 11] ; [ 4 12],[2.14285714 9.85714286] ; [ 2.85714286 13.14285714],0
s7,1,0.270948,1.211939,[3 9] ; [6 7],[4.32 7.68] ; [4.68 8.32],0
d3,1,0.274006,1.196581,[5 7] ; [10  6],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
u2,1,0.310437,1.028815,[5 3] ; [6 1],[5.86666667 2.13333333] ; [5.13333333 1.86666667],0
a5,1,0.314736,1.010695,[6 6] ; [11  5],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
p7,1,0.377822,0.777778,[8 4] ; [13  3],[9. 3.] ; [12.  4.],0
r4,1,0.377822,0.777778,[4 8] ; [8 8],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
a6,1,0.377822,0.777778,[8 4] ; [8 8],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
s2,1,0.411314,0.675,[5 7] ; [ 4 11],[4. 8.] ; [ 5. 10.],0
s3,1,0.411314,0.675,[3 9] ; [6 9],[4. 8.] ; [ 5. 10.],0
p3,1,0.445009,0.583333,[5 7] ; [9 7],[6. 6.] ; [8. 8.],0
b1,1,0.48338,0.491228,[9 3] ; [10  6],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
b4,1,0.508332,0.4375,[6 6] ; [ 6 10],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
n5,1,0.56917,0.324074,[7 5] ; [11  5],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
p6,1,0.57649,0.311943,[4 8] ; [7 9],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
p5,1,0.594853,0.282828,[ 2 10] ; [ 4 12],[2.57142857 9.42857143] ; [ 3.42857143 12.57142857],0
v4,1,0.629063,0.233333,[8 4] ; [12  4],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
n3,1,0.635256,0.225,[3 1] ; [3 2],[2.66666667 1.33333333] ; [3.33333333 1.66666667],0
n1,1,0.635256,0.225,[1 3] ; [2 3],[1.33333333 2.66666667] ; [1.66666667 3.33333333],0
s6,1,0.66171,0.191453,[7 5] ; [8 8],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
a8,1,0.734966,0.114601,[2 9] ; [ 2 13],[1.69230769 9.30769231] ; [ 2.30769231 12.69230769],0
r3,1,0.755189,0.097222,[10  2] ; [14  2],[10.28571429  1.71428571] ; [13.71428571  2.28571429],0
n6,1,0.819872,0.051852,[8 4] ; [10  6],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
s8,1,0.823218,0.049911,[5 7] ; [ 6 10],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
s1,1,0.83224,0.044872,[ 1 11] ; [ 1 15],[ 0.85714286 11.14285714] ; [ 1.14285714 14.85714286],0
a1,1,0.83224,0.044872,[ 1 11] ; [ 1 15],[ 0.85714286 11.14285714] ; [ 1.14285714 14.85714286],0
u3,1,0.832662,0.044643,[3 5] ; [3 4],[3.2 4.8] ; [2.8 4.2],0
n2,1,0.857714,0.032143,[3 1] ; [4 1],[3.11111111 0.88888889] ; [3.88888889 1.11111111],0
