Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,30.842151,[70  2] ; [16 14],[60.70588235 11.29411765] ; [25.29411765  4.70588235],1
r3,1,5e-06,21.018557,[70  2] ; [20 11],[62.91262136  9.08737864] ; [27.08737864  3.91262136],1
r1,1,6e-06,20.508502,[51 21] ; [ 7 24],[40.54368932 31.45631068] ; [17.45631068 13.54368932],1
v4,1,0.002568,9.091852,[68  4] ; [22  8],[63.52941176  8.47058824] ; [26.47058824  3.52941176],0
u3,1,0.004729,7.980129,[27 12] ; [ 7 15],[21.73770492 17.26229508] ; [12.26229508  9.73770492],0
d3,1,0.015012,5.915117,[48 23] ; [13 18],[42.46078431 28.53921569] ; [18.53921569 12.46078431],0
v2,1,0.016029,5.799698,[31 37] ; [ 6 24],[25.67346939 42.32653061] ; [11.32653061 18.67346939],0
d5,1,0.032724,4.560184,[48 23] ; [14 17],[43.15686275 27.84313725] ; [18.84313725 12.15686275],0
n1,1,0.057975,3.59439,[ 9 12] ; [ 2 13],[ 6.41666667 14.58333333] ; [ 4.58333333 10.41666667],0
s6,1,0.078522,3.095238,[31 39] ; [ 8 23],[27.02970297 42.97029703] ; [11.97029703 19.02970297],0
n3,1,0.078983,3.085714,[18  3] ; [9 6],[15.75  5.25] ; [11.25  3.75],0
n6,1,0.08082,3.048336,[48 24] ; [15 16],[44.03883495 27.96116505] ; [18.96116505 12.03883495],0
p11,1,0.08082,3.048336,[48 24] ; [15 16],[44.03883495 27.96116505] ; [18.96116505 12.03883495],0
b1,1,0.083605,2.993391,[22 50] ; [15 16],[25.86407767 46.13592233] ; [11.13592233 19.86407767],0
n2,1,0.086023,2.947261,[15  5] ; [7 8],[12.57142857  7.42857143] ; [9.42857143 5.57142857],0
a7,1,0.171642,1.86854,[51 20] ; [18 13],[48.02941176 22.97058824] ; [20.97058824 10.02941176],0
a3,1,0.175187,1.837985,[32 40] ; [ 9 21],[28.94117647 43.05882353] ; [12.05882353 17.94117647],0
d1,1,0.177077,1.821986,[26 46] ; [ 7 24],[23.06796117 48.93203883] ; [ 9.93203883 21.06796117],0
s8,1,0.205937,1.599761,[20 52] ; [ 5 26],[17.47572816 54.52427184] ; [ 7.52427184 23.47572816],0
p2,1,0.20879,1.579798,[46 26] ; [23  7],[48.70588235 23.29411765] ; [20.29411765  9.70588235],0
d4,1,0.214146,1.543176,[55 17] ; [20 11],[52.42718447 19.57281553] ; [22.57281553  8.42718447],0
