Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,3.3e-05,17.248,[48  2] ; [2 3],[45.45454545  4.54545455] ; [4.54545455 0.45454545],1
r4,1,0.000435,12.375,[43  7] ; [1 4],[40. 10.] ; [4. 1.],1
r1,1,0.012727,6.206656,[37 13] ; [1 4],[34.54545455 15.45454545] ; [3.45454545 1.54545455],0
u1,1,0.133062,2.25641,[ 2 48] ; [1 4],[ 2.72727273 47.27272727] ; [0.27272727 4.72727273],0
a8,1,0.149725,2.075053,[ 7 41] ; [2 3],[ 8.1509434 39.8490566] ; [0.8490566 4.1509434],0
b1,1,0.172344,1.862434,[24 26] ; [4 1],[25.45454545 24.54545455] ; [2.54545455 2.45454545],0
n6,1,0.184625,1.76,[42  8] ; [3 2],[40.90909091  9.09090909] ; [4.09090909 0.90909091],0
s7,1,0.243511,1.360151,[26 21] ; [1 3],[24.88235294 22.11764706] ; [2.11764706 1.88235294],0
d1,1,0.250399,1.321078,[ 3 47] ; [1 4],[ 3.63636364 46.36363636] ; [0.36363636 4.63636364],0
a5,1,0.263681,1.249328,[27 23] ; [4 1],[28.18181818 21.81818182] ; [2.81818182 2.18181818],0
s8,1,0.292246,1.109244,[18 32] ; [3 2],[19.09090909 30.90909091] ; [1.90909091 3.09090909],0
d5,1,0.309375,1.033342,[18 31] ; [3 2],[19.05555556 29.94444444] ; [1.94444444 3.05555556],0
b5,1,0.338352,0.916667,[29 21] ; [4 1],[30. 20.] ; [3. 2.],0
p8,1,0.338352,0.916667,[31 19] ; [2 3],[30. 20.] ; [3. 2.],0
a7,1,0.36307,0.827246,[29 20] ; [4 1],[29.94444444 19.05555556] ; [3.05555556 1.94444444],0
n4,1,0.366372,0.815934,[39 11] ; [3 2],[38.18181818 11.81818182] ; [3.81818182 1.18181818],0
a2,1,0.373496,0.792,[ 4 46] ; [1 4],[ 4.54545455 45.45454545] ; [0.45454545 4.54545455],0
v3,1,0.380122,0.770308,[20 30] ; [1 4],[19.09090909 30.90909091] ; [1.90909091 3.09090909],0
b4,1,0.387338,0.747283,[30 20] ; [2 3],[29.09090909 20.90909091] ; [2.90909091 2.09090909],0
s6,1,0.396679,0.718369,[26 23] ; [3 1],[26.81132075 22.18867925] ; [2.18867925 1.81132075],0
p11,1,0.43357,0.61324,[38 12] ; [3 2],[37.27272727 12.72727273] ; [3.72727273 1.27272727],0
s2,1,0.43904,0.59879,[21 29] ; [3 2],[21.81818182 28.18181818] ; [2.18181818 2.81818182],0
s3,1,0.462433,0.54,[21 28] ; [3 2],[21.77777778 27.22222222] ; [2.22222222 2.77777778],0
a3,1,0.549939,0.357427,[27 23] ; [2 3],[26.36363636 23.63636364] ; [2.63636364 2.36363636],0
a4,1,0.593955,0.284211,[14 35] ; [2 3],[14.51851852 34.48148148] ; [1.48148148 3.51851852],0
d3,1,0.615553,0.252168,[14 34] ; [2 3],[14.49056604 33.50943396] ; [1.50943396 3.49056604],0
p4,1,0.638771,0.220353,[35 15] ; [4 1],[35.45454545 14.54545455] ; [3.54545455 1.45454545],0
s5,1,0.673951,0.177015,[17 31] ; [1 3],[16.61538462 31.38461538] ; [1.38461538 2.61538462],0
d2,1,0.701741,0.146667,[14 36] ; [1 4],[13.63636364 36.36363636] ; [1.36363636 3.63636364],0
p7,1,0.716728,0.131649,[43  7] ; [4 1],[42.72727273  7.27272727] ; [4.27272727 0.72727273],0
v2,1,0.766917,0.087859,[26 23] ; [3 2],[26.31481481 22.68518519] ; [2.68518519 2.31481481],0
a6,1,0.787919,0.072368,[33 17] ; [3 2],[32.72727273 17.27272727] ; [3.27272727 1.72727273],0
v1,1,0.797252,0.066,[23 27] ; [2 3],[22.72727273 27.27272727] ; [2.27272727 2.72727273],0
p10,1,0.823,0.050036,[37 12] ; [4 1],[37.2037037 11.7962963] ; [3.7962963 1.2037037],0
u2,1,0.846085,0.037681,[14  9] ; [2 1],[14.15384615  8.84615385] ; [1.84615385 1.15384615],0
p9,1,0.917771,0.010659,[39 11] ; [4 1],[39.09090909 10.90909091] ; [3.90909091 1.09090909],0
p3,1,0.931112,0.007473,[29 21] ; [3 2],[29.09090909 20.90909091] ; [2.90909091 2.09090909],0
n5,1,0.982778,0.000466,[39 10] ; [4 1],[39.01851852  9.98148148] ; [3.98148148 1.01851852],0
