Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.001903,9.641093,[ 8 19] ; [10  2],[12.46153846 14.53846154] ; [5.53846154 6.46153846],0
v2,1,0.006656,7.363464,[ 4 22] ; [7 5],[ 7.52631579 18.47368421] ; [3.47368421 8.52631579],0
b4,1,0.015994,5.803571,[18  9] ; [3 9],[14.53846154 12.46153846] ; [6.46153846 5.53846154],0
p10,1,0.036265,4.384615,[10 16] ; [9 3],[13. 13.] ; [6. 6.],0
d4,1,0.039229,4.250906,[13 14] ; [10  2],[15.92307692 11.07692308] ; [7.07692308 4.92307692],0
p7,1,0.048204,3.902851,[11 16] ; [9 3],[13.84615385 13.15384615] ; [6.15384615 5.84615385],0
s2,1,0.051508,3.791667,[ 7 20] ; [7 5],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
r3,1,0.062163,3.478704,[14 13] ; [10  2],[16.61538462 10.38461538] ; [7.38461538 4.61538462],0
s5,1,0.095108,2.785714,[ 3 24] ; [4 8],[ 4.84615385 22.15384615] ; [2.15384615 9.84615385],0
p4,1,0.134909,2.235088,[11 16] ; [8 4],[13.15384615 13.84615385] ; [5.84615385 6.15384615],0
d2,1,0.141032,2.166667,[ 7 20] ; [6 6],[ 9. 18.] ; [4. 8.],0
a4,1,0.186215,1.747312,[ 4 23] ; [4 8],[ 5.53846154 21.46153846] ; [2.46153846 9.53846154],0
b5,1,0.200037,1.642105,[15 12] ; [4 8],[13.15384615 13.84615385] ; [5.84615385 6.15384615],0
p8,1,0.220965,1.498095,[ 8 19] ; [6 6],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
p3,1,0.220965,1.498095,[ 8 19] ; [6 6],[ 9.69230769 17.30769231] ; [4.30769231 7.69230769],0
p5,1,0.267201,1.231061,[ 3 24] ; [3 9],[ 4.15384615 22.84615385] ; [ 1.84615385 10.15384615],0
p11,1,0.284307,1.146384,[13 14] ; [8 4],[14.53846154 12.46153846] ; [6.46153846 5.53846154],0
p6,1,0.290136,1.11899,[ 3 23] ; [3 9],[ 4.10526316 21.89473684] ; [ 1.89473684 10.10526316],0
v3,1,0.310827,1.02716,[ 5 22] ; [4 8],[ 6.23076923 20.76923077] ; [2.76923077 9.23076923],0
s1,1,0.379041,0.77381,[ 2 25] ; [ 2 10],[ 2.76923077 24.23076923] ; [ 1.23076923 10.76923077],0
p9,1,0.399233,0.710635,[13 12] ; [8 4],[14.18918919 10.81081081] ; [6.81081081 5.18918919],0
d3,1,0.461743,0.541667,[10 17] ; [3 9],[ 9. 18.] ; [4. 8.],0
a6,1,0.461743,0.541667,[10 17] ; [3 9],[ 9. 18.] ; [4. 8.],0
n6,1,0.482367,0.493506,[18  9] ; [6 5],[17.05263158  9.94736842] ; [6.94736842 4.05263158],0
s8,1,0.526452,0.401235,[ 7 20] ; [ 2 10],[ 6.23076923 20.76923077] ; [2.76923077 9.23076923],0
p12,1,0.545198,0.365991,[ 1 26] ; [ 1 11],[ 1.38461538 25.61538462] ; [ 0.61538462 11.38461538],0
p1,1,0.5763,0.312255,[ 4 23] ; [ 1 11],[ 3.46153846 23.53846154] ; [ 1.53846154 10.46153846],0
n4,1,0.616573,0.250714,[18  9] ; [7 5],[17.30769231  9.69230769] ; [7.69230769 4.30769231],0
p2,1,0.616573,0.250714,[18  9] ; [7 5],[17.30769231  9.69230769] ; [7.69230769 4.30769231],0
n2,1,0.627477,0.235498,[6 5] ; [4 2],[6.47058824 4.52941176] ; [3.52941176 2.47058824],0
s4,1,0.643615,0.214046,[ 5 22] ; [3 9],[ 5.53846154 21.46153846] ; [2.46153846 9.53846154],0
d1,1,0.643615,0.214046,[ 5 22] ; [3 9],[ 5.53846154 21.46153846] ; [2.46153846 9.53846154],0
r4,1,0.643615,0.214046,[ 5 22] ; [3 9],[ 5.53846154 21.46153846] ; [2.46153846 9.53846154],0
s7,1,0.652391,0.202899,[ 6 17] ; [4 8],[ 6.57142857 16.42857143] ; [3.42857143 8.57142857],0
b2,1,0.701063,0.147368,[ 5 14] ; [3 6],[ 5.42857143 13.57142857] ; [2.57142857 6.42857143],0
b3,1,0.701063,0.147368,[ 5 14] ; [3 6],[ 5.42857143 13.57142857] ; [2.57142857 6.42857143],0
v4,1,0.748053,0.103175,[15 12] ; [6 6],[14.53846154 12.46153846] ; [6.46153846 5.53846154],0
a5,1,0.783867,0.075231,[10 17] ; [5 7],[10.38461538 16.61538462] ; [4.61538462 7.38461538],0
n1,1,0.793258,0.068687,[3 8] ; [2 4],[3.23529412 7.76470588] ; [1.76470588 4.23529412],0
n5,1,0.817085,0.053498,[19  8] ; [8 4],[18.69230769  8.30769231] ; [8.30769231 3.69230769],0
r1,1,0.817085,0.053498,[ 8 19] ; [4 8],[ 8.30769231 18.69230769] ; [3.69230769 8.30769231],0
n3,1,0.857596,0.032197,[5 6] ; [3 3],[5.17647059 5.82352941] ; [2.82352941 3.17647059],0
s3,1,0.938278,0.005996,[ 9 17] ; [4 8],[ 8.89473684 17.10526316] ; [4.10526316 7.89473684],0
u2,1,0.943494,0.005024,[ 9 10] ; [1 1],[9.04761905 9.95238095] ; [0.95238095 1.04761905],0
s6,1,0.95673,0.002944,[11 16] ; [5 7],[11.07692308 15.92307692] ; [4.92307692 7.07692308],0
d5,1,0.95673,0.002944,[11 16] ; [5 7],[11.07692308 15.92307692] ; [4.92307692 7.07692308],0
b1,1,1.0,0.0,[18  9] ; [8 4],[18.  9.] ; [8. 4.],0
