Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.6e-05,18.578798,[ 8 27] ; [43 20],[18.21428571 16.78571429] ; [32.78571429 30.21428571],1
d2,1,0.000225,13.611171,[12 24] ; [45 18],[20.72727273 15.27272727] ; [36.27272727 26.72727273],1
s2,1,0.00071,11.463969,[14 21] ; [47 16],[21.78571429 13.21428571] ; [39.21428571 23.78571429],1
a3,1,0.000754,11.351025,[19 17] ; [53 10],[26.18181818  9.81818182] ; [45.81818182 17.18181818],1
a5,1,0.000754,11.351025,[19 17] ; [53 10],[26.18181818  9.81818182] ; [45.81818182 17.18181818],1
s5,1,0.000755,11.348156,[ 5 28] ; [29 28],[12.46666667 20.53333333] ; [21.53333333 35.46666667],1
s6,1,0.001291,10.355167,[18 17] ; [51 11],[24.89690722 10.10309278] ; [44.10309278 17.89690722],0
u1,1,0.001684,9.865839,[ 4 32] ; [26 37],[10.90909091 25.09090909] ; [19.09090909 43.90909091],0
s3,1,0.003204,8.687424,[14 22] ; [43 19],[20.93877551 15.06122449] ; [36.06122449 25.93877551],0
p10,1,0.004716,7.985185,[22 13] ; [55  8],[27.5  7.5] ; [49.5 13.5],0
a2,1,0.007832,7.071429,[ 6 30] ; [27 36],[12. 24.] ; [21. 42.],0
v3,1,0.01197,6.315356,[ 5 28] ; [25 37],[10.42105263 22.57894737] ; [19.57894737 42.42105263],0
d1,1,0.020212,5.393462,[16 20] ; [43 20],[21.45454545 14.54545455] ; [37.54545455 25.45454545],0
n4,1,0.029981,4.710409,[25 11] ; [55  8],[29.09090909  6.90909091] ; [50.90909091 12.09090909],0
n1,1,0.032556,4.568961,[ 2 10] ; [11  9],[4.875 7.125] ; [ 8.125 11.875],0
p9,1,0.042918,4.098646,[28  8] ; [58  5],[31.27272727  4.72727273] ; [54.72727273  8.27272727],0
d5,1,0.060914,3.512331,[26  9] ; [56  7],[29.28571429  5.71428571] ; [52.71428571 10.28571429],0
a4,1,0.062586,3.467484,[16 19] ; [41 22],[20.35714286 14.64285714] ; [36.64285714 26.35714286],0
u3,1,0.086673,2.935101,[10  7] ; [9 1],[11.96296296  5.03703704] ; [7.03703704 2.96296296],0
v2,1,0.088244,2.906114,[15 17] ; [41 22],[18.86315789 13.13684211] ; [37.13684211 25.86315789],0
d4,1,0.101043,2.689004,[26 10] ; [54  9],[29.09090909  6.90909091] ; [50.90909091 12.09090909],0
n6,1,0.138011,2.2,[28  8] ; [56  7],[30.54545455  5.45454545] ; [53.45454545  9.54545455],0
u2,1,0.14753,2.097605,[11  6] ; [9 1],[12.59259259  4.40740741] ; [7.40740741 2.59259259],0
a6,1,0.191094,1.709166,[23 13] ; [48 15],[25.81818182 10.18181818] ; [45.18181818 17.81818182],0
n2,1,0.20082,1.636401,[10  3] ; [11  9],[8.27272727 4.72727273] ; [12.72727273  7.27272727],0
b5,1,0.219207,1.509555,[22 14] ; [46 17],[24.72727273 11.27272727] ; [43.27272727 19.72727273],0
r2,1,0.274719,1.193033,[34  2] ; [61  1],[34.89795918  1.10204082] ; [60.10204082  1.89795918],0
p11,1,0.305898,1.048302,[27  9] ; [41 22],[24.72727273 11.27272727] ; [43.27272727 19.72727273],0
s4,1,0.312428,1.020385,[ 4 31] ; [12 50],[ 5.77319588 29.22680412] ; [10.22680412 51.77319588],0
d3,1,0.330129,0.948391,[21 13] ; [45 18],[23.13402062 10.86597938] ; [42.86597938 20.13402062],0
p1,1,0.344433,0.89386,[ 5 31] ; [ 5 58],[ 3.63636364 32.36363636] ; [ 6.36363636 56.63636364],0
p4,1,0.407016,0.6875,[21 15] ; [42 21],[22.90909091 13.09090909] ; [40.09090909 22.90909091],0
p3,1,0.469335,0.523541,[15 21] ; [31 32],[16.72727273 19.27272727] ; [29.27272727 33.72727273],0
v4,1,0.473736,0.513249,[33  3] ; [60  3],[33.81818182  2.18181818] ; [59.18181818  3.81818182],0
n3,1,0.480584,0.497538,[9 4] ; [16  4],[9.84848485 3.15151515] ; [15.15151515  4.84848485],0
b1,1,0.535717,0.383535,[16 20] ; [24 39],[14.54545455 21.45454545] ; [25.45454545 37.54545455],0
v1,1,0.552746,0.352421,[17 18] ; [34 28],[18.40206186 16.59793814] ; [32.59793814 29.40206186],0
p5,1,0.562752,0.334962,[ 2 34] ; [ 2 61],[ 1.45454545 34.54545455] ; [ 2.54545455 60.45454545],0
p7,1,0.615455,0.252307,[23 13] ; [42 19],[24.12371134 11.87628866] ; [40.87628866 20.12371134],0
r4,1,0.842884,0.039286,[33  3] ; [57  6],[32.72727273  3.27272727] ; [57.27272727  5.72727273],0
b2,1,0.848351,0.036566,[10  8] ; [27 24],[9.65217391 8.34782609] ; [27.34782609 23.65217391],0
b3,1,0.848351,0.036566,[10  8] ; [27 24],[9.65217391 8.34782609] ; [27.34782609 23.65217391],0
a1,1,0.862283,0.030091,[ 2 34] ; [ 3 60],[ 1.81818182 34.18181818] ; [ 3.18181818 59.81818182],0
b4,1,0.87873,0.02328,[20 16] ; [34 29],[19.63636364 16.36363636] ; [34.36363636 28.63636364],0
a7,1,0.89148,0.018613,[26  9] ; [46 17],[25.71428571  9.28571429] ; [46.28571429 16.71428571],0
p2,1,0.919769,0.010146,[30  6] ; [52 11],[29.81818182  6.18181818] ; [52.18181818 10.81818182],0
r1,1,0.96513,0.001911,[27  9] ; [47 16],[26.90909091  9.09090909] ; [47.09090909 15.90909091],0
n5,1,0.992597,8.6e-05,[25 11] ; [43 19],[24.97959184 11.02040816] ; [43.02040816 18.97959184],0
a8,1,1.0,0.0,[ 3 30] ; [ 5 50],[ 3. 30.] ; [ 5. 50.],0
