Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.023794,5.109571,[ 4 27] ; [5 6],[ 6.64285714 24.35714286] ; [2.35714286 8.64285714],0
p10,1,0.024319,5.071732,[10 20] ; [8 3],[13.17073171 16.82926829] ; [4.82926829 6.17073171],0
u3,1,0.034703,4.459722,[ 1 14] ; [2 2],[ 2.36842105 12.63157895] ; [0.63157895 3.36842105],0
p9,1,0.07197,3.237498,[ 9 19] ; [7 4],[11.48717949 16.51282051] ; [4.51282051 6.48717949],0
d3,1,0.082366,3.017595,[ 8 23] ; [6 5],[10.33333333 20.66666667] ; [3.66666667 7.33333333],0
d2,1,0.097589,2.744515,[14 16] ; [2 9],[11.70731707 18.29268293] ; [4.29268293 6.70731707],0
a5,1,0.105023,2.627566,[11 20] ; [7 4],[13.28571429 17.71428571] ; [4.71428571 6.28571429],0
n2,1,0.106343,2.607745,[ 6 11] ; [5 2],[7.79166667 9.20833333] ; [3.20833333 3.79166667],0
n1,1,0.112339,2.521008,[ 4 13] ; [4 3],[ 5.66666667 11.33333333] ; [2.33333333 4.66666667],0
r2,1,0.12011,2.415883,[16 13] ; [9 2],[18.125 10.875] ; [6.875 4.125],0
s6,1,0.149091,2.081525,[ 7 24] ; [5 6],[ 8.85714286 22.14285714] ; [3.14285714 7.85714286],0
d5,1,0.153578,2.036345,[12 19] ; [7 4],[14.02380952 16.97619048] ; [4.97619048 6.02380952],0
p7,1,0.172469,1.861349,[ 8 22] ; [5 5],[ 9.75 20.25] ; [3.25 6.75],0
p3,1,0.18619,1.747513,[ 6 25] ; [4 6],[ 7.56097561 23.43902439] ; [2.43902439 7.56097561],0
d4,1,0.215682,1.532871,[13 18] ; [7 4],[14.76190476 16.23809524] ; [5.23809524 5.76190476],0
b5,1,0.268494,1.224426,[11 20] ; [6 5],[12.54761905 18.45238095] ; [4.45238095 6.54761905],0
n4,1,0.320885,0.985337,[22  9] ; [6 5],[20.66666667 10.33333333] ; [7.33333333 3.66666667],0
p5,1,0.387184,0.747767,[ 1 30] ; [1 9],[ 1.51219512 29.48780488] ; [0.48780488 9.51219512],0
p2,1,0.414335,0.666329,[14 17] ; [6 4],[15.12195122 15.87804878] ; [4.87804878 5.12195122],0
r1,1,0.432599,0.615836,[10 21] ; [5 6],[11.07142857 19.92857143] ; [3.92857143 7.07142857],0
p11,1,0.432599,0.615836,[10 21] ; [5 6],[11.07142857 19.92857143] ; [3.92857143 7.07142857],0
a6,1,0.432599,0.615836,[10 21] ; [5 6],[11.07142857 19.92857143] ; [3.92857143 7.07142857],0
r4,1,0.454296,0.559911,[ 3 28] ; [2 9],[ 3.69047619 27.30952381] ; [1.30952381 9.69047619],0
p6,1,0.478105,0.503182,[ 3 27] ; [2 9],[ 3.65853659 26.34146341] ; [1.34146341 9.65853659],0
a3,1,0.491251,0.473785,[16 15] ; [7 4],[16.97619048 14.02380952] ; [6.02380952 4.97619048],0
p4,1,0.54542,0.365587,[ 8 22] ; [4 7],[ 8.7804878 21.2195122] ; [3.2195122 7.7804878],0
u2,1,0.580543,0.305357,[6 9] ; [1 3],[5.52631579 9.47368421] ; [1.47368421 2.52631579],0
p8,1,0.582432,0.302319,[ 6 25] ; [3 8],[ 6.64285714 24.35714286] ; [2.35714286 8.64285714],0
v3,1,0.618144,0.248485,[ 6 24] ; [3 8],[ 6.58536585 23.41463415] ; [2.41463415 8.58536585],0
s7,1,0.670556,0.180952,[ 4 24] ; [2 8],[ 4.42105263 23.57894737] ; [1.57894737 8.42105263],0
s8,1,0.737299,0.112515,[ 4 27] ; [ 1 10],[ 3.69047619 27.30952381] ; [1.30952381 9.69047619],0
d1,1,0.753596,0.098534,[ 7 24] ; [3 8],[ 7.38095238 23.61904762] ; [2.61904762 8.38095238],0
n5,1,0.753596,0.098534,[24  7] ; [8 3],[23.61904762  7.38095238] ; [8.38095238 2.61904762],0
s1,1,0.770279,0.08527,[ 2 29] ; [ 1 10],[ 2.21428571 28.78571429] ; [ 0.78571429 10.21428571],0
a4,1,0.794668,0.067732,[ 7 23] ; [3 8],[ 7.31707317 22.68292683] ; [2.68292683 8.31707317],0
b3,1,0.823218,0.049911,[ 8 13] ; [3 4],[ 8.25 12.75] ; [2.75 4.25],0
b2,1,0.823218,0.049911,[ 8 13] ; [3 4],[ 8.25 12.75] ; [2.75 4.25],0
s3,1,0.838007,0.041797,[ 7 22] ; [3 8],[ 7.25 21.75] ; [2.75 8.25],0
b1,1,0.83943,0.041056,[18 13] ; [6 5],[17.71428571 13.28571429] ; [6.28571429 4.71428571],0
n6,1,0.83943,0.041056,[18 13] ; [6 5],[17.71428571 13.28571429] ; [6.28571429 4.71428571],0
b4,1,0.867126,0.027993,[16 15] ; [6 5],[16.23809524 14.76190476] ; [5.76190476 5.23809524],0
v4,1,0.867126,0.027993,[16 15] ; [6 5],[16.23809524 14.76190476] ; [5.76190476 5.23809524],0
s5,1,0.875284,0.024633,[ 5 26] ; [2 9],[ 5.16666667 25.83333333] ; [1.83333333 9.16666667],0
s4,1,0.932167,0.007245,[ 6 25] ; [2 9],[ 5.9047619 25.0952381] ; [2.0952381 8.9047619],0
v2,1,0.944277,0.004885,[ 5 24] ; [2 9],[ 5.075 23.925] ; [1.925 9.075],0
a1,1,0.954599,0.003241,[ 3 28] ; [ 1 10],[ 2.95238095 28.04761905] ; [1.04761905 9.95238095],0
