Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,7.6e-05,15.644444,[26 10] ; [ 7 23],[18. 18.] ; [15. 15.],1
v3,1,0.003236,8.669491,[19 18] ; [ 5 25],[13.25373134 23.74626866] ; [10.74626866 19.25373134],0
b4,1,0.016178,5.783399,[22 15] ; [ 9 21],[17.11940299 19.88059701] ; [13.88059701 16.11940299],0
s8,1,0.03726,4.33849,[21 16] ; [ 9 20],[16.81818182 20.18181818] ; [13.18181818 15.81818182],0
n5,1,0.056775,3.629182,[29  8] ; [17 13],[25.40298507 11.59701493] ; [20.59701493  9.40298507],0
n4,1,0.056952,3.624004,[30  7] ; [18 12],[26.50746269 10.49253731] ; [21.49253731  8.50746269],0
n6,1,0.098833,2.72427,[32  5] ; [21  9],[29.26865672  7.73134328] ; [23.73134328  6.26865672],0
n2,1,0.103522,2.650421,[7 4] ; [11  1],[8.60869565 2.39130435] ; [9.39130435 2.60869565],0
a3,1,0.115669,2.475,[27  9] ; [17 13],[24. 12.] ; [20. 10.],0
p10,1,0.117623,2.448696,[28  8] ; [18 12],[25.09090909 10.90909091] ; [20.90909091  9.09090909],0
d3,1,0.122102,2.390145,[23 14] ; [12 16],[19.92307692 17.07692308] ; [15.07692308 12.92307692],0
a5,1,0.144895,2.125188,[25 12] ; [15 15],[22.08955224 14.91044776] ; [17.91044776 12.08955224],0
d1,1,0.155786,2.014662,[20 17] ; [11 19],[17.11940299 19.88059701] ; [13.88059701 16.11940299],0
v4,1,0.209986,1.571525,[36  1] ; [27  3],[34.79104478  2.20895522] ; [28.20895522  1.79104478],0
n3,1,0.221433,1.495062,[9 2] ; [7 5],[7.65217391 3.34782609] ; [8.34782609 3.65217391],0
d5,1,0.232557,1.425155,[28  9] ; [18 11],[25.78787879 11.21212121] ; [20.21212121  8.78787879],0
u2,1,0.252781,1.30787,[7 3] ; [6 7],[5.65217391 4.34782609] ; [7.34782609 5.65217391],0
u3,1,0.252781,1.30787,[7 3] ; [6 7],[5.65217391 4.34782609] ; [7.34782609 5.65217391],0
s4,1,0.259177,1.273147,[ 3 34] ; [ 5 24],[ 4.48484848 32.51515152] ; [ 3.51515152 25.48484848],0
s6,1,0.264377,1.24569,[23 13] ; [14 14],[20.8125 15.1875] ; [16.1875 11.8125],0
a6,1,0.294266,1.1,[26 10] ; [18 12],[24. 12.] ; [20. 10.],0
a7,1,0.302871,1.061509,[25 12] ; [16 13],[22.98484848 14.01515152] ; [18.01515152 10.98484848],0
