Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,25.77342,[64  4] ; [41 31],[51. 17.] ; [54. 18.],1
r4,1,7.3e-05,15.724188,[56 12] ; [37 36],[44.85106383 23.14893617] ; [48.14893617 24.85106383],1
p10,1,9.1e-05,15.320451,[45 23] ; [23 47],[33.50724638 34.49275362] ; [34.49275362 35.50724638],1
p9,1,0.000142,14.476786,[46 21] ; [24 43],[35. 32.] ; [35. 32.],1
n6,1,0.000596,11.789588,[53 15] ; [36 36],[43.22857143 24.77142857] ; [45.77142857 26.22857143],1
v2,1,0.00873,6.877298,[33 28] ; [22 48],[25.61068702 35.38931298] ; [29.38931298 40.61068702],0
v4,1,0.019123,5.490196,[57 11] ; [48 24],[51. 17.] ; [54. 18.],0
s8,1,0.020784,5.344814,[24 44] ; [13 59],[17.97142857 50.02857143] ; [19.02857143 52.97142857],0
s6,1,0.022773,5.185769,[36 32] ; [24 47],[29.35251799 38.64748201] ; [30.64748201 40.35251799],0
b4,1,0.043023,4.09451,[45 23] ; [36 37],[39.06382979 28.93617021] ; [41.93617021 31.06382979],0
p12,1,0.043665,4.069487,[ 6 62] ; [ 1 71],[ 3.4 64.6] ; [ 3.6 68.4],0
s2,1,0.048494,3.892766,[28 39] ; [19 54],[22.49285714 44.50714286] ; [24.50714286 48.49285714],0
v1,1,0.048494,3.892766,[28 39] ; [19 54],[22.49285714 44.50714286] ; [24.50714286 48.49285714],0
a1,1,0.056824,3.627738,[ 3 65] ; [10 63],[ 6.26950355 61.73049645] ; [ 6.73049645 66.26950355],0
v3,1,0.063792,3.435959,[25 38] ; [17 52],[20.04545455 42.95454545] ; [21.95454545 47.04545455],0
u3,1,0.072389,3.227996,[16 11] ; [ 9 17],[12.73584906 14.26415094] ; [12.26415094 13.73584906],0
n2,1,0.089521,2.882969,[18  5] ; [21 16],[14.95  8.05] ; [24.05 12.95],0
d5,1,0.096168,2.767974,[39 29] ; [51 21],[43.71428571 24.28571429] ; [46.28571429 25.71428571],0
s7,1,0.112418,2.519896,[27 40] ; [18 48],[22.66917293 44.33082707] ; [22.33082707 43.66917293],0
u2,1,0.125763,2.344036,[15 12] ; [ 9 17],[12.22641509 14.77358491] ; [11.77358491 14.22641509],0
p5,1,0.142867,2.1468,[ 4 63] ; [ 1 72],[ 2.39285714 64.60714286] ; [ 2.60714286 70.39285714],0
n5,1,0.185089,1.756282,[47 21] ; [42 30],[43.22857143 24.77142857] ; [45.77142857 26.22857143],0
s1,1,0.186446,1.745479,[ 4 63] ; [ 9 63],[ 6.26618705 60.73381295] ; [ 6.73381295 65.26618705],0
r1,1,0.191927,1.702763,[46 22] ; [41 31],[42.25714286 25.74285714] ; [44.74285714 27.25714286],0
b1,1,0.209355,1.575884,[31 37] ; [41 32],[34.72340426 33.27659574] ; [37.27659574 35.72340426],0
a6,1,0.276289,1.185252,[43 25] ; [39 33],[39.82857143 28.17142857] ; [42.17142857 29.82857143],0
r2,1,0.281503,1.159822,[59  8] ; [57 13],[56.72992701 10.27007299] ; [59.27007299 10.72992701],0
s3,1,0.293236,1.104704,[30 36] ; [26 45],[26.97810219 39.02189781] ; [29.02189781 41.97810219],0
s5,1,0.296572,1.089545,[15 50] ; [11 58],[12.6119403 52.3880597] ; [13.3880597 55.6119403],0
n4,1,0.409674,0.679747,[47 21] ; [45 27],[44.68571429 23.31428571] ; [47.31428571 24.68571429],0
a7,1,0.428704,0.626333,[39 29] ; [46 26],[41.28571429 26.71428571] ; [43.71428571 28.28571429],0
a3,1,0.470392,0.521056,[41 27] ; [47 24],[43.05035971 24.94964029] ; [44.94964029 26.05035971],0
u1,1,0.495167,0.46528,[ 9 59] ; [ 7 66],[ 7.71631206 60.28368794] ; [ 8.28368794 64.71631206],0
p6,1,0.495352,0.46488,[ 7 61] ; [10 61],[ 8.31654676 59.68345324] ; [ 8.68345324 62.31654676],0
p3,1,0.550938,0.35564,[14 54] ; [12 60],[12.62857143 55.37142857] ; [13.37142857 58.62857143],0
d2,1,0.587374,0.294464,[29 38] ; [34 37],[30.58695652 36.41304348] ; [32.41304348 38.58695652],0
d4,1,0.592829,0.285948,[50 18] ; [50 22],[48.57142857 19.42857143] ; [51.42857143 20.57142857],0
a5,1,0.603903,0.269149,[39 29] ; [45 28],[40.5106383 27.4893617] ; [43.4893617 29.5106383],0
n3,1,0.651185,0.204409,[13  9] ; [18 16],[12.17857143  9.82142857] ; [18.82142857 15.17857143],0
a8,1,0.653892,0.201028,[ 6 60] ; [ 8 62],[ 6.79411765 59.20588235] ; [ 7.20588235 62.79411765],0
a2,1,0.66179,0.191357,[12 56] ; [15 58],[13.0212766 54.9787234] ; [13.9787234 59.0212766],0
p1,1,0.675447,0.175296,[ 8 60] ; [ 7 66],[ 7.23404255 60.76595745] ; [ 7.76595745 65.23404255],0
p8,1,0.679643,0.170529,[11 57] ; [10 63],[10.12765957 57.87234043] ; [10.87234043 62.12765957],0
b3,1,0.740923,0.109317,[15 27] ; [18 28],[15.75 26.25] ; [17.25 28.75],0
b2,1,0.740923,0.109317,[15 27] ; [18 28],[15.75 26.25] ; [17.25 28.75],0
d3,1,0.749426,0.102014,[35 33] ; [39 33],[35.94285714 32.05714286] ; [38.05714286 33.94285714],0
a4,1,0.76016,0.09319,[27 41] ; [30 41],[27.88489209 40.11510791] ; [29.11510791 41.88489209],0
s4,1,0.847216,0.037122,[12 55] ; [14 59],[12.44285714 54.55714286] ; [13.55714286 59.44285714],0
b5,1,0.876762,0.024048,[40 28] ; [42 31],[39.54609929 28.45390071] ; [42.45390071 30.54609929],0
n1,1,0.887135,0.020144,[11 12] ; [17 20],[10.73333333 12.26666667] ; [17.26666667 19.73333333],0
d1,1,0.906466,0.013806,[31 37] ; [34 39],[31.34751773 36.65248227] ; [33.65248227 39.34751773],0
p7,1,0.958495,0.002708,[16 49] ; [18 54],[16.13138686 48.86861314] ; [17.86861314 54.13138686],0
