Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,82.362553,[19 75] ; [65  6],[47.85454545 46.14545455] ; [36.14545455 34.85454545],1
s6,1,0.0,43.997551,[37 58] ; [63  7],[57.57575758 37.42424242] ; [42.42424242 27.57575758],1
s8,1,0.0,28.361043,[15 80] ; [39 32],[30.90361446 64.09638554] ; [23.09638554 47.90361446],1
s4,1,0.000224,13.617795,[11 85] ; [25 46],[20.69461078 75.30538922] ; [15.30538922 55.69461078],1
s7,1,0.000312,12.995993,[20 72] ; [32 33],[30.47133758 61.52866242] ; [21.52866242 43.47133758],1
s5,1,0.0009,11.0232,[18 76] ; [29 38],[27.44099379 66.55900621] ; [19.55900621 47.44099379],1
p6,1,0.006176,7.498101,[13 80] ; [22 47],[20.09259259 72.90740741] ; [14.90740741 54.09259259],0
p1,1,0.00818,6.993693,[ 1 94] ; [ 7 63],[ 4.60606061 90.39393939] ; [ 3.39393939 66.60606061],0
r4,1,0.01065,6.52287,[82 14] ; [69  2],[86.80239521  9.19760479] ; [64.19760479  6.80239521],0
r2,1,0.019462,5.459489,[85 10] ; [70  1],[88.70481928  6.29518072] ; [66.29518072  4.70481928],0
p9,1,0.024433,5.063634,[67 29] ; [57 10],[73.03067485 22.96932515] ; [50.96932515 16.03067485],0
p10,1,0.026375,4.931286,[62 34] ; [54 13],[68.3190184 27.6809816] ; [47.6809816 19.3190184],0
d2,1,0.037088,4.346346,[27 69] ; [31 40],[33.34131737 62.65868263] ; [24.65868263 46.34131737],0
n3,1,0.085733,2.952727,[21 12] ; [21  4],[23.89655172  9.10344828] ; [18.10344828  6.89655172],0
a2,1,0.086129,2.945278,[12 84] ; [16 55],[16.09580838 79.90419162] ; [11.90419162 59.09580838],0
p7,1,0.10199,2.674141,[49 46] ; [42 23],[54.03125 40.96875] ; [36.96875 28.03125],0
p12,1,0.10458,2.634273,[ 2 94] ; [ 5 64],[ 4.07272727 91.92727273] ; [ 2.92727273 66.07272727],0
a6,1,0.110882,2.541599,[59 37] ; [52 19],[63.80838323 32.19161677] ; [47.19161677 23.80838323],0
v4,1,0.129107,2.303208,[86  8] ; [69  2],[88.3030303  5.6969697] ; [66.6969697  4.3030303],0
b3,1,0.170315,1.880165,[10 35] ; [12 21],[12.69230769 32.30769231] ; [ 9.30769231 23.69230769],0
b2,1,0.170315,1.880165,[10 35] ; [12 21],[12.69230769 32.30769231] ; [ 9.30769231 23.69230769],0
p4,1,0.253404,1.304437,[39 56] ; [35 35],[42.60606061 52.39393939] ; [31.39393939 38.60606061],0
a7,1,0.270259,1.215432,[70 26] ; [57 14],[73.00598802 22.99401198] ; [53.99401198 17.00598802],0
a8,1,0.273239,1.200414,[ 3 83] ; [ 5 62],[ 4.49673203 81.50326797] ; [ 3.50326797 63.49673203],0
v1,1,0.276888,1.1823,[40 55] ; [34 33],[43.39506173 51.60493827] ; [30.60493827 36.39506173],0
d1,1,0.3034,1.059191,[45 51] ; [39 32],[48.28742515 47.71257485] ; [35.71257485 35.28742515],0
n2,1,0.313499,1.015879,[21 12] ; [19  6],[22.75862069 10.24137931] ; [17.24137931  7.75862069],0
p5,1,0.322837,0.977417,[ 6 90] ; [ 2 67],[ 4.65454545 91.34545455] ; [ 3.34545455 65.65454545],0
u3,1,0.326804,0.961523,[22 13] ; [18  6],[23.72881356 11.27118644] ; [16.27118644  7.72881356],0
b5,1,0.327247,0.959762,[55 41] ; [46 25],[58.05988024 37.94011976] ; [42.94011976 28.05988024],0
u1,1,0.343371,0.897804,[ 9 87] ; [10 61],[10.92215569 85.07784431] ; [ 8.07784431 62.92215569],0
v2,1,0.425784,0.634297,[49 42] ; [38 25],[51.40909091 39.59090909] ; [35.59090909 27.40909091],0
v3,1,0.428648,0.626483,[25 66] ; [22 44],[27.24203822 63.75796178] ; [19.75796178 46.24203822],0
p11,1,0.441455,0.592497,[65 31] ; [44 27],[62.65868263 33.34131737] ; [46.34131737 24.65868263],0
b4,1,0.534492,0.385844,[60 36] ; [41 30],[58.05988024 37.94011976] ; [42.94011976 28.05988024],0
b1,1,0.548788,0.359492,[34 62] ; [22 49],[32.19161677 63.80838323] ; [23.80838323 47.19161677],0
n5,1,0.577588,0.31015,[30 65] ; [25 45],[31.66666667 63.33333333] ; [23.33333333 46.66666667],0
s1,1,0.655314,0.199266,[ 4 92] ; [ 2 68],[ 3.46987952 92.53012048] ; [ 2.53012048 67.46987952],0
a4,1,0.659231,0.194459,[32 64] ; [26 45],[33.34131737 62.65868263] ; [24.65868263 46.34131737],0
n6,1,0.662064,0.191027,[63 33] ; [43 26],[61.67272727 34.32727273] ; [44.32727273 24.67272727],0
n1,1,0.69676,0.151865,[ 8 26] ; [ 7 18],[ 8.6440678 25.3559322] ; [ 6.3559322 18.6440678],0
d5,1,0.75738,0.095433,[71 25] ; [54 17],[71.85628743 24.14371257] ; [53.14371257 17.85628743],0
a1,1,0.759219,0.093946,[ 2 94] ; [ 2 69],[ 2.2994012 93.7005988] ; [ 1.7005988 69.2994012],0
