Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-05,19.504762,[3 5] ; [109  11],[7. 1.] ; [105.  15.],1
p11,1,0.014202,6.012802,[3 5] ; [92 28],[5.9375 2.0625] ; [89.0625 30.9375],0
s4,1,0.017563,5.639211,[5 3] ; [28 88],[2.12903226 5.87096774] ; [30.87096774 85.12903226],0
p3,1,0.027334,4.869577,[2 6] ; [77 43],[4.9375 3.0625] ; [74.0625 45.9375],0
r1,1,0.030407,4.68611,[3 5] ; [88 32],[5.6875 2.3125] ; [85.3125 34.6875],0
p7,1,0.10193,2.675088,[4 3] ; [97 21],[5.656 1.344] ; [95.344 22.656],0
a6,1,0.105844,2.6152,[3 5] ; [79 41],[5.125 2.875] ; [76.875 43.125],0
s7,1,0.10794,2.584124,[6 1] ; [64 53],[3.9516129 3.0483871] ; [66.0483871 50.9516129],0
n1,1,0.210447,1.568349,[3 2] ; [10 22],[1.75675676 3.24324324] ; [11.24324324 20.75675676],0
s6,1,0.235505,1.4073,[4 4] ; [82 35],[5.504 2.496] ; [80.496 36.504],0
s8,1,0.269548,1.219048,[5 3] ; [51 69],[3.5 4.5] ; [52.5 67.5],0
n5,1,0.28477,1.144184,[7 1] ; [83 36],[5.66929134 2.33070866] ; [84.33070866 34.66929134],0
s1,1,0.288232,1.12786,[1 7] ; [  5 113],[0.38095238 7.61904762] ; [  5.61904762 112.38095238],0
d4,1,0.332173,0.940408,[5 3] ; [93 27],[6.125 1.875] ; [91.875 28.125],0
r2,1,0.380293,0.769755,[6 1] ; [111   7],[6.552 0.448] ; [110.448   7.552],0
b2,1,0.410245,0.678089,[2 5] ; [30 37],[3.02702703 3.97297297] ; [28.97297297 38.02702703],0
b3,1,0.410245,0.678089,[2 5] ; [30 37],[3.02702703 3.97297297] ; [28.97297297 38.02702703],0
d2,1,0.437728,0.60223,[5 3] ; [58 62],[3.9375 4.0625] ; [59.0625 60.9375],0
p8,1,0.450701,0.568889,[4 4] ; [76 44],[5. 3.] ; [75. 45.],0
n6,1,0.450701,0.568889,[6 2] ; [102  18],[6.75 1.25] ; [101.25  18.75],0
p4,1,0.469429,0.523321,[5 3] ; [89 31],[5.875 2.125] ; [88.125 31.875],0
b4,1,0.522614,0.408732,[3 5] ; [59 61],[3.875 4.125] ; [58.125 61.875],0
p9,1,0.545235,0.365923,[6 2] ; [100  20],[6.625 1.375] ; [99.375 20.625],0
a2,1,0.570546,0.32177,[1 7] ; [25 95],[1.625 6.375] ; [24.375 95.625],0
n2,1,0.635934,0.2241,[4 1] ; [23 10],[3.55263158 1.44736842] ; [23.44736842  9.55263158],0
b5,1,0.646626,0.210181,[5 3] ; [65 55],[4.375 3.625] ; [65.625 54.375],0
a4,1,0.646626,0.210181,[3 5] ; [55 65],[3.625 4.375] ; [54.375 65.625],0
a3,1,0.69366,0.155152,[5 3] ; [83 37],[5.5 2.5] ; [82.5 37.5],0
b1,1,0.712847,0.13545,[4 4] ; [52 68],[3.5 4.5] ; [52.5 67.5],0
s2,1,0.712847,0.13545,[5 3] ; [67 53],[4.5 3.5] ; [67.5 52.5],0
u1,1,0.716643,0.131732,[1 7] ; [21 99],[1.375 6.625] ; [20.625 99.375],0
s5,1,0.726154,0.122672,[3 4] ; [41 72],[2.56666667 4.43333333] ; [41.43333333 71.56666667],0
a5,1,0.770567,0.08505,[5 3] ; [81 39],[5.375 2.625] ; [80.625 39.375],0
u3,1,0.777998,0.079484,[2 1] ; [21 15],[1.76923077 1.23076923] ; [21.23076923 14.76923077],0
a7,1,0.822089,0.050562,[5 3] ; [79 40],[5.29133858 2.70866142] ; [78.70866142 40.29133858],0
n3,1,0.83528,0.043237,[4 1] ; [25  8],[3.81578947 1.18421053] ; [25.18421053  7.81578947],0
d3,1,0.835288,0.043232,[5 3] ; [78 40],[5.26984127 2.73015873] ; [77.73015873 40.26984127],0
s3,1,0.852546,0.034548,[5 3] ; [71 49],[4.75 3.25] ; [71.25 48.75],0
d1,1,0.854852,0.033464,[4 4] ; [64 56],[4.25 3.75] ; [63.75 56.25],0
d5,1,0.867094,0.028006,[6 2] ; [86 33],[5.79527559 2.20472441] ; [86.20472441 32.79527559],0
v2,1,0.927206,0.008347,[3 5] ; [42 75],[2.88 5.12] ; [42.12 74.88],0
p1,1,0.946385,0.004522,[1 7] ; [ 16 104],[1.0625 6.9375] ; [ 15.9375 104.0625],0
p10,1,0.967956,0.001614,[6 2] ; [90 29],[6.04724409 1.95275591] ; [89.95275591 29.04724409],0
v3,1,0.989429,0.000176,[2 6] ; [30 89],[2.01574803 5.98425197] ; [29.98425197 89.01574803],0
n4,1,1.0,0.0,[6 2] ; [90 30],[6. 2.] ; [90. 30.],0
