Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.003476,8.539236,[11 16] ; [42 15],[17.03571429  9.96428571] ; [35.96428571 21.03571429],0
n5,1,0.021847,5.25796,[16 11] ; [47 10],[20.25  6.75] ; [42.75 14.25],0
v4,1,0.02334,5.143051,[18  7] ; [52  5],[21.34146341  3.65853659] ; [48.65853659  8.34146341],0
r3,1,0.036843,4.357668,[16 11] ; [46 11],[19.92857143  7.07142857] ; [42.07142857 14.92857143],0
p3,1,0.039192,4.252536,[ 4 23] ; [21 36],[ 8.03571429 18.96428571] ; [16.96428571 40.03571429],0
p10,1,0.041793,4.143567,[10 16] ; [35 21],[14.26829268 11.73170732] ; [30.73170732 25.26829268],0
s6,1,0.049912,3.844416,[ 9 18] ; [31 24],[13.17073171 13.82926829] ; [26.82926829 28.17073171],0
p9,1,0.086994,2.929129,[12 14] ; [37 19],[15.53658537 10.46341463] ; [33.46341463 22.53658537],0
s8,1,0.120857,2.406185,[ 5 22] ; [20 37],[ 8.03571429 18.96428571] ; [16.96428571 40.03571429],0
n4,1,0.129851,2.294285,[16 11] ; [43 14],[18.96428571  8.03571429] ; [40.03571429 16.96428571],0
b4,1,0.143682,2.138071,[12 15] ; [35 22],[15.10714286 11.89285714] ; [31.89285714 25.10714286],0
p11,1,0.181684,1.783796,[16 11] ; [42 15],[18.64285714  8.35714286] ; [39.35714286 17.64285714],0
a1,1,0.192276,1.700094,[ 2 25] ; [ 1 56],[ 0.96428571 26.03571429] ; [ 2.03571429 54.96428571],0
p8,1,0.19754,1.660472,[ 7 20] ; [23 34],[ 9.64285714 17.35714286] ; [20.35714286 36.64285714],0
p5,1,0.211055,1.564174,[ 1 26] ; [ 7 50],[ 2.57142857 24.42857143] ; [ 5.42857143 51.57142857],0
v3,1,0.238466,1.389638,[ 4 22] ; [15 40],[ 6.09876543 19.90123457] ; [12.90123457 42.09876543],0
r1,1,0.242755,1.364522,[11 16] ; [31 26],[13.5 13.5] ; [28.5 28.5],0
v1,1,0.26757,1.229165,[11 16] ; [16 40],[ 8.78313253 18.21686747] ; [18.21686747 37.78313253],0
d5,1,0.321593,0.982456,[ 7 20] ; [21 36],[ 9. 18.] ; [19. 38.],0
p2,1,0.324333,0.971394,[15 12] ; [38 19],[17.03571429  9.96428571] ; [35.96428571 21.03571429],0
s5,1,0.347073,0.884132,[ 3 23] ; [11 44],[ 4.49382716 21.50617284] ; [ 9.50617284 45.49382716],0
v2,1,0.359299,0.84034,[ 9 16] ; [14 40],[ 7.27848101 17.72151899] ; [15.72151899 38.27848101],0
a4,1,0.374368,0.789116,[ 4 23] ; [13 43],[ 5.53012048 21.46987952] ; [11.46987952 44.53012048],0
s1,1,0.378674,0.775001,[ 1 26] ; [ 5 50],[ 1.97560976 25.02439024] ; [ 4.02439024 50.97560976],0
p7,1,0.384991,0.754705,[11 16] ; [29 28],[12.85714286 14.14285714] ; [27.14285714 29.85714286],0
u2,1,0.38667,0.749388,[8 8] ; [13 22],[6.58823529 9.41176471] ; [14.41176471 20.58823529],0
b1,1,0.394599,0.724722,[15 12] ; [26 31],[13.17857143 13.82142857] ; [27.82142857 29.17857143],0
b3,1,0.411152,0.675467,[ 6 10] ; [10 28],[ 4.74074074 11.25925926] ; [11.25925926 26.74074074],0
b2,1,0.411152,0.675467,[ 6 10] ; [10 28],[ 4.74074074 11.25925926] ; [11.25925926 26.74074074],0
n2,1,0.456845,0.553613,[12  4] ; [14  8],[10.94736842  5.05263158] ; [15.05263158  6.94736842],0
d2,1,0.46554,0.532543,[ 6 21] ; [17 40],[ 7.39285714 19.60714286] ; [15.60714286 41.39285714],0
s7,1,0.496292,0.462857,[ 7 18] ; [20 36],[ 8.33333333 16.66666667] ; [18.66666667 37.33333333],0
n1,1,0.53085,0.392764,[7 8] ; [ 8 14],[6.08108108 8.91891892] ; [ 8.91891892 13.08108108],0
r2,1,0.553385,0.351288,[20  6] ; [47 10],[20.98795181  5.01204819] ; [46.01204819 10.98795181],0
s3,1,0.576428,0.312045,[11 16] ; [26 29],[12.18292683 14.81707317] ; [24.81707317 30.18292683],0
a8,1,0.622797,0.241956,[ 3 23] ; [ 8 43],[ 3.71428571 22.28571429] ; [ 7.28571429 43.71428571],0
p1,1,0.649261,0.206833,[ 2 25] ; [ 6 51],[ 2.57142857 24.42857143] ; [ 5.42857143 51.57142857],0
p6,1,0.654132,0.200731,[ 6 21] ; [15 41],[ 6.8313253 20.1686747] ; [14.1686747 41.8313253],0
p4,1,0.658513,0.195335,[10 17] ; [24 33],[10.92857143 16.07142857] ; [23.07142857 33.92857143],0
u3,1,0.669538,0.182143,[ 6 10] ; [11 24],[ 5.33333333 10.66666667] ; [11.66666667 23.33333333],0
a2,1,0.753945,0.098246,[ 1 26] ; [ 3 54],[ 1.28571429 25.71428571] ; [ 2.71428571 54.28571429],0
n3,1,0.759766,0.093506,[10  5] ; [15  6],[10.41666667  4.58333333] ; [14.58333333  6.41666667],0
a6,1,0.80185,0.062978,[12 15] ; [27 30],[12.53571429 14.46428571] ; [26.46428571 30.53571429],0
s2,1,0.817104,0.053487,[ 8 19] ; [18 38],[ 8.45783133 18.54216867] ; [17.54216867 38.45783133],0
a3,1,0.850933,0.035317,[11 16] ; [22 35],[10.60714286 16.39285714] ; [22.39285714 34.60714286],0
s4,1,0.932266,0.007224,[ 5 22] ; [11 46],[ 5.14285714 21.85714286] ; [10.85714286 46.14285714],0
d3,1,0.932266,0.007224,[ 5 22] ; [11 46],[ 5.14285714 21.85714286] ; [10.85714286 46.14285714],0
b5,1,0.933485,0.006966,[13 14] ; [28 29],[13.17857143 13.82142857] ; [27.82142857 29.17857143],0
a5,1,0.986204,0.000299,[10 17] ; [21 36],[ 9.96428571 17.03571429] ; [21.03571429 35.96428571],0
