Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7.3e-05,15.729191,[34 69] ; [13  2],[41.02542373 61.97457627] ; [5.97457627 9.02542373],1
p2,1,0.00339,8.584485,[50 63] ; [14  3],[55.63076923 57.36923077] ; [8.36923077 8.63076923],0
u1,1,0.006028,7.541924,[ 12 101] ; [ 6 11],[15.64615385 97.35384615] ; [ 2.35384615 14.64615385],0
s8,1,0.007186,7.225982,[30 83] ; [10  7],[34.76923077 78.23076923] ; [ 5.23076923 11.76923077],0
p9,1,0.008656,6.89254,[51 55] ; [14  3],[56.01626016 49.98373984] ; [8.98373984 8.01626016],0
s2,1,0.009134,6.796396,[42 71] ; [12  5],[46.93846154 66.06153846] ; [7.06153846 9.93846154],0
p8,1,0.019219,5.48152,[19 94] ; [ 7 10],[22.6 90.4] ; [ 3.4 13.6],0
p3,1,0.021217,5.308885,[24 89] ; [8 9],[27.81538462 85.18461538] ; [ 4.18461538 12.81538462],0
p4,1,0.026238,4.940257,[35 77] ; [10  7],[39.06976744 72.93023256] ; [ 5.93023256 11.06976744],0
d1,1,0.027367,4.867476,[54 59] ; [13  4],[58.23846154 54.76153846] ; [8.76153846 8.23846154],0
n4,1,0.037446,4.330033,[63 50] ; [14  3],[66.93076923 46.06923077] ; [10.06923077  6.93076923],0
n3,1,0.044352,4.043127,[24 29] ; [6 1],[26.5 26.5] ; [3.5 3.5],0
v2,1,0.048517,3.891993,[37 72] ; [10  7],[40.65873016 68.34126984] ; [ 6.34126984 10.65873016],0
b2,1,0.063611,3.440646,[21 40] ; [6 3],[23.52857143 37.47142857] ; [3.47142857 5.52857143],0
b3,1,0.063611,3.440646,[21 40] ; [6 3],[23.52857143 37.47142857] ; [3.47142857 5.52857143],0
a5,1,0.080855,3.04764,[61 52] ; [13  4],[64.32307692 48.67692308] ; [9.67692308 7.32307692],0
r4,1,0.088474,2.901928,[69 44] ; [14  3],[72.14615385 40.85384615] ; [10.85384615  6.14615385],0
d3,1,0.088474,2.901928,[69 44] ; [14  3],[72.14615385 40.85384615] ; [10.85384615  6.14615385],0
n1,1,0.093162,2.81887,[21 34] ; [5 2],[23.06451613 31.93548387] ; [2.93548387 4.06451613],0
r3,1,0.101754,2.677836,[78 35] ; [15  2],[80.83846154 32.16153846] ; [12.16153846  4.83846154],0
a4,1,0.135838,2.224486,[44 67] ; [10  7],[46.828125 64.171875] ; [7.171875 9.828125],0
d2,1,0.14046,2.172911,[51 61] ; [11  6],[53.82945736 58.17054264] ; [8.17054264 8.82945736],0
a7,1,0.146965,2.103473,[73 40] ; [14  3],[75.62307692 37.37692308] ; [11.37692308  5.62307692],0
s3,1,0.156173,2.010901,[45 66] ; [10  7],[47.6953125 63.3046875] ; [7.3046875 9.6953125],0
a3,1,0.158651,1.987041,[65 46] ; [13  4],[67.640625 43.359375] ; [10.359375  6.640625],0
d5,1,0.187074,1.74051,[83 30] ; [15  2],[85.18461538 27.81538462] ; [12.81538462  4.18461538],0
d4,1,0.209923,1.57196,[84 29] ; [15  2],[86.05384615 26.94615385] ; [12.94615385  4.05384615],0
b5,1,0.248353,1.332545,[63 50] ; [12  5],[65.19230769 47.80769231] ; [9.80769231 7.19230769],0
v1,1,0.258314,1.277772,[37 75] ; [8 9],[39.06976744 72.93023256] ; [ 5.93023256 11.06976744],0
n6,1,0.264167,1.246789,[63 49] ; [12  5],[65.11627907 46.88372093] ; [9.88372093 7.11627907],0
b1,1,0.291623,1.112112,[62 51] ; [ 7 10],[59.97692308 53.02307692] ; [9.02307692 7.97692308],0
v4,1,0.293059,1.105517,[87 26] ; [15  2],[88.66153846 24.33846154] ; [13.33846154  3.66153846],0
a6,1,0.33536,0.928088,[59 54] ; [11  6],[60.84615385 52.15384615] ; [9.15384615 7.84615385],0
a2,1,0.346093,0.887732,[22 91] ; [ 5 12],[23.46923077 89.53076923] ; [ 3.53076923 13.46923077],0
r1,1,0.369494,0.805366,[74 39] ; [13  4],[75.62307692 37.37692308] ; [11.37692308  5.62307692],0
s6,1,0.376684,0.781496,[53 59] ; [10  7],[54.69767442 57.30232558] ; [8.30232558 8.69767442],0
p1,1,0.397795,0.714981,[ 12 101] ; [ 3 14],[13.03846154 99.96153846] ; [ 1.96153846 15.03846154],0
n2,1,0.417887,0.65625,[31 25] ; [5 2],[32. 24.] ; [4. 3.],0
s5,1,0.438962,0.598995,[26 82] ; [ 5 10],[27.2195122 80.7804878] ; [ 3.7804878 11.2195122],0
n5,1,0.445939,0.580954,[62 51] ; [11  6],[63.45384615 49.54615385] ; [9.54615385 7.45384615],0
s1,1,0.60798,0.263127,[  9 103] ; [ 2 15],[  9.5503876 102.4496124] ; [ 1.4496124 15.5503876],0
p10,1,0.675825,0.174864,[45 63] ; [8 9],[45.792 62.208] ; [7.208 9.792],0
s4,1,0.696381,0.152264,[22 91] ; [ 4 13],[22.6 90.4] ; [ 3.4 13.6],0
u2,1,0.708765,0.139514,[19 28] ; [2 2],[19.35294118 27.64705882] ; [1.64705882 2.35294118],0
u3,1,0.808929,0.058471,[21 27] ; [2 2],[21.23076923 26.76923077] ; [1.76923077 2.23076923],0
b4,1,0.865226,0.028807,[64 49] ; [10  7],[64.32307692 48.67692308] ; [9.67692308 7.32307692],0
v3,1,0.9483,0.004204,[32 74] ; [ 5 12],[31.88617886 74.11382114] ; [ 5.11382114 11.88617886],0
p5,1,0.960153,0.002496,[  7 106] ; [ 1 16],[  6.95384615 106.04615385] ; [ 1.04615385 15.95384615],0
