Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000264,13.30665,[ 8 21] ; [62 32],[16.50406504 12.49593496] ; [53.49593496 40.50406504],1
s5,1,0.00911,6.801086,[14 10] ; [27 64],[ 8.55652174 15.44347826] ; [32.44347826 58.55652174],0
s2,1,0.019612,5.446098,[20  9] ; [42 53],[14.5 14.5] ; [47.5 47.5],0
s6,1,0.028744,4.782858,[22  5] ; [55 39],[17.18181818  9.81818182] ; [59.81818182 34.18181818],0
n4,1,0.085378,2.95943,[15 14] ; [65 29],[18.86178862 10.13821138] ; [61.13821138 32.86178862],0
a7,1,0.088236,2.906265,[18 11] ; [74 21],[21.51612903  7.48387097] ; [70.48387097 24.51612903],0
p10,1,0.097001,2.754177,[20  8] ; [50 43],[16.19834711 11.80165289] ; [53.80165289 39.19834711],0
d2,1,0.147835,2.094447,[26  3] ; [72 21],[23.29508197  5.70491803] ; [74.70491803 18.29508197],0
a2,1,0.160015,1.974082,[ 8 21] ; [40 55],[11.22580645 17.77419355] ; [36.77419355 58.22580645],0
v1,1,0.160958,1.965198,[ 9 20] ; [43 51],[12.2601626 16.7398374] ; [39.7398374 54.2601626],0
a6,1,0.162159,1.953979,[17 12] ; [68 26],[20.04065041  8.95934959] ; [64.95934959 29.04065041],0
s8,1,0.18526,1.754919,[15 14] ; [36 59],[11.92741935 17.07258065] ; [39.07258065 55.92741935],0
d3,1,0.19035,1.714905,[28  1] ; [83 11],[26.17073171  2.82926829] ; [84.82926829  9.17073171],0
s3,1,0.204874,1.607287,[19 10] ; [49 45],[16.03252033 12.96747967] ; [51.96747967 42.03252033],0
n3,1,0.210443,1.568378,[11  3] ; [24 16],[9.07407407 4.92592593] ; [25.92592593 14.07407407],0
p6,1,0.230617,1.437049,[13 16] ; [30 62],[10.30578512 18.69421488] ; [32.69421488 59.30578512],0
r1,1,0.266357,1.235415,[21  8] ; [77 17],[23.10569106  5.89430894] ; [74.89430894 19.10569106],0
p5,1,0.345309,0.890622,[ 3 26] ; [ 5 88],[ 1.90163934 27.09836066] ; [ 6.09836066 86.90163934],0
a8,1,0.349051,0.876905,[ 1 25] ; [ 8 75],[ 2.14678899 23.85321101] ; [ 6.85321101 76.14678899],0
n1,1,0.356204,0.851232,[5 9] ; [20 20],[6.48148148 7.51851852] ; [18.51851852 21.48148148],0
u3,1,0.363646,0.825263,[4 1] ; [11  8],[3.125 1.875] ; [11.875  7.125],0
b5,1,0.386302,0.750552,[17 12] ; [64 31],[18.94354839 10.05645161] ; [62.05645161 32.94354839],0
a1,1,0.451966,0.565718,[ 1 28] ; [ 7 88],[ 1.87096774 27.12903226] ; [ 6.12903226 88.87096774],0
n2,1,0.472245,0.516719,[7 7] ; [25 16],[8.14545455 5.85454545] ; [23.85454545 17.14545455],0
p4,1,0.50019,0.454532,[15 14] ; [41 51],[13.4214876 15.5785124] ; [42.5785124 49.4214876],0
u1,1,0.50708,0.440089,[ 7 22] ; [29 66],[ 8.41935484 20.58064516] ; [27.58064516 67.41935484],0
v2,1,0.507807,0.438583,[16 12] ; [46 46],[14.46666667 13.53333333] ; [47.53333333 44.46666667],0
p7,1,0.537368,0.38044,[14 15] ; [38 53],[12.56666667 16.43333333] ; [39.43333333 51.56666667],0
p2,1,0.565634,0.330043,[17 12] ; [60 33],[18.30327869 10.69672131] ; [58.69672131 34.30327869],0
v3,1,0.569225,0.323981,[10 18] ; [27 63],[ 8.77966102 19.22033898] ; [28.22033898 61.77966102],0
