Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.011327,6.413227,[24 52] ; [13  8],[28.98969072 47.01030928] ; [ 8.01030928 12.98969072],0
n5,1,0.036663,4.365999,[49 28] ; [ 9 14],[44.66 32.34] ; [13.34  9.66],0
d3,1,0.039836,4.224877,[51 28] ; [20  3],[54.99019608 24.00980392] ; [16.00980392  6.99019608],0
v1,1,0.084125,2.983341,[47 32] ; [ 9 14],[43.37254902 35.62745098] ; [12.62745098 10.37254902],0
d4,1,0.089318,2.886623,[64 15] ; [22  1],[66.60784314 12.39215686] ; [19.39215686  3.60784314],0
s7,1,0.116679,2.461343,[34 38] ; [14  7],[37.16129032 34.83870968] ; [10.83870968 10.16129032],0
s6,1,0.1322,2.266484,[54 24] ; [18  3],[56.72727273 21.27272727] ; [15.27272727  5.72727273],0
d2,1,0.133174,2.255111,[41 38] ; [16  7],[44.14705882 34.85294118] ; [12.85294118 10.14705882],0
u1,1,0.184497,1.761022,[14 65] ; [ 7 16],[16.26470588 62.73529412] ; [ 4.73529412 18.26470588],0
p9,1,0.252097,1.311648,[49 29] ; [16  5],[51.21212121 26.78787879] ; [13.78787879  7.21212121],0
p10,1,0.252832,1.307587,[45 33] ; [15  6],[47.27272727 30.72727273] ; [12.72727273  8.27272727],0
n3,1,0.256372,1.288245,[16  8] ; [7 1],[17.25  6.75] ; [5.75 2.25],0
p2,1,0.311519,1.024223,[53 25] ; [13 10],[50.97029703 27.02970297] ; [15.02970297  7.97029703],0
d1,1,0.327044,0.960568,[46 33] ; [16  7],[48.01960784 30.98039216] ; [13.98039216  9.01960784],0
r2,1,0.346085,0.887761,[75  3] ; [21  2],[74.13861386  3.86138614] ; [21.86138614  1.13861386],0
s2,1,0.35796,0.845039,[43 36] ; [15  8],[44.92156863 34.07843137] ; [13.07843137  9.92156863],0
s3,1,0.35897,0.841494,[39 39] ; [14  9],[40.93069307 37.06930693] ; [12.06930693 10.93069307],0
v4,1,0.389843,0.739432,[71  8] ; [22  1],[72.02941176  6.97058824] ; [20.97058824  2.02941176],0
n1,1,0.399075,0.711111,[10 14] ; [2 6],[ 9. 15.] ; [3. 5.],0
n6,1,0.409031,0.681617,[57 20] ; [15  8],[55.44 21.56] ; [16.56  6.44],0
p3,1,0.424169,0.638734,[34 43] ; [ 8 15],[32.34 44.66] ; [ 9.66 13.34],0
p4,1,0.441728,0.59179,[40 36] ; [10 13],[38.38383838 37.61616162] ; [11.61616162 11.38383838],0
b5,1,0.442067,0.59091,[48 31] ; [16  7],[49.56862745 29.43137255] ; [14.43137255  8.56862745],0
a8,1,0.453743,0.561285,[ 8 61] ; [ 1 17],[ 7.13793103 61.86206897] ; [ 1.86206897 16.13793103],0
r1,1,0.45865,0.549187,[64 15] ; [17  6],[62.73529412 16.26470588] ; [18.26470588  4.73529412],0
a4,1,0.477212,0.505228,[38 41] ; [13 10],[39.5 39.5] ; [11.5 11.5],0
p1,1,0.524743,0.404561,[ 4 74] ; [ 2 21],[ 4.63366337 73.36633663] ; [ 1.36633663 21.63366337],0
n4,1,0.527806,0.398614,[53 25] ; [14  9],[51.74257426 26.25742574] ; [15.25742574  7.74257426],0
a5,1,0.536389,0.382274,[60 19] ; [16  7],[58.8627451 20.1372549] ; [17.1372549  5.8627451],0
p8,1,0.565763,0.329824,[26 51] ; [ 6 16],[24.88888889 52.11111111] ; [ 7.11111111 14.88888889],0
u2,1,0.589876,0.290538,[10 12] ; [4 3],[10.62068966 11.37931034] ; [3.37931034 3.62068966],0
r4,1,0.596254,0.280682,[65 14] ; [20  3],[65.83333333 13.16666667] ; [19.16666667  3.83333333],0
s8,1,0.605916,0.266164,[33 46] ; [11 12],[34.07843137 44.92156863] ; [ 9.92156863 13.07843137],0
