Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.666207,[54 15] ; [ 1 12],[46.2804878 22.7195122] ; [8.7195122 4.2804878],1
r2,1,3.1e-05,17.374548,[61  8] ; [5 8],[55.53658537 13.46341463] ; [10.46341463  2.53658537],1
v4,1,0.00907,6.809089,[58 10] ; [7 6],[54.56790123 13.43209877] ; [10.43209877  2.56790123],0
r1,1,0.026736,4.907775,[44 25] ; [4 9],[40.3902439 28.6097561] ; [7.6097561 5.3902439],0
p2,1,0.04485,4.024284,[42 27] ; [4 9],[38.70731707 30.29268293] ; [7.29268293 5.70731707],0
b1,1,0.05687,3.626381,[28 41] ; [9 4],[31.13414634 37.86585366] ; [5.86585366 7.13414634],0
p8,1,0.067151,3.351312,[24 45] ; [ 1 11],[21.2962963 47.7037037] ; [3.7037037 8.2962963],0
s2,1,0.070803,3.264299,[22 46] ; [ 1 12],[19.30864198 48.69135802] ; [3.69135802 9.30864198],0
n5,1,0.113175,2.509321,[17 52] ; [6 7],[19.35365854 49.64634146] ; [3.64634146 9.35365854],0
a7,1,0.16247,1.951088,[41 28] ; [5 8],[38.70731707 30.29268293] ; [7.29268293 5.70731707],0
v2,1,0.191621,1.705113,[28 38] ; [ 3 10],[25.89873418 40.10126582] ; [5.10126582 7.89873418],0
d5,1,0.193501,1.690759,[45 24] ; [6 7],[42.91463415 26.08536585] ; [8.08536585 4.91463415],0
s3,1,0.198796,1.651198,[29 40] ; [ 3 10],[26.92682927 42.07317073] ; [5.07317073 7.92682927],0
a3,1,0.203007,1.62061,[34 34] ; [9 4],[36.09876543 31.90123457] ; [6.90123457 6.09876543],0
p3,1,0.219589,1.507055,[22 46] ; [ 2 11],[20.14814815 47.85185185] ; [3.85185185 9.14814815],0
n2,1,0.230139,1.44,[18 12] ; [2 4],[16.66666667 13.33333333] ; [3.33333333 2.66666667],0
n6,1,0.23097,1.434879,[39 30] ; [5 8],[37.02439024 31.97560976] ; [6.97560976 6.02439024],0
p4,1,0.232542,1.425243,[28 41] ; [ 3 10],[26.08536585 42.91463415] ; [4.91463415 8.08536585],0
p7,1,0.298256,1.081975,[32 37] ; [4 9],[30.29268293 38.70731707] ; [5.70731707 7.29268293],0
s5,1,0.309177,1.03419,[13 54] ; [ 1 12],[11.725 55.275] ; [ 2.275 10.725],0
s1,1,0.335406,0.927914,[ 5 64] ; [ 2 11],[ 5.8902439 63.1097561] ; [ 1.1097561 11.8902439],0
p11,1,0.34377,0.89632,[31 38] ; [4 9],[29.45121951 39.54878049] ; [5.54878049 7.45121951],0
s6,1,0.371572,0.798399,[30 38] ; [4 9],[28.54320988 39.45679012] ; [5.45679012 7.54320988],0
d1,1,0.393543,0.727966,[30 39] ; [4 9],[28.6097561 40.3902439] ; [5.3902439 7.6097561],0
a1,1,0.398384,0.713198,[ 2 67] ; [ 1 12],[ 2.52439024 66.47560976] ; [ 0.47560976 12.52439024],0
d3,1,0.430951,0.620259,[40 29] ; [6 7],[38.70731707 30.29268293] ; [7.29268293 5.70731707],0
a6,1,0.430951,0.620259,[40 29] ; [6 7],[38.70731707 30.29268293] ; [7.29268293 5.70731707],0
n1,1,0.446459,0.579626,[ 6 25] ; [2 4],[ 6.7027027 24.2972973] ; [1.2972973 4.7027027],0
d2,1,0.447607,0.576706,[29 40] ; [4 9],[27.76829268 41.23170732] ; [5.23170732 7.76829268],0
s7,1,0.456165,0.555288,[12 54] ; [ 1 10],[11.14285714 54.85714286] ; [1.85714286 9.14285714],0
u2,1,0.463846,0.536598,[15 19] ; [1 3],[14.31578947 19.68421053] ; [1.68421053 2.31578947],0
v3,1,0.481168,0.496216,[10 56] ; [ 3 10],[10.86075949 55.13924051] ; [ 2.13924051 10.86075949],0
b4,1,0.490756,0.474868,[39 30] ; [6 7],[37.86585366 31.13414634] ; [7.13414634 5.86585366],0
n3,1,0.502164,0.450361,[20 11] ; [3 3],[19.27027027 11.72972973] ; [3.72972973 2.27027027],0
p9,1,0.547403,0.361991,[23 45] ; [3 9],[22.1 45.9] ; [3.9 8.1],0
a2,1,0.588603,0.292531,[ 9 60] ; [ 1 12],[ 8.41463415 60.58536585] ; [ 1.58536585 11.41463415],0
v1,1,0.642565,0.215404,[20 48] ; [ 3 10],[19.30864198 48.69135802] ; [3.69135802 9.30864198],0
b2,1,0.764105,0.090057,[11 31] ; [1 4],[10.72340426 31.27659574] ; [1.27659574 3.72340426],0
b3,1,0.764105,0.090057,[11 31] ; [1 4],[10.72340426 31.27659574] ; [1.27659574 3.72340426],0
s4,1,0.767491,0.087414,[13 56] ; [ 2 11],[12.62195122 56.37804878] ; [ 2.37804878 10.62195122],0
p1,1,0.793355,0.068621,[ 4 65] ; [ 1 12],[ 4.20731707 64.79268293] ; [ 0.79268293 12.20731707],0
u3,1,0.870611,0.026531,[19 16] ; [2 2],[18.84615385 16.15384615] ; [2.15384615 1.84615385],0
d4,1,0.882873,0.021706,[51 17] ; [10  3],[51.20987654 16.79012346] ; [9.79012346 3.20987654],0
a4,1,0.896834,0.016812,[20 49] ; [4 9],[20.19512195 48.80487805] ; [3.80487805 9.19512195],0
b5,1,0.963826,0.002057,[42 27] ; [8 5],[42.07317073 26.92682927] ; [7.92682927 5.07317073],0
a5,1,0.988201,0.000219,[32 37] ; [6 7],[31.97560976 37.02439024] ; [6.02439024 6.97560976],0
