Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,4e-06,21.355227,[ 9 21] ; [57 16],[19.22330097 10.77669903] ; [46.77669903 26.22330097],1
d3,1,2.2e-05,17.990485,[12 18] ; [60 13],[20.97087379  9.02912621] ; [51.02912621 21.97087379],1
a2,1,9.7e-05,15.2036,[ 1 29] ; [31 42],[ 9.32038835 20.67961165] ; [22.67961165 50.32038835],1
b5,1,0.026642,4.913869,[14 16] ; [51 22],[18.93203883 11.06796117] ; [46.06796117 26.93203883],0
a5,1,0.027092,4.884934,[18 12] ; [59 14],[22.42718447  7.57281553] ; [54.57281553 18.42718447],0
p8,1,0.03787,4.310845,[14 15] ; [19 52],[ 9.57 19.43] ; [23.43 47.57],0
p7,1,0.054489,3.697665,[19 10] ; [31 39],[14.64646465 14.35353535] ; [35.35353535 34.64646465],0
a3,1,0.119449,2.42453,[18 12] ; [55 18],[21.26213592  8.73786408] ; [51.73786408 21.26213592],0
r1,1,0.120624,2.4092,[21  9] ; [61 12],[23.88349515  6.11650485] ; [58.11650485 14.88349515],0
d1,1,0.136108,2.22142,[15 15] ; [48 25],[18.34951456 11.65048544] ; [44.65048544 28.34951456],0
a4,1,0.172429,1.8617,[12 18] ; [40 33],[15.14563107 14.85436893] ; [36.85436893 36.14563107],0
r3,1,0.183093,1.77234,[26  4] ; [68  4],[27.64705882  2.35294118] ; [66.35294118  5.64705882],0
p9,1,0.187899,1.734011,[16 13] ; [49 22],[18.85 10.15] ; [46.15 24.85],0
n1,1,0.207821,1.586538,[6 5] ; [ 7 15],[4.33333333 6.66666667] ; [ 8.66666667 13.33333333],0
p10,1,0.280304,1.165614,[15 14] ; [45 26],[17.4 11.6] ; [42.6 28.4],0
n2,1,0.284005,1.147826,[9 2] ; [14  8],[7.66666667 3.33333333] ; [15.33333333  6.66666667],0
p5,1,0.356552,0.85,[ 2 28] ; [ 2 70],[ 1.17647059 28.82352941] ; [ 2.82352941 69.17647059],0
b3,1,0.36337,0.826213,[ 7 10] ; [10 25],[ 5.55769231 11.44230769] ; [11.44230769 23.55769231],0
b2,1,0.36337,0.826213,[ 7 10] ; [10 25],[ 5.55769231 11.44230769] ; [11.44230769 23.55769231],0
s7,1,0.376278,0.782828,[12 15] ; [36 30],[13.93548387 13.06451613] ; [34.06451613 31.93548387],0
n3,1,0.407016,0.6875,[9 2] ; [15  7],[8. 3.] ; [16.  6.],0
d4,1,0.422466,0.643446,[24  6] ; [63 10],[25.33980583  4.66019417] ; [61.66019417 11.33980583],0
b4,1,0.426061,0.633536,[19 11] ; [40 33],[17.18446602 12.81553398] ; [41.81553398 31.18446602],0
p4,1,0.443497,0.587219,[16 12] ; [35 37],[14.28 13.72] ; [36.72 35.28],0
