Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000207,13.764186,[46  4] ; [179  93],[34.9378882 15.0621118] ; [190.0621118  81.9378882],1
s3,1,0.000486,12.168961,[40 10] ; [146 127],[28.79256966 21.20743034] ; [157.20743034 115.79256966],1
s2,1,0.000493,12.140542,[38 12] ; [135 139],[26.69753086 23.30246914] ; [146.30246914 127.69753086],1
b5,1,0.003859,8.349181,[41 10] ; [163 113],[31.81651376 19.18348624] ; [172.18348624 103.81651376],0
u2,1,0.005726,7.634664,[ 3 10] ; [45 25],[7.51807229 5.48192771] ; [40.48192771 29.51807229],0
s5,1,0.022386,5.215541,[23 22] ; [ 90 179],[16.19426752 28.80573248] ; [ 96.80573248 172.19426752],0
a8,1,0.044577,4.034577,[ 2 46] ; [ 36 206],[ 6.28965517 41.71034483] ; [ 31.71034483 210.28965517],0
v2,1,0.076573,3.136172,[26 24] ; [174  93],[31.54574132 18.45425868] ; [168.45425868  98.54574132],0
b3,1,0.092815,2.824851,[ 6 20] ; [ 70 104],[ 9.88 16.12] ; [ 66.12 107.88],0
b2,1,0.092815,2.824851,[ 6 20] ; [ 70 104],[ 9.88 16.12] ; [ 66.12 107.88],0
v3,1,0.095118,2.785543,[17 34] ; [121 142],[22.41401274 28.58598726] ; [115.58598726 147.41401274],0
n1,1,0.114759,2.48743,[1 7] ; [18 25],[2.98039216 5.01960784] ; [16.01960784 26.98039216],0
p4,1,0.118101,2.442329,[46  5] ; [224  52],[42.11009174  8.88990826] ; [227.88990826  48.11009174],0
p6,1,0.12299,2.378826,[30 21] ; [128 144],[24.94736842 26.05263158] ; [133.05263158 138.94736842],0
b4,1,0.154151,2.030685,[35 16] ; [160 116],[30.41284404 20.58715596] ; [164.58715596 111.41284404],0
n2,1,0.232813,1.423593,[5 3] ; [35  8],[6.2745098 1.7254902] ; [33.7254902  9.2745098],0
a1,1,0.256894,1.285421,[ 1 50] ; [ 16 260],[ 2.65137615 48.34862385] ; [ 14.34862385 261.65137615],0
u1,1,0.260336,1.266972,[17 34] ; [ 71 205],[13.72477064 37.27522936] ; [ 74.27522936 201.72477064],0
p10,1,0.277957,1.177052,[42  9] ; [240  33],[44.38888889  6.61111111] ; [237.61111111  35.38888889],0
p1,1,0.290528,1.117175,[ 4 47] ; [ 36 238],[ 6.27692308 44.72307692] ; [ 33.72307692 240.27692308],0
p11,1,0.298136,1.082514,[39 12] ; [228  48],[41.64220183  9.35779817] ; [225.35779817  50.64220183],0
s7,1,0.388942,0.742246,[30 20] ; [135 118],[27.22772277 22.77227723] ; [137.77227723 115.22772277],0
p9,1,0.406847,0.687995,[44  7] ; [247  27],[45.66461538  5.33538462] ; [245.33538462  28.66461538],0
r3,1,0.432713,0.61553,[49  1] ; [263  12],[48.  2.] ; [264.  11.],0
s8,1,0.455485,0.556966,[27 24] ; [129 144],[24.55555556 26.44444444] ; [131.44444444 141.55555556],0
v4,1,0.460791,0.543973,[49  2] ; [269   6],[49.74846626  1.25153374] ; [268.25153374   6.74846626],0
d3,1,0.574511,0.315194,[41 10] ; [212  64],[39.4587156 11.5412844] ; [213.5412844  62.4587156],0
s1,1,0.58493,0.298332,[ 2 49] ; [  7 267],[ 1.41230769 49.58769231] ; [  7.58769231 266.41230769],0
r2,1,0.588169,0.293213,[49  2] ; [266   7],[49.58333333  1.41666667] ; [265.41666667   7.58333333],0
n4,1,0.604978,0.267553,[40 11] ; [225  51],[41.33027523  9.66972477] ; [223.66972477  52.33027523],0
d1,1,0.63731,0.222277,[35 16] ; [180  96],[33.53211009 17.46788991] ; [181.46788991  94.53211009],0
v1,1,0.652249,0.203076,[30 21] ; [166 101],[31.43396226 19.56603774] ; [164.56603774 102.43396226],0
r4,1,0.652262,0.20306,[47  4] ; [259  17],[47.72477064  3.27522936] ; [258.27522936  17.72477064],0
u3,1,0.669647,0.182015,[8 5] ; [48 23],[8.66666667 4.33333333] ; [47.33333333 23.66666667],0
a2,1,0.66998,0.181625,[18 33] ; [ 89 187],[16.68807339 34.31192661] ; [ 90.31192661 185.68807339],0
n3,1,0.67749,0.172965,[7 1] ; [35  8],[6.58823529 1.41176471] ; [35.41176471  7.58823529],0
a6,1,0.682511,0.167313,[41 10] ; [214  61],[39.89263804 11.10736196] ; [215.10736196  59.89263804],0
a4,1,0.695682,0.153003,[26 25] ; [132 143],[24.71779141 26.28220859] ; [133.28220859 141.71779141],0
p5,1,0.742354,0.108068,[ 8 43] ; [ 48 225],[ 8.81481481 42.18518519] ; [ 47.18518519 225.81481481],0
d5,1,0.771073,0.084664,[43  8] ; [237  39],[43.66972477  7.33027523] ; [236.33027523  39.66972477],0
d2,1,0.844707,0.038367,[27 24] ; [142 134],[26.35779817 24.64220183] ; [142.64220183 133.35779817],0
p2,1,0.857894,0.032061,[45  6] ; [245  30],[45.36809816  5.63190184] ; [244.63190184  30.36809816],0
b1,1,0.859569,0.031302,[21 30] ; [110 166],[20.43119266 30.56880734] ; [110.56880734 165.43119266],0
a5,1,0.887842,0.019891,[40 11] ; [214  62],[39.6146789 11.3853211] ; [214.3853211  61.6146789],0
n6,1,0.897714,0.016525,[45  6] ; [240  34],[44.72307692  6.27692308] ; [240.27692308  33.72307692],0
p7,1,0.908714,0.013147,[39 12] ; [210  62],[39.31578947 11.68421053] ; [209.68421053  62.31578947],0
d4,1,0.91238,0.012108,[43  8] ; [231  45],[42.73394495  8.26605505] ; [231.26605505  44.73394495],0
u4,1,0.923034,0.009334,[ 1 50] ; [  6 270],[ 1.09174312 49.90825688] ; [  5.90825688 270.09174312],0
p8,1,0.931687,0.007348,[33 18] ; [179  95],[33.26769231 17.73230769] ; [178.73230769  95.26769231],0
p12,1,0.969026,0.001508,[ 6 45] ; [ 33 243],[ 6.08256881 44.91743119] ; [ 32.91743119 243.08256881],0
r1,1,0.98228,0.000493,[42  9] ; [226  48],[42.05538462  8.94461538] ; [225.94461538  48.05538462],0
a3,1,0.993132,7.4e-05,[38 13] ; [204  70],[37.97538462 13.02461538] ; [204.02461538  69.97538462],0
n5,1,0.995446,3.3e-05,[40 11] ; [215  59],[40.01538462 10.98461538] ; [214.98461538  59.01538462],0
