Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,7.1e-05,15.796539,[88 11] ; [15 12],[80.92857143 18.07142857] ; [22.07142857  4.92857143],1
n4,1,0.000478,12.199014,[86 13] ; [16 12],[79.51181102 19.48818898] ; [22.48818898  5.51181102],1
n5,1,0.000617,11.723953,[81 18] ; [14 14],[74.05511811 24.94488189] ; [20.94488189  7.05511811],1
p10,1,0.001728,9.818182,[83 16] ; [15 12],[77. 22.] ; [21.  6.],0
n6,1,0.001801,9.741774,[86 13] ; [17 11],[80.29133858 18.70866142] ; [22.70866142  5.29133858],0
p7,1,0.002341,9.261248,[76 23] ; [12 14],[69.696 29.304] ; [18.304  7.696],0
v1,1,0.007869,7.062947,[71 26] ; [13 15],[65.184 31.816] ; [18.816  9.184],0
v4,1,0.014105,6.024911,[93  6] ; [22  6],[89.64566929  9.35433071] ; [25.35433071  2.64566929],0
p3,1,0.020002,5.411713,[57 43] ; [ 9 19],[51.5625 48.4375] ; [14.4375 13.5625],0
v3,1,0.022847,5.180118,[59 40] ; [ 9 17],[53.856 45.144] ; [14.144 11.856],0
s7,1,0.024125,5.08564,[55 40] ; [ 9 18],[49.83606557 45.16393443] ; [14.16393443 12.83606557],0
p11,1,0.025107,5.016505,[81 19] ; [17 11],[76.5625 23.4375] ; [21.4375  6.5625],0
p8,1,0.031214,4.641155,[57 40] ; [10 18],[51.992 45.008] ; [15.008 12.992],0
u3,1,0.037142,4.343891,[ 6 14] ; [7 3],[ 8.66666667 11.33333333] ; [4.33333333 5.66666667],0
s1,1,0.051735,3.784332,[ 1 99] ; [ 2 25],[ 2.36220472 97.63779528] ; [ 0.63779528 26.36220472],0
n1,1,0.063628,3.440196,[ 6 14] ; [6 3],[ 8.27586207 11.72413793] ; [3.72413793 5.27586207],0
p4,1,0.065054,3.403608,[60 39] ; [11 16],[55.78571429 43.21428571] ; [15.21428571 11.78571429],0
d3,1,0.08166,3.031557,[47 53] ; [ 8 20],[42.96875 57.03125] ; [12.03125 15.96875],0
a3,1,0.082737,3.010301,[80 20] ; [18 10],[76.5625 23.4375] ; [21.4375  6.5625],0
p6,1,0.103445,2.651609,[38 59] ; [ 6 21],[34.41935484 62.58064516] ; [ 9.58064516 17.41935484],0
r4,1,0.122166,2.389333,[87 13] ; [21  7],[84.375 15.625] ; [23.625  4.375],0
a6,1,0.145557,2.118203,[40 60] ; [ 7 21],[36.71875 63.28125] ; [10.28125 17.71875],0
r3,1,0.167232,1.907586,[96  4] ; [25  3],[94.53125  5.46875] ; [26.46875  1.53125],0
s4,1,0.204612,1.609143,[12 88] ; [ 6 22],[14.0625 85.9375] ; [ 3.9375 24.0625],0
b1,1,0.27618,1.185793,[42 58] ; [15 13],[44.53125 55.46875] ; [12.46875 15.53125],0
u4,1,0.317259,1.000214,[ 3 97] ; [ 2 26],[ 3.90625 96.09375] ; [ 1.09375 26.90625],0
s8,1,0.446187,0.58032,[51 49] ; [12 16],[49.21875 50.78125] ; [13.78125 14.21875],0
a8,1,0.461675,0.54183,[12 84] ; [ 2 25],[10.92682927 85.07317073] ; [ 3.07317073 23.92682927],0
a1,1,0.507675,0.438857,[ 7 93] ; [ 1 27],[ 6.25 93.75] ; [ 1.75 26.25],0
a4,1,0.541583,0.372615,[40 60] ; [13 15],[41.40625 58.59375] ; [11.59375 16.40625],0
d4,1,0.589544,0.291057,[83 17] ; [22  6],[82.03125 17.96875] ; [22.96875  5.03125],0
n3,1,0.59298,0.285714,[18  3] ; [7 2],[17.5  3.5] ; [7.5 1.5],0
r2,1,0.64345,0.214258,[89  8] ; [24  3],[88.39516129  8.60483871] ; [24.60483871  2.39516129],0
a5,1,0.669068,0.182694,[72 28] ; [19  9],[71.09375 28.90625] ; [19.90625  8.09375],0
s5,1,0.677853,0.172553,[39 55] ; [10 17],[38.0661157 55.9338843] ; [10.9338843 16.0661157],0
s2,1,0.697486,0.151101,[53 47] ; [16 12],[53.90625 46.09375] ; [15.09375 12.90625],0
r1,1,0.702563,0.145819,[75 25] ; [20  8],[74.21875 25.78125] ; [20.78125  7.21875],0
d1,1,0.707736,0.140549,[54 46] ; [14 14],[53.125 46.875] ; [14.875 13.125],0
s3,1,0.740765,0.109455,[53 46] ; [14 14],[52.22834646 46.77165354] ; [14.77165354 13.22834646],0
p1,1,0.751923,0.099922,[ 5 95] ; [ 1 27],[ 4.6875 95.3125] ; [ 1.3125 26.6875],0
n2,1,0.760188,0.093168,[15  5] ; [8 2],[15.33333333  4.66666667] ; [7.66666667 2.33333333],0
b4,1,0.767774,0.087195,[54 46] ; [16 12],[54.6875 45.3125] ; [15.3125 12.6875],0
p12,1,0.770831,0.084848,[ 5 94] ; [ 1 26],[ 4.71428571 94.28571429] ; [ 1.28571429 25.71428571],0
d2,1,0.778762,0.078923,[53 47] ; [14 14],[52.34375 47.65625] ; [14.65625 13.34375],0
b5,1,0.840186,0.040665,[45 55] ; [12 16],[44.53125 55.46875] ; [12.46875 15.53125],0
s6,1,0.869372,0.027046,[60 38] ; [17 10],[60.368 37.632] ; [16.632 10.368],0
b3,1,0.887008,0.02019,[29 37] ; [ 8 11],[28.72941176 37.27058824] ; [ 8.27058824 10.72941176],0
b2,1,0.887008,0.02019,[29 37] ; [ 8 11],[28.72941176 37.27058824] ; [ 8.27058824 10.72941176],0
d5,1,0.915375,0.011291,[83 17] ; [23  5],[82.8125 17.1875] ; [23.1875  4.8125],0
u2,1,0.977797,0.000775,[ 9 11] ; [4 5],[ 8.96551724 11.03448276] ; [4.03448276 4.96551724],0
