Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,53.023392,[110   3] ; [22 22],[95.00636943 17.99363057] ; [36.99363057  7.00636943],1
r2,1,0.0,46.604837,[110   4] ; [23 21],[95.96202532 18.03797468] ; [37.03797468  6.96202532],1
v4,1,0.0,38.114093,[110   4] ; [25 18],[98.02547771 15.97452229] ; [36.97452229  6.02547771],1
r1,1,0.0,33.153652,[81 33] ; [ 9 35],[64.93670886 49.06329114] ; [25.06329114 18.93670886],1
s6,1,2.5e-05,17.766676,[68 45] ; [10 34],[56.14012739 56.85987261] ; [21.85987261 22.14012739],1
n6,1,0.000119,14.806835,[90 24] ; [21 23],[80.08860759 33.91139241] ; [30.91139241 13.08860759],1
u3,1,0.000374,12.658552,[43 23] ; [ 9 24],[34.66666667 31.33333333] ; [17.33333333 15.66666667],1
p11,1,0.000403,12.518414,[79 35] ; [17 27],[69.26582278 44.73417722] ; [26.73417722 17.26582278],1
p9,1,0.000791,11.263206,[84 27] ; [21 23],[75.19354839 35.80645161] ; [29.80645161 14.19354839],1
d5,1,0.000796,11.250109,[72 41] ; [15 29],[62.61783439 50.38216561] ; [24.38216561 19.61783439],1
n4,1,0.003328,8.618043,[71 43] ; [16 28],[62.7721519 51.2278481] ; [24.2278481 19.7721519],0
a7,1,0.005579,7.68142,[76 37] ; [19 25],[68.37579618 44.62420382] ; [26.62420382 17.37579618],0
p4,1,0.011377,6.405442,[56 57] ; [12 32],[48.94267516 64.05732484] ; [19.05732484 24.94267516],0
n5,1,0.01183,6.336158,[76 37] ; [20 24],[69.0955414 43.9044586] ; [26.9044586 17.0955414],0
s3,1,0.015747,5.830871,[65 48] ; [15 27],[58.32258065 54.67741935] ; [21.67741935 20.32258065],0
n2,1,0.017104,5.685657,[21  5] ; [10 11],[17.14893617  8.85106383] ; [13.85106383  7.14893617],0
a8,1,0.020158,5.398181,[17 87] ; [ 1 41],[12.82191781 91.17808219] ; [ 5.17808219 36.82191781],0
s8,1,0.020443,5.373681,[33 81] ; [ 5 39],[27.41772152 86.58227848] ; [10.58227848 33.41772152],0
p6,1,0.028826,4.778004,[35 77] ; [ 6 37],[29.62580645 82.37419355] ; [11.37419355 31.62580645],0
