Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.089245,2.887944,[15 11] ; [8 1],[17.08571429  8.91428571] ; [5.91428571 3.08571429],0
n2,1,0.111219,2.536813,[11  3] ; [2 3],[9.57894737 4.42105263] ; [3.42105263 1.57894737],0
n1,1,0.111219,2.536813,[11  3] ; [2 3],[9.57894737 4.42105263] ; [3.42105263 1.57894737],0
p8,1,0.126752,2.331838,[14 11] ; [2 6],[12.12121212 12.87878788] ; [3.87878788 4.12121212],0
v2,1,0.135788,2.225053,[ 5 21] ; [4 5],[ 6.68571429 19.31428571] ; [2.31428571 6.68571429],0
v4,1,0.135788,2.225053,[21  5] ; [5 4],[19.31428571  6.68571429] ; [6.68571429 2.31428571],0
a3,1,0.163687,1.939826,[19  6] ; [4 4],[17.42424242  7.57575758] ; [5.57575758 2.42424242],0
a4,1,0.169327,1.888889,[10 15] ; [6 3],[11.76470588 13.23529412] ; [4.23529412 4.76470588],0
n4,1,0.184711,1.759309,[18  8] ; [4 5],[16.34285714  9.65714286] ; [5.65714286 3.34285714],0
p10,1,0.207596,1.58811,[15 11] ; [3 6],[13.37142857 12.62857143] ; [4.62857143 4.37142857],0
r1,1,0.207596,1.58811,[15 11] ; [3 6],[13.37142857 12.62857143] ; [4.62857143 4.37142857],0
s8,1,0.223216,1.483575,[ 8 17] ; [1 8],[ 6.61764706 18.38235294] ; [2.38235294 6.61764706],0
n6,1,0.243537,1.36,[14 11] ; [3 6],[12.5 12.5] ; [4.5 4.5],0
s5,1,0.244834,1.352546,[ 8 18] ; [1 8],[ 6.68571429 19.31428571] ; [2.31428571 6.68571429],0
s2,1,0.244834,1.352546,[ 8 18] ; [1 8],[ 6.68571429 19.31428571] ; [2.31428571 6.68571429],0
u2,1,0.276278,1.185306,[2 5] ; [3 2],[2.91666667 4.08333333] ; [2.08333333 2.91666667],0
a6,1,0.28245,1.155266,[15 11] ; [7 2],[16.34285714  9.65714286] ; [5.65714286 3.34285714],0
s3,1,0.301071,1.069444,[10 14] ; [2 7],[ 8.72727273 15.27272727] ; [3.27272727 5.72727273],0
p9,1,0.306702,1.044825,[16  9] ; [4 5],[14.70588235 10.29411765] ; [5.29411765 3.70588235],0
b4,1,0.329111,0.952393,[19  7] ; [5 4],[17.82857143  8.17142857] ; [6.17142857 2.82857143],0
a2,1,0.385183,0.754095,[ 5 21] ; [3 6],[ 5.94285714 20.05714286] ; [2.05714286 6.94285714],0
p12,1,0.41835,0.654947,[ 1 25] ; [1 8],[ 1.48571429 24.51428571] ; [0.51428571 8.48571429],0
d3,1,0.456308,0.554936,[18  8] ; [5 4],[17.08571429  8.91428571] ; [5.91428571 3.08571429],0
b2,1,0.468011,0.526669,[ 5 13] ; [3 4],[ 5.76 12.24] ; [2.24 4.76],0
b3,1,0.468011,0.526669,[ 5 13] ; [3 4],[ 5.76 12.24] ; [2.24 4.76],0
d5,1,0.490021,0.47648,[17  9] ; [7 2],[17.82857143  8.17142857] ; [6.17142857 2.82857143],0
d4,1,0.490021,0.47648,[17  9] ; [7 2],[17.82857143  8.17142857] ; [6.17142857 2.82857143],0
p2,1,0.502944,0.448718,[12 14] ; [3 6],[11.14285714 14.85714286] ; [3.85714286 5.14285714],0
n3,1,0.509893,0.434286,[8 6] ; [2 3],[7.36842105 6.63157895] ; [2.63157895 2.36842105],0
p5,1,0.517636,0.4186,[ 6 20] ; [1 7],[ 5.35294118 20.64705882] ; [1.64705882 6.35294118],0
v3,1,0.543999,0.368179,[ 6 20] ; [3 6],[ 6.68571429 19.31428571] ; [2.31428571 6.68571429],0
p7,1,0.554563,0.349206,[ 8 16] ; [4 5],[ 8.72727273 15.27272727] ; [3.27272727 5.72727273],0
p4,1,0.598901,0.276657,[ 9 17] ; [4 5],[ 9.65714286 16.34285714] ; [3.34285714 5.65714286],0
b5,1,0.598901,0.276657,[17  9] ; [5 4],[16.34285714  9.65714286] ; [5.65714286 3.34285714],0
s4,1,0.638994,0.220061,[ 4 22] ; [2 7],[ 4.45714286 21.54285714] ; [1.54285714 7.45714286],0
a1,1,0.638994,0.220061,[ 4 22] ; [2 7],[ 4.45714286 21.54285714] ; [1.54285714 7.45714286],0
s7,1,0.662597,0.190385,[10 14] ; [3 6],[ 9.45454545 14.54545455] ; [3.54545455 5.45454545],0
a5,1,0.713694,0.134615,[19  7] ; [6 3],[18.57142857  7.42857143] ; [6.42857143 2.57142857],0
s6,1,0.724159,0.124542,[10 15] ; [3 6],[ 9.55882353 15.44117647] ; [3.44117647 5.55882353],0
u1,1,0.752172,0.099715,[ 2 24] ; [1 8],[ 2.22857143 23.77142857] ; [0.77142857 8.22857143],0
v1,1,0.752172,0.099715,[10 16] ; [4 5],[10.4 15.6] ; [3.6 5.4],0
s1,1,0.752172,0.099715,[ 4 22] ; [1 8],[ 3.71428571 22.28571429] ; [1.28571429 7.71428571],0
d1,1,0.773795,0.082607,[13 13] ; [4 5],[12.62857143 13.37142857] ; [4.37142857 4.62857143],0
p3,1,0.783758,0.075309,[10 16] ; [3 6],[ 9.65714286 16.34285714] ; [3.34285714 5.65714286],0
p11,1,0.783758,0.075309,[10 16] ; [3 6],[ 9.65714286 16.34285714] ; [3.34285714 5.65714286],0
n5,1,0.886436,0.020396,[18  8] ; [6 3],[17.82857143  8.17142857] ; [6.17142857 2.82857143],0
u3,1,0.921159,0.009796,[4 3] ; [3 2],[4.08333333 2.91666667] ; [2.91666667 2.08333333],0
d2,1,0.9293,0.007872,[12 14] ; [4 5],[11.88571429 14.11428571] ; [4.11428571 4.88571429],0
p6,1,0.958027,0.00277,[ 6 20] ; [2 7],[ 5.94285714 20.05714286] ; [2.05714286 6.94285714],0
