Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,43.381751,[311   8] ; [38 13],[300.89459459  18.10540541] ; [48.10540541  2.89459459],1
r2,1,1e-06,24.102759,[313   4] ; [43  7],[307.4986376   9.5013624] ; [48.5013624  1.4986376],1
u1,1,2.8e-05,17.534924,[112 207] ; [ 3 48],[ 99.14864865 219.85135135] ; [15.85135135 35.14864865],1
v4,1,6.9e-05,15.850629,[314   5] ; [45  6],[309.51621622   9.48378378] ; [49.48378378  1.51621622],1
a2,1,0.000443,12.340636,[132 187] ; [ 8 43],[120.7027027 198.2972973] ; [19.2972973 31.7027027],1
n4,1,0.00136,10.258935,[266  52] ; [33 18],[257.67479675  60.32520325] ; [41.32520325  9.67479675],0
a6,1,0.003529,8.511464,[236  80] ; [28 23],[227.3133515  88.6866485] ; [36.6866485 14.3133515],0
a7,1,0.003633,8.458835,[253  66] ; [31 20],[244.85405405  74.14594595] ; [39.14594595 11.85405405],0
a8,1,0.034457,4.471872,[ 44 238] ; [ 2 46],[ 39.30909091 242.69090909] ; [ 6.69090909 41.30909091],0
p2,1,0.054147,3.708148,[275  42] ; [39 12],[270.48369565  46.51630435] ; [43.51630435  7.48369565],0
n5,1,0.070382,3.274092,[254  64] ; [35 16],[249.05691057  68.94308943] ; [39.94308943 11.05691057],0
a5,1,0.082414,3.016641,[279  40] ; [40 11],[275.02972973  43.97027027] ; [43.97027027  7.02972973],0
b4,1,0.08395,2.986723,[191 128] ; [37 14],[196.57297297 122.42702703] ; [31.42702703 19.57297297],0
s3,1,0.088792,2.896138,[233  81] ; [32 19],[227.97260274  86.02739726] ; [37.02739726 13.97260274],0
a4,1,0.096496,2.762523,[195 123] ; [25 26],[189.59349593 128.40650407] ; [30.40650407 20.59349593],0
p7,1,0.096799,2.757505,[208  98] ; [28 22],[202.85393258 103.14606742] ; [33.14606742 16.85393258],0
s7,1,0.111233,2.536617,[205 102] ; [27 22],[200.06741573 106.93258427] ; [31.93258427 17.06741573],0
n6,1,0.136158,2.22085,[278  38] ; [41 10],[274.67029973  41.32970027] ; [44.32970027  6.67029973],0
p8,1,0.138403,2.195627,[176 137] ; [22 27],[171.19889503 141.80110497] ; [26.80110497 22.19889503],0
p12,1,0.16649,1.914268,[ 40 278] ; [ 3 48],[ 37.05691057 280.94308943] ; [ 5.94308943 45.05691057],0
p11,1,0.179476,1.801961,[249  70] ; [44  7],[252.61351351  66.38648649] ; [40.38648649 10.61351351],0
r3,1,0.189382,1.722418,[310   8] ; [48  3],[308.5203252   9.4796748] ; [49.4796748  1.5203252],0
b3,1,0.29247,1.108217,[ 82 124] ; [11 25],[ 79.16528926 126.83471074] ; [13.83471074 22.16528926],0
b2,1,0.29247,1.108217,[ 82 124] ; [11 25],[ 79.16528926 126.83471074] ; [13.83471074 22.16528926],0
n3,1,0.298856,1.079291,[45 16] ; [11  7],[43.24050633 17.75949367] ; [12.75949367  5.24050633],0
u2,1,0.310339,1.029231,[40 17] ; [6 5],[38.55882353 18.44117647] ; [7.44117647 3.55882353],0
d3,1,0.347566,0.882322,[287  30] ; [44  7],[285.12771739  31.87228261] ; [45.87228261  5.12771739],0
a1,1,0.350457,0.871801,[ 20 299] ; [ 5 46],[ 21.55405405 297.44594595] ; [ 3.44594595 47.55405405],0
s4,1,0.364075,0.82379,[ 68 245] ; [14 37],[ 70.51098901 242.48901099] ; [11.48901099 39.51098901],0
p6,1,0.402761,0.700068,[138 178] ; [25 25],[140.73224044 175.26775956] ; [22.26775956 27.73224044],0
b1,1,0.42577,0.634335,[119 200] ; [22 29],[121.56486486 197.43513514] ; [19.43513514 31.56486486],0
p4,1,0.44158,0.592174,[228  89] ; [34 17],[225.69021739  91.30978261] ; [36.30978261 14.69021739],0
p9,1,0.490211,0.476062,[282  33] ; [44  7],[280.57377049  34.42622951] ; [45.42622951  5.57377049],0
p3,1,0.494059,0.467675,[184 133] ; [27 24],[181.75815217 135.24184783] ; [29.24184783 21.75815217],0
a3,1,0.496009,0.463465,[262  56] ; [40 11],[260.2601626  57.7398374] ; [41.7398374  9.2601626],0
s8,1,0.510209,0.433637,[195 121] ; [29 22],[192.8719346 123.1280654] ; [31.1280654 19.8719346],0
p10,1,0.517943,0.417988,[272  45] ; [42  9],[270.48369565  46.51630435] ; [43.51630435  7.48369565],0
u3,1,0.58047,0.305476,[41 16] ; [7 4],[40.23529412 16.76470588] ; [7.76470588 3.23529412],0
b5,1,0.632538,0.228634,[208 111] ; [35 16],[209.50540541 109.49459459] ; [33.49459459 17.50540541],0
s2,1,0.652785,0.202407,[228  90] ; [35 16],[226.6504065  91.3495935] ; [36.3495935 14.6504065],0
p5,1,0.712804,0.135492,[ 44 272] ; [ 6 44],[ 43.16939891 272.83060109] ; [ 6.83060109 43.16939891],0
v2,1,0.720292,0.128213,[190 117] ; [31 17],[191.11830986 115.88169014] ; [29.88169014 18.11830986],0
v1,1,0.741803,0.108549,[186 124] ; [30 18],[187.03910615 122.96089385] ; [28.96089385 19.03910615],0
n1,1,0.817202,0.053428,[26 36] ; [ 7 11],[25.575 36.425] ; [ 7.425 10.575],0
u4,1,0.878958,0.023192,[ 14 305] ; [ 2 49],[ 13.79459459 305.20540541] ; [ 2.20540541 48.79459459],0
s5,1,0.920878,0.009866,[144 165] ; [22 26],[143.68067227 165.31932773] ; [22.31932773 25.68067227],0
d2,1,0.934286,0.006799,[231  85] ; [37 14],[230.75749319  85.24250681] ; [37.24250681 13.75749319],0
s1,1,0.945271,0.004712,[ 13 302] ; [ 2 49],[ 12.90983607 302.09016393] ; [ 2.09016393 48.90983607],0
v3,1,0.957119,0.002891,[135 170] ; [21 26],[135.17045455 169.82954545] ; [20.82954545 26.17045455],0
d5,1,0.976018,0.000904,[310   6] ; [50  1],[309.97275204   6.02724796] ; [50.02724796  0.97275204],0
n2,1,0.976082,0.000899,[45 17] ; [13  5],[44.95 17.05] ; [13.05  4.95],0
p1,1,0.995596,3e-05,[ 31 286] ; [ 5 46],[ 31.01086957 285.98913043] ; [ 4.98913043 46.01086957],0
