Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3e-06,21.873253,[112  16] ; [20 18],[101.78313253  26.21686747] ; [30.21686747  7.78313253],1
n5,1,4.2e-05,16.79112,[111  18] ; [21 17],[101.96407186  27.03592814] ; [30.03592814  7.96407186],1
p9,1,8.2e-05,15.51383,[116  13] ; [24 14],[108.14371257  20.85628743] ; [31.85628743  6.14371257],1
n4,1,8.3e-05,15.490908,[112  17] ; [22 16],[103.50898204  25.49101796] ; [30.49101796  7.50898204],1
p7,1,0.000275,13.231325,[91 38] ; [14 23],[81.59638554 47.40361446] ; [23.40361446 13.59638554],1
p8,1,0.002361,9.245338,[73 55] ; [11 27],[64.77108434 63.22891566] ; [19.22891566 18.77108434],0
s1,1,0.004289,8.157379,[  3 126] ; [ 5 31],[  6.25454545 122.74545455] ; [ 1.74545455 34.25454545],0
u3,1,0.018911,5.509768,[13 22] ; [11  4],[16.8 18.2] ; [7.2 7.8],0
s7,1,0.020826,5.341313,[88 39] ; [18 19],[82.08536585 44.91463415] ; [23.91463415 13.08536585],0
d4,1,0.034147,4.48731,[103  26] ; [24 14],[98.10179641 30.89820359] ; [28.89820359  9.10179641],0
v4,1,0.03612,4.391436,[122   7] ; [32  6],[118.95808383  10.04191617] ; [35.04191617  2.95808383],0
p4,1,0.055498,3.667055,[84 46] ; [18 20],[78.92857143 51.07142857] ; [23.07142857 14.92857143],0
p11,1,0.063711,3.43804,[107  23] ; [26 12],[102.91666667  27.08333333] ; [30.08333333  7.91666667],0
n6,1,0.127034,2.328376,[109  20] ; [28 10],[105.82634731  23.17365269] ; [31.17365269  6.82634731],0
p3,1,0.134369,2.241287,[76 54] ; [17 21],[71.96428571 58.03571429] ; [21.03571429 16.96428571],0
a3,1,0.136612,2.215714,[95 35] ; [23 15],[91.30952381 38.69047619] ; [26.69047619 11.30952381],0
s4,1,0.142993,2.145456,[ 29 100] ; [13 25],[32.44311377 96.55688623] ; [ 9.55688623 28.44311377],0
s3,1,0.16153,1.959848,[93 37] ; [22 15],[89.52095808 40.47904192] ; [25.47904192 11.52095808],0
d3,1,0.16393,1.937599,[68 62] ; [15 23],[64.22619048 65.77380952] ; [18.77380952 19.22619048],0
p6,1,0.18881,1.726876,[57 71] ; [12 25],[53.52727273 74.47272727] ; [15.47272727 21.52727273],0
a2,1,0.216808,1.525377,[ 16 114] ; [ 2 36],[ 13.92857143 116.07142857] ; [ 4.07142857 33.92857143],0
d1,1,0.234052,1.416067,[69 61] ; [16 22],[65.77380952 64.22619048] ; [19.22619048 18.77380952],0
u1,1,0.325335,0.96738,[  9 121] ; [ 1 37],[  7.73809524 122.26190476] ; [ 2.26190476 35.73809524],0
r1,1,0.336617,0.923274,[99 31] ; [26 12],[96.72619048 33.27380952] ; [28.27380952  9.72619048],0
d5,1,0.353724,0.860053,[101  28] ; [27 11],[98.8742515 30.1257485] ; [29.1257485  8.8742515],0
v3,1,0.374508,0.788651,[56 72] ; [12 22],[53.72839506 74.27160494] ; [14.27160494 19.72839506],0
r2,1,0.402507,0.700824,[117  11] ; [33  5],[115.6626506  12.3373494] ; [34.3373494  3.6626506],0
b1,1,0.41157,0.674262,[62 68] ; [21 17],[64.22619048 65.77380952] ; [18.77380952 19.22619048],0
a5,1,0.436785,0.604715,[94 36] ; [25 13],[92.08333333 37.91666667] ; [26.91666667 11.08333333],0
b4,1,0.466201,0.530965,[70 60] ; [23 15],[71.96428571 58.03571429] ; [21.03571429 16.96428571],0
s2,1,0.468986,0.524365,[83 47] ; [26 11],[84.8502994 45.1497006] ; [24.1497006 12.8502994],0
p5,1,0.484092,0.489632,[ 20 110] ; [ 4 33],[ 18.68263473 111.31736527] ; [ 5.31736527 31.68263473],0
n2,1,0.578192,0.309167,[25  9] ; [9 2],[25.68888889  8.31111111] ; [8.31111111 2.68888889],0
b5,1,0.592078,0.287111,[62 68] ; [20 18],[63.45238095 66.54761905] ; [18.54761905 19.45238095],0
s5,1,0.614052,0.254317,[62 64] ; [16 20],[60.66666667 65.33333333] ; [17.33333333 18.66666667],0
v1,1,0.624214,0.239989,[71 56] ; [19 18],[69.69512195 57.30487805] ; [20.30487805 16.69512195],0
d2,1,0.625771,0.23784,[64 66] ; [17 21],[62.67857143 67.32142857] ; [18.32142857 19.67857143],0
a8,1,0.673537,0.177493,[ 16 106] ; [ 4 34],[ 15.25 106.75] ; [ 4.75 33.25],0
s8,1,0.685795,0.163675,[80 50] ; [22 16],[78.92857143 51.07142857] ; [23.07142857 14.92857143],0
a4,1,0.69246,0.156435,[59 70] ; [16 22],[57.93413174 71.06586826] ; [17.06586826 20.93413174],0
p1,1,0.694582,0.15417,[ 11 119] ; [ 4 34],[ 11.60714286 118.39285714] ; [ 3.39285714 34.60714286],0
r3,1,0.702735,0.145642,[122   8] ; [35  3],[121.48809524   8.51190476] ; [35.51190476  2.48809524],0
p12,1,0.704823,0.143503,[ 11 118] ; [ 4 34],[ 11.58682635 117.41317365] ; [ 3.41317365 34.58682635],0
a1,1,0.715947,0.132409,[  9 121] ; [ 2 36],[  8.51190476 121.48809524] ; [ 2.48809524 35.51190476],0
n1,1,0.793208,0.068721,[17 17] ; [6 5],[17.37777778 16.62222222] ; [5.62222222 5.37777778],0
