Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,52.698549,[252  70] ; [49 68],[220.77904328 101.22095672] ; [80.22095672 36.77904328],1
d3,1,0.0,43.330728,[250  73] ; [52 65],[221.69545455 101.30454545] ; [80.30454545 36.69545455],1
a2,1,0.0,26.583602,[107 216] ; [ 10 107],[ 85.88863636 237.11136364] ; [31.11136364 85.88863636],1
u1,1,1e-05,19.571731,[ 89 234] ; [  9 108],[ 71.94090909 251.05909091] ; [26.05909091 90.94090909],1
b5,1,0.000382,12.619714,[202 121] ; [51 66],[185.725 137.275] ; [67.275 49.725],1
b1,1,0.010474,6.55248,[127 196] ; [62 55],[138.74318182 184.25681818] ; [50.25681818 66.74318182],0
s5,1,0.01509,5.90592,[114 196] ; [55 55],[124.73809524 185.26190476] ; [44.26190476 65.73809524],0
p4,1,0.016309,5.769288,[268  55] ; [85 32],[259.13409091  63.86590909] ; [93.86590909 23.13409091],0
s8,1,0.017804,5.615297,[156 164] ; [72 45],[166.95652174 153.04347826] ; [61.04347826 55.95652174],0
s7,1,0.027303,4.871565,[163 137] ; [75 38],[172.88135593 127.11864407] ; [65.11864407 47.88135593],0
d1,1,0.030953,4.655543,[213 110] ; [64 53],[203.34318182 119.65681818] ; [73.65681818 43.34318182],0
r2,1,0.030957,4.65532,[312   8] ; [108   8],[308.25688073  11.74311927] ; [111.74311927   4.25688073],0
s4,1,0.038911,4.264764,[ 49 269] ; [28 89],[ 56.28965517 261.71034483] ; [20.71034483 96.28965517],0
n3,1,0.039573,4.236099,[42  8] ; [15  9],[38.51351351 11.48648649] ; [18.48648649  5.51351351],0
v2,1,0.058152,3.589335,[198 115] ; [60 53],[189.56338028 123.43661972] ; [68.43661972 44.56338028],0
p10,1,0.087614,2.91768,[280  40] ; [94 22],[274.49541284  45.50458716] ; [99.50458716 16.49541284],0
p12,1,0.109595,2.560053,[ 40 283] ; [  8 107],[ 35.39726027 287.60273973] ; [ 12.60273973 102.39726027],0
u3,1,0.153014,2.041945,[57 28] ; [14 13],[53.88392857 31.11607143] ; [17.11607143  9.88392857],0
d5,1,0.15622,2.010442,[277  46] ; [93 23],[272.23234624  50.76765376] ; [97.76765376 18.23234624],0
v1,1,0.159142,1.982362,[196 118] ; [62 51],[189.7236534 124.2763466] ; [68.2763466 44.7236534],0
p9,1,0.204568,1.609458,[288  33] ; [99 17],[284.27231121  36.72768879] ; [102.72768879  13.27231121],0
r1,1,0.208667,1.580652,[269  52] ; [92 25],[264.56849315  56.43150685] ; [96.43150685 20.56849315],0
n2,1,0.210769,1.566138,[40 10] ; [16  8],[37.83783784 12.16216216] ; [18.16216216  5.83783784],0
u4,1,0.230728,1.436367,[  7 316] ; [  5 112],[  8.80909091 314.19090909] ; [  3.19090909 113.80909091],0
r4,1,0.272893,1.202145,[307  16] ; [108   9],[304.64772727  18.35227273] ; [110.35227273   6.64772727],0
p2,1,0.279798,1.168069,[287  35] ; [99 17],[283.7716895  38.2283105] ; [102.2283105  13.7716895],0
b3,1,0.286187,1.137474,[ 76 121] ; [39 47],[ 80.05300353 116.94699647] ; [34.94699647 51.05300353],0
b2,1,0.286187,1.137474,[ 76 121] ; [39 47],[ 80.05300353 116.94699647] ; [34.94699647 51.05300353],0
s6,1,0.309095,1.034538,[224  94] ; [86 28],[228.19444444  89.80555556] ; [81.80555556 32.19444444],0
b4,1,0.321261,0.983804,[191 132] ; [63 54],[186.45909091 136.54090909] ; [67.54090909 49.45909091],0
s1,1,0.331067,0.94472,[  8 313] ; [  5 112],[  9.52739726 311.47260274] ; [  3.47260274 113.52739726],0
s3,1,0.331131,0.944468,[182 138] ; [72 44],[186.42201835 133.57798165] ; [67.57798165 48.42201835],0
