Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.463902,[62 18] ; [ 4 20],[50.76923077 29.23076923] ; [15.23076923  8.76923077],1
v4,1,9.3e-05,15.281209,[69 10] ; [12 12],[62.12621359 16.87378641] ; [18.87378641  5.12621359],1
r1,1,0.000765,11.324444,[57 23] ; [ 8 16],[50. 30.] ; [15.  9.],1
u3,1,0.00475,7.97237,[24 11] ; [ 3 10],[19.6875 15.3125] ; [7.3125 5.6875],0
r3,1,0.004904,7.914413,[65 14] ; [13 11],[59.82524272 19.17475728] ; [18.17475728  5.82524272],0
a6,1,0.005781,7.617188,[55 25] ; [ 9 15],[49.23076923 30.76923077] ; [14.76923077  9.23076923],0
p7,1,0.022617,5.197703,[30 45] ; [16  8],[34.84848485 40.15151515] ; [11.15151515 12.84848485],0
b1,1,0.030557,4.677661,[40 40] ; [18  6],[44.61538462 35.38461538] ; [13.38461538 10.61538462],0
v3,1,0.036665,4.3659,[22 53] ; [ 2 22],[18.18181818 56.81818182] ; [ 5.81818182 18.18181818],0
s2,1,0.08787,2.912963,[28 52] ; [ 4 20],[24.61538462 55.38461538] ; [ 7.38461538 16.61538462],0
d5,1,0.106864,2.6,[45 35] ; [ 9 15],[41.53846154 38.46153846] ; [12.46153846 11.53846154],0
n2,1,0.126514,2.33477,[22  5] ; [7 5],[20.07692308  6.92307692] ; [8.92307692 3.07692308],0
d3,1,0.137926,2.200942,[33 46] ; [ 6 18],[29.91262136 49.08737864] ; [ 9.08737864 14.91262136],0
s3,1,0.235929,1.404752,[39 41] ; [ 8 15],[36.50485437 43.49514563] ; [10.49514563 12.50485437],0
p2,1,0.280955,1.162467,[53 27] ; [13 11],[50.76923077 29.23076923] ; [15.23076923  8.76923077],0
p3,1,0.323194,0.975976,[25 55] ; [ 5 19],[23.07692308 56.92307692] ; [ 6.92307692 17.07692308],0
s8,1,0.340114,0.91,[17 63] ; [ 3 21],[15.38461538 64.61538462] ; [ 4.61538462 19.38461538],0
n4,1,0.35188,0.866667,[42 38] ; [10 14],[40. 40.] ; [12. 12.],0
a5,1,0.35188,0.866667,[42 38] ; [10 14],[40. 40.] ; [12. 12.],0
n3,1,0.363426,0.826019,[19  7] ; [7 5],[17.78947368  8.21052632] ; [8.21052632 3.78947368],0
s7,1,0.364624,0.821904,[22 54] ; [ 4 17],[20.37113402 55.62886598] ; [ 5.62886598 15.37113402],0
b5,1,0.36929,0.806052,[45 35] ; [11 13],[43.07692308 36.92307692] ; [12.92307692 11.07692308],0
