Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000104,15.059511,[58 58] ; [34  6],[68.41025641 47.58974359] ; [23.58974359 16.41025641],1
p4,1,0.000216,13.682471,[46 74] ; [30 12],[56.2962963 63.7037037] ; [19.7037037 22.2962963],1
p8,1,0.002248,9.335498,[50 70] ; [29 13],[58.51851852 61.48148148] ; [20.48148148 21.51851852],0
s2,1,0.004612,8.025482,[50 71] ; [28 14],[57.90184049 63.09815951] ; [20.09815951 21.90184049],0
p3,1,0.006025,7.542664,[35 86] ; [22 20],[42.31288344 78.68711656] ; [14.68711656 27.31288344],0
p1,1,0.009645,6.699361,[  4 116] ; [ 6 35],[  7.45341615 112.54658385] ; [ 2.54658385 38.45341615],0
p12,1,0.014845,5.934748,[  3 118] ; [ 5 37],[  5.93865031 115.06134969] ; [ 2.06134969 39.93865031],0
s4,1,0.016132,5.788391,[26 95] ; [17 25],[31.9202454 89.0797546] ; [11.0797546 30.9202454],0
u2,1,0.018051,5.591149,[25 21] ; [14  2],[28.93548387 17.06451613] ; [10.06451613  5.93548387],0
a4,1,0.031381,4.631996,[33 88] ; [19 23],[38.60122699 82.39877301] ; [13.39877301 28.60122699],0
s5,1,0.040265,4.206697,[34 84] ; [19 22],[39.33333333 78.66666667] ; [13.66666667 27.33333333],0
a1,1,0.075447,3.160343,[  2 119] ; [ 3 39],[  3.71165644 117.28834356] ; [ 1.28834356 40.71165644],0
s6,1,0.081128,3.042155,[70 51] ; [30 11],[74.69135802 46.30864198] ; [25.30864198 15.69135802],0
b1,1,0.084773,2.970939,[37 84] ; [19 23],[41.57055215 79.42944785] ; [14.42944785 27.57055215],0
s8,1,0.091828,2.842025,[40 81] ; [20 22],[44.5398773 76.4601227] ; [15.4601227 26.5398773],0
s7,1,0.108055,2.582447,[39 77] ; [20 22],[43.3164557 72.6835443] ; [15.6835443 26.3164557],0
a8,1,0.111463,2.533357,[  4 110] ; [ 4 36],[  5.92207792 108.07792208] ; [ 2.07792208 37.92207792],0
d3,1,0.117555,2.449599,[81 40] ; [32  8],[84.92546584 36.07453416] ; [28.07453416 11.92546584],0
u1,1,0.124788,2.356172,[ 10 111] ; [ 7 35],[ 12.6196319 108.3803681] ; [ 4.3803681 37.6196319],0
b5,1,0.170365,1.879732,[69 52] ; [29 13],[72.74846626 48.25153374] ; [25.25153374 16.74846626],0
n1,1,0.18221,1.779504,[10 32] ; [ 7 10],[12.10169492 29.89830508] ; [ 4.89830508 12.10169492],0
p5,1,0.195981,1.672071,[  7 113] ; [ 5 37],[  8.88888889 111.11111111] ; [ 3.11111111 38.88888889],0
d5,1,0.278212,1.175803,[87 34] ; [33  8],[89.62962963 31.37037037] ; [30.37037037 10.62962963],0
v3,1,0.286535,1.135832,[35 79] ; [ 9 32],[32.36129032 81.63870968] ; [11.63870968 29.36129032],0
v4,1,0.296676,1.089076,[112   8] ; [41  1],[113.33333333   6.66666667] ; [39.66666667  2.33333333],0
r1,1,0.315673,1.00679,[87 33] ; [27 15],[84.44444444 35.55555556] ; [29.55555556 12.44444444],0
p2,1,0.366241,0.816378,[92 28] ; [35  7],[94.07407407 25.92592593] ; [32.92592593  9.07407407],0
v1,1,0.375379,0.785781,[51 67] ; [21 20],[53.43396226 64.56603774] ; [18.56603774 22.43396226],0
d1,1,0.385518,0.75303,[54 67] ; [22 20],[56.41717791 64.58282209] ; [19.58282209 22.41717791],0
v2,1,0.387711,0.746109,[54 58] ; [23 18],[56.36601307 55.63398693] ; [20.63398693 20.36601307],0
d2,1,0.427382,0.629927,[38 83] ; [16 26],[40.08588957 80.91411043] ; [13.91411043 28.08588957],0
n3,1,0.452431,0.564553,[29 13] ; [10  7],[27.76271186 14.23728814] ; [11.23728814  5.76271186],0
a2,1,0.485318,0.48689,[ 15 106] ; [ 7 35],[ 16.33128834 104.66871166] ; [ 5.66871166 36.33128834],0
s3,1,0.50215,0.450389,[58 61] ; [23 19],[59.86956522 59.13043478] ; [21.13043478 20.86956522],0
u3,1,0.535077,0.38474,[27 18] ; [11  5],[28.03278689 16.96721311] ; [9.96721311 6.03278689],0
r4,1,0.652171,0.203174,[97 24] ; [35  7],[97.98773006 23.01226994] ; [34.01226994  7.98773006],0
p9,1,0.66727,0.184812,[112   9] ; [38  4],[111.34969325   9.65030675] ; [38.65030675  3.34969325],0
a5,1,0.718962,0.129489,[74 47] ; [27 15],[74.97546012 46.02453988] ; [26.02453988 15.97546012],0
n5,1,0.722933,0.1257,[46 74] ; [17 24],[46.95652174 73.04347826] ; [16.04347826 24.95652174],0
s1,1,0.762307,0.091478,[  2 119] ; [ 1 41],[  2.22699387 118.77300613] ; [ 0.77300613 41.22699387],0
a6,1,0.766299,0.088339,[78 43] ; [26 16],[77.20245399 43.79754601] ; [26.79754601 15.20245399],0
r3,1,0.801847,0.062979,[111  10] ; [38  4],[110.60736196  10.39263804] ; [38.39263804  3.60736196],0
r2,1,0.811626,0.056801,[107  13] ; [38  4],[107.40740741  12.59259259] ; [37.59259259  4.40740741],0
p11,1,0.815788,0.054273,[90 31] ; [32 10],[90.56441718 30.43558282] ; [31.43558282 10.56441718],0
