Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,41.618421,[101  15] ; [40 49],[79.78536585 36.21463415] ; [61.21463415 27.78536585],1
p6,1,4e-06,21.113214,[69 46] ; [25 65],[52.73170732 62.26829268] ; [41.26829268 48.73170732],1
p8,1,5.4e-05,16.312705,[82 33] ; [38 50],[67.98029557 47.01970443] ; [52.01970443 35.98029557],1
p7,1,0.000115,14.865051,[93 21] ; [48 37],[80.77386935 33.22613065] ; [60.22613065 24.77386935],1
d3,1,0.000898,11.026356,[102  14] ; [63 28],[92.46376812 23.53623188] ; [72.53623188 18.46376812],1
p5,1,0.001023,10.785356,[35 81] ; [10 80],[25.33980583 90.66019417] ; [19.66019417 70.33980583],0
u1,1,0.001361,10.258195,[44 72] ; [16 75],[33.62318841 82.37681159] ; [26.37681159 64.62318841],0
d1,1,0.002468,9.16419,[87 29] ; [50 41],[76.77294686 39.22705314] ; [60.22705314 30.77294686],0
n5,1,0.006614,7.374912,[97 19] ; [60 29],[88.83902439 27.16097561] ; [68.16097561 20.83902439],0
n4,1,0.007633,7.117696,[97 19] ; [61 29],[88.97087379 27.02912621] ; [69.02912621 20.97087379],0
p11,1,0.008798,6.863395,[98 18] ; [63 28],[90.22222222 25.77777778] ; [70.77777778 20.22222222],0
p2,1,0.009815,6.668246,[107   9] ; [72 18],[100.7961165  15.2038835] ; [78.2038835 11.7961165],0
p10,1,0.010647,6.523232,[110   6] ; [74 14],[104.62745098  11.37254902] ; [79.37254902  8.62745098],0
p9,1,0.030629,4.673665,[110   5] ; [76 11],[105.89108911   9.10891089] ; [80.10891089  6.89108911],0
a6,1,0.034492,4.470132,[92 23] ; [61 30],[85.41262136 29.58737864] ; [67.58737864 23.41262136],0
a2,1,0.03984,4.224693,[45 71] ; [23 68],[38.10628019 77.89371981] ; [29.89371981 61.10628019],0
r4,1,0.057941,3.595371,[112   4] ; [82  9],[108.71497585   7.28502415] ; [85.28502415  5.71497585],0
v2,1,0.061543,3.495317,[77 38] ; [47 40],[70.59405941 44.40594059] ; [53.40594059 33.59405941],0
n6,1,0.071448,3.249442,[108   7] ; [77 12],[104.28921569  10.71078431] ; [80.71078431  8.28921569],0
a3,1,0.082036,3.024089,[95 20] ; [66 25],[89.87864078 25.12135922] ; [71.12135922 19.87864078],0
v1,1,0.084769,2.971014,[75 40] ; [48 42],[69. 46.] ; [54. 36.],0
p1,1,0.11536,2.479214,[19 96] ; [ 8 81],[15.22058824 99.77941176] ; [11.77941176 77.22058824],0
v4,1,0.12005,2.416667,[114   2] ; [82  5],[112.   4.] ; [84.  3.],0
a5,1,0.120312,2.41326,[99 17] ; [70 21],[94.70531401 21.29468599] ; [74.29468599 16.70531401],0
a8,1,0.124394,2.361101,[12 94] ; [15 62],[15.63934426 90.36065574] ; [11.36065574 65.63934426],0
s7,1,0.127603,2.321429,[75 30] ; [55 35],[70. 35.] ; [60. 30.],0
n2,1,0.151489,2.057196,[18  2] ; [19  7],[16.08695652  3.91304348] ; [20.91304348  5.08695652],0
u3,1,0.152105,2.051016,[16  5] ; [14 11],[13.69565217  7.30434783] ; [16.30434783  8.69565217],0
v3,1,0.173361,1.853634,[56 59] ; [34 53],[51.23762376 63.76237624] ; [38.76237624 48.23762376],0
p12,1,0.175436,1.835866,[19 97] ; [ 9 82],[ 15.69082126 100.30917874] ; [12.30917874 78.69082126],0
u2,1,0.175441,1.835827,[13  8] ; [10 14],[10.73333333 10.26666667] ; [12.26666667 11.73333333],0
s4,1,0.216216,1.529312,[23 90] ; [25 65],[26.71921182 86.28078818] ; [21.28078818 68.71921182],0
r2,1,0.237517,1.395269,[114   2] ; [84  4],[112.58823529   3.41176471] ; [85.41176471  2.58823529],0
a1,1,0.251784,1.313377,[  8 108] ; [ 3 88],[  6.16425121 109.83574879] ; [ 4.83574879 86.16425121],0
r1,1,0.33028,0.947801,[100  15] ; [73 16],[97.5245098 17.4754902] ; [75.4754902 13.5245098],0
a4,1,0.340699,0.907798,[60 56] ; [41 50],[56.59903382 59.40096618] ; [44.40096618 46.59903382],0
n1,1,0.463245,0.538043,[11  9] ; [11 14],[ 9.77777778 10.22222222] ; [12.22222222 12.77777778],0
r3,1,0.471256,0.519029,[111   4] ; [85  5],[109.95121951   5.04878049] ; [86.04878049  3.95121951],0
d4,1,0.507057,0.440135,[103  13] ; [78 13],[101.42995169  14.57004831] ; [79.57004831 11.42995169],0
s8,1,0.522209,0.409528,[69 46] ; [50 40],[66.75609756 48.24390244] ; [52.24390244 37.75609756],0
b2,1,0.535301,0.384319,[24 41] ; [25 34],[25.68548387 39.31451613] ; [23.31451613 35.68548387],0
b3,1,0.535301,0.384319,[24 41] ; [25 34],[25.68548387 39.31451613] ; [23.31451613 35.68548387],0
b1,1,0.599724,0.275413,[41 75] ; [29 62],[39.22705314 76.77294686] ; [30.77294686 60.22705314],0
