Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8.2e-05,15.505087,[1 2] ; [72  4],[2.7721519 0.2278481] ; [70.2278481  5.7721519],1
s6,1,0.000104,15.059341,[1 2] ; [70  4],[2.76623377 0.23376623] ; [68.23376623  5.76623377],1
s1,1,0.05017,3.835752,[1 2] ; [ 4 72],[0.18987342 2.81012658] ; [ 4.81012658 71.18987342],0
a3,1,0.109087,2.567392,[1 2] ; [57 19],[2.20253165 0.79746835] ; [55.79746835 20.20253165],0
p10,1,0.22821,1.451981,[2 1] ; [67  8],[2.65384615 0.34615385] ; [66.34615385  8.65384615],0
d5,1,0.322154,0.980181,[2 1] ; [66 10],[2.58227848 0.41772152] ; [65.41772152 10.58227848],0
n6,1,0.421497,0.646137,[2 1] ; [64 12],[2.50632911 0.49367089] ; [63.49367089 12.50632911],0
b4,1,0.45443,0.559579,[1 2] ; [42 34],[1.63291139 1.36708861] ; [41.36708861 34.63291139],0
a4,1,0.601704,0.272434,[1 2] ; [37 39],[1.44303797 1.55696203] ; [36.55696203 39.44303797],0
s5,1,0.711138,0.137143,[1 1] ; [44 26],[1.25 0.75] ; [43.75 26.25],0
n5,1,0.744742,0.106003,[2 1] ; [57 19],[2.24050633 0.75949367] ; [56.75949367 19.24050633],0
p11,1,0.744742,0.106003,[2 1] ; [57 19],[2.24050633 0.75949367] ; [56.75949367 19.24050633],0
p8,1,0.78237,0.076304,[2 1] ; [44 31],[1.76923077 1.23076923] ; [44.23076923 30.76923077],0
a2,1,0.787266,0.072826,[1 2] ; [20 56],[0.79746835 2.20253165] ; [20.20253165 55.79746835],0
d1,1,0.787266,0.072826,[2 1] ; [56 20],[2.20253165 0.79746835] ; [55.79746835 20.20253165],0
n4,1,0.828915,0.046696,[2 1] ; [55 21],[2.16455696 0.83544304] ; [54.83544304 21.16455696],0
a5,1,0.828915,0.046696,[2 1] ; [55 21],[2.16455696 0.83544304] ; [54.83544304 21.16455696],0
b2,1,0.840061,0.040729,[1 2] ; [12 31],[0.84782609 2.15217391] ; [12.15217391 30.84782609],0
b3,1,0.840061,0.040729,[1 2] ; [12 31],[0.84782609 2.15217391] ; [12.15217391 30.84782609],0
d2,1,0.86589,0.028521,[2 1] ; [47 29],[1.86075949 1.13924051] ; [47.13924051 28.86075949],0
a6,1,0.86589,0.028521,[2 1] ; [47 29],[1.86075949 1.13924051] ; [47.13924051 28.86075949],0
u1,1,0.869718,0.026901,[1 2] ; [22 54],[0.87341772 2.12658228] ; [22.12658228 53.87341772],0
p4,1,0.948905,0.004107,[2 1] ; [52 24],[2.05063291 0.94936709] ; [51.94936709 24.05063291],0
