Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,109.884562,[262   7] ; [23 25],[241.84542587  27.15457413] ; [43.15457413  4.84542587],1
a5,1,3e-06,21.607849,[214  55] ; [23 25],[201.11356467  67.88643533] ; [35.88643533 12.11356467],1
s5,1,7.6e-05,15.654222,[125 132] ; [ 7 36],[113.08 143.92] ; [18.92 24.08],1
p2,1,0.000193,13.89768,[246  23] ; [35 13],[238.4511041  30.5488959] ; [42.5488959  5.4511041],1
n6,1,0.000224,13.616716,[243  23] ; [35 13],[235.50318471  30.49681529] ; [42.49681529  5.50318471],1
p7,1,0.000249,13.41879,[232  33] ; [32 16],[223.514377  41.485623] ; [40.485623  7.514377],1
v1,1,0.000285,13.163532,[176  90] ; [18 29],[164.86900958 101.13099042] ; [29.13099042 17.86900958],1
p4,1,0.000296,13.093582,[223  45] ; [29 19],[213.72151899  54.27848101] ; [38.27848101  9.72151899],1
p11,1,0.000363,12.715273,[227  42] ; [30 18],[218.0851735  50.9148265] ; [38.9148265  9.0851735],1
n5,1,0.000402,12.523176,[222  46] ; [29 19],[212.87341772  55.12658228] ; [38.12658228  9.87341772],1
r4,1,0.00072,11.435836,[258  11] ; [40  8],[252.87697161  16.12302839] ; [45.12302839  2.87697161],1
a3,1,0.001108,10.638087,[205  62] ; [26 22],[195.8  71.2] ; [35.2 12.8],0
p3,1,0.001521,10.052691,[186  82] ; [22 26],[176.40506329  91.59493671] ; [31.59493671 16.40506329],0
s6,1,0.001586,9.975999,[206  55] ; [27 20],[197.44480519  63.55519481] ; [35.55519481 11.44480519],0
n4,1,0.003403,8.577553,[231  38] ; [33 15],[224.02523659  44.97476341] ; [39.97476341  8.02523659],0
s8,1,0.005433,7.729254,[161 107] ; [18 29],[152.29206349 115.70793651] ; [26.70793651 20.29206349],0
d5,1,0.006531,7.397501,[226  40] ; [33 15],[219.40764331  46.59235669] ; [39.59235669  8.40764331],0
v3,1,0.008965,6.829771,[117 146] ; [11 35],[108.94498382 154.05501618] ; [19.05501618 26.94498382],0
s2,1,0.011863,6.331259,[169  99] ; [21 27],[161.13924051 106.86075949] ; [28.86075949 19.13924051],0
d1,1,0.03183,4.607629,[178  91] ; [24 24],[171.41324921  97.58675079] ; [30.58675079 17.41324921],0
r1,1,0.034474,4.471045,[225  44] ; [34 14],[219.78233438  49.21766562] ; [39.21766562  8.78233438],0
a2,1,0.042301,4.123122,[ 77 192] ; [ 7 41],[ 71.2807571 197.7192429] ; [12.7192429 35.2807571],0
p8,1,0.043947,4.058616,[190  78] ; [27 21],[184.03797468  83.96202532] ; [32.96202532 15.03797468],0
d3,1,0.045772,3.989953,[198  68] ; [29 19],[192.29936306  73.70063694] ; [34.70063694 13.29936306],0
p5,1,0.047006,3.945186,[ 55 214] ; [ 4 44],[ 50.06624606 218.93375394] ; [ 8.93375394 39.06624606],0
s7,1,0.053939,3.714593,[164  93] ; [23 24],[158.08881579  98.91118421] ; [28.91118421 18.08881579],0
b1,1,0.055992,3.652295,[106 163] ; [26 22],[112.0126183 156.9873817] ; [19.9873817 28.0126183],0
v2,1,0.061427,3.498425,[162 102] ; [22 25],[156.19292605 107.80707395] ; [27.80707395 19.19292605],0
b5,1,0.103921,2.644317,[157 112] ; [34 14],[162.07886435 106.92113565] ; [28.92113565 19.07886435],0
a6,1,0.107749,2.586926,[182  85] ; [27 21],[177.15238095  89.84761905] ; [31.84761905 16.15238095],0
d4,1,0.107877,2.585056,[230  37] ; [37 11],[226.31428571  40.68571429] ; [40.68571429  7.31428571],0
n2,1,0.140008,2.177871,[29 16] ; [15  3],[31.42857143 13.57142857] ; [12.57142857  5.42857143],0
v4,1,0.151624,2.055832,[259  10] ; [44  4],[257.11987382  11.88012618] ; [45.88012618  2.11987382],0
a7,1,0.152831,2.043768,[199  68] ; [31 17],[194.95238095  72.04761905] ; [35.04761905 12.95238095],0
u1,1,0.158637,1.987174,[ 64 205] ; [ 7 41],[ 60.24921136 208.75078864] ; [10.75078864 37.24921136],0
u4,1,0.18288,1.774064,[  7 262] ; [ 3 45],[  8.48580442 260.51419558] ; [ 1.51419558 46.48580442],0
s1,1,0.225802,1.467112,[  8 261] ; [ 3 43],[  9.39365079 259.60634921] ; [ 1.60634921 44.39365079],0
n1,1,0.280406,1.165119,[17 28] ; [9 8],[18.87096774 26.12903226] ; [7.12903226 9.87096774],0
b4,1,0.314033,1.013639,[161 108] ; [25 23],[157.83596215 111.16403785] ; [28.16403785 19.83596215],0
s3,1,0.334218,0.932484,[165 103] ; [26 22],[161.98734177 106.01265823] ; [29.01265823 18.98734177],0
r2,1,0.337364,0.920422,[258   9] ; [45  3],[256.82857143  10.17142857] ; [46.17142857  1.82857143],0
s4,1,0.376376,0.782505,[ 54 210] ; [ 7 40],[ 51.78135048 212.21864952] ; [ 9.21864952 37.78135048],0
u3,1,0.428432,0.627069,[41 23] ; [12 10],[39.44186047 24.55813953] ; [13.55813953  8.44186047],0
n3,1,0.449897,0.570911,[30 14] ; [14  4],[31.22580645 12.77419355] ; [12.77419355  5.22580645],0
u2,1,0.510344,0.433361,[40 24] ; [12 10],[38.69767442 25.30232558] ; [13.30232558  8.69767442],0
a4,1,0.515384,0.42312,[137 132] ; [22 26],[134.92429022 134.07570978] ; [24.07570978 23.92429022],0
b2,1,0.614227,0.254065,[77 94] ; [15 15],[78.26865672 92.73134328] ; [13.73134328 16.26865672],0
b3,1,0.614227,0.254065,[77 94] ; [15 15],[78.26865672 92.73134328] ; [13.73134328 16.26865672],0
d2,1,0.633289,0.227626,[144 124] ; [24 24],[142.48101266 125.51898734] ; [25.51898734 22.48101266],0
a1,1,0.770644,0.084991,[ 20 249] ; [ 3 45],[ 19.51735016 249.48264984] ; [ 3.48264984 44.51735016],0
p1,1,0.774603,0.082002,[ 35 233] ; [ 7 41],[ 35.62025316 232.37974684] ; [ 6.37974684 41.62025316],0
a8,1,0.955035,0.003179,[ 37 206] ; [ 7 38],[ 37.125 205.875] ; [ 6.875 38.125],0
