Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7.4e-05,15.716979,[15 22] ; [63 18],[24.45762712 12.54237288] ; [53.54237288 27.45762712],1
r3,1,0.000147,14.405619,[20 17] ; [69 11],[28.14529915  8.85470085] ; [60.85470085 19.14529915],1
p10,1,0.000186,13.966407,[13 22] ; [57 20],[21.875 13.125] ; [48.125 28.875],1
v4,1,0.000275,13.231775,[23 12] ; [74  6],[29.52173913  5.47826087] ; [67.47826087 12.52173913],1
p9,1,0.001022,10.78657,[15 20] ; [59 20],[22.71929825 12.28070175] ; [51.28070175 27.71929825],0
s6,1,0.001723,9.823801,[10 27] ; [46 33],[17.86206897 19.13793103] ; [38.13793103 40.86206897],0
s2,1,0.00217,9.399889,[ 6 31] ; [36 43],[13.39655172 23.60344828] ; [28.60344828 50.39655172],0
s3,1,0.010021,6.631112,[10 27] ; [41 37],[16.40869565 20.59130435] ; [34.59130435 43.40869565],0
p2,1,0.011084,6.45178,[19 18] ; [60 20],[24.98290598 12.01709402] ; [54.01709402 25.98290598],0
d2,1,0.012206,6.280683,[13 24] ; [12 69],[ 7.83898305 29.16101695] ; [17.16101695 63.83898305],0
r1,1,0.018562,5.542344,[15 22] ; [51 29],[20.87179487 16.12820513] ; [45.12820513 34.87179487],0
p11,1,0.023286,5.14703,[17 20] ; [55 26],[22.57627119 14.42372881] ; [49.42372881 31.57627119],0
s8,1,0.024654,5.048004,[ 5 32] ; [27 54],[10.03389831 26.96610169] ; [21.96610169 59.03389831],0
b1,1,0.032917,4.550114,[20 17] ; [27 54],[14.73728814 22.26271186] ; [32.26271186 48.73728814],0
s5,1,0.046902,3.948914,[ 3 33] ; [19 60],[ 6.88695652 29.11304348] ; [15.11304348 63.88695652],0
s7,1,0.047984,3.910552,[ 7 28] ; [30 47],[11.5625 23.4375] ; [25.4375 51.5625],0
b3,1,0.055464,3.668082,[ 7 11] ; [ 7 36],[ 4.13114754 13.86885246] ; [ 9.86885246 33.13114754],0
