Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.007372,7.179919,[ 2 14] ; [14 12],[6.0952381 9.9047619] ; [ 9.9047619 16.0952381],0
r4,1,0.020657,5.355495,[62  3] ; [58 12],[57.77777778  7.22222222] ; [62.22222222  7.77777778],0
p3,1,0.031054,4.649991,[39 26] ; [29 41],[32.74074074 32.25925926] ; [35.25925926 34.74074074],0
s8,1,0.032025,4.597142,[38 27] ; [28 42],[31.77777778 33.22222222] ; [34.22222222 35.77777778],0
p7,1,0.048069,3.907561,[46 17] ; [39 30],[40.56818182 22.43181818] ; [44.43181818 24.56818182],0
p4,1,0.048407,3.895789,[46 19] ; [38 32],[40.44444444 24.55555556] ; [43.55555556 26.44444444],0
n5,1,0.050053,3.83969,[54 11] ; [48 22],[49.11111111 15.88888889] ; [52.88888889 17.11111111],0
p10,1,0.050718,3.817545,[59  6] ; [55 15],[54.88888889 10.11111111] ; [59.11111111 10.88888889],0
p5,1,0.051137,3.803772,[ 9 56] ; [ 3 67],[ 5.77777778 59.22222222] ; [ 6.22222222 63.77777778],0
d5,1,0.051405,3.79503,[56  9] ; [50 19],[51.41791045 13.58208955] ; [54.58208955 14.41791045],0
r3,1,0.060779,3.515988,[63  2] ; [61  8],[60.14925373  4.85074627] ; [63.85074627  5.14925373],0
b2,1,0.073089,3.212254,[11 27] ; [ 4 30],[ 7.91666667 30.08333333] ; [ 7.08333333 26.91666667],0
b3,1,0.073089,3.212254,[11 27] ; [ 4 30],[ 7.91666667 30.08333333] ; [ 7.08333333 26.91666667],0
a4,1,0.077463,3.117344,[33 32] ; [25 45],[27.92592593 37.07407407] ; [30.07407407 39.92592593],0
n3,1,0.091031,2.856044,[8 5] ; [19  3],[10.02857143  2.97142857] ; [16.97142857  5.02857143],0
p8,1,0.092158,2.836261,[38 25] ; [32 38],[33.15789474 29.84210526] ; [36.84210526 33.15789474],0
v2,1,0.099185,2.718605,[35 29] ; [27 40],[30.29007634 33.70992366] ; [31.70992366 35.29007634],0
n4,1,0.116188,2.46797,[49 16] ; [44 26],[44.77777778 20.22222222] ; [48.22222222 21.77777778],0
a3,1,0.116188,2.46797,[49 16] ; [44 26],[44.77777778 20.22222222] ; [48.22222222 21.77777778],0
