Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,37.688636,[40  2] ; [ 5 18],[29.07692308 12.92307692] ; [15.92307692  7.07692308],1
s6,1,5.5e-05,16.252977,[39  2] ; [11 10],[33.06451613  7.93548387] ; [16.93548387  4.06451613],1
s7,1,0.000668,11.576134,[36  6] ; [10 12],[30.1875 11.8125] ; [15.8125  6.1875],1
p6,1,0.000935,10.951663,[29 12] ; [ 6 16],[22.77777778 18.22222222] ; [12.22222222  9.77777778],1
s8,1,0.001849,9.693681,[32  9] ; [ 9 14],[26.265625 14.734375] ; [14.734375  8.265625],0
r4,1,0.003197,8.691228,[41  1] ; [17  6],[37.47692308  4.52307692] ; [20.52307692  2.47692308],0
r3,1,0.009933,6.646855,[41  1] ; [18  5],[38.12307692  3.87692308] ; [20.87692308  2.12307692],0
p4,1,0.011033,6.45999,[40  1] ; [18  5],[37.15625  3.84375] ; [20.84375  2.15625],0
p8,1,0.027462,4.861542,[37  5] ; [15  8],[33.6  8.4] ; [18.4  4.6],0
r2,1,0.029887,4.715752,[41  1] ; [19  4],[38.76923077  3.23076923] ; [21.23076923  1.76923077],0
p12,1,0.050806,3.814645,[15 27] ; [ 3 20],[11.63076923 30.36923077] ; [ 6.36923077 16.63076923],0
s5,1,0.059582,3.548969,[29  9] ; [11 10],[25.76271186 12.23728814] ; [14.23728814  6.76271186],0
s4,1,0.060469,3.524476,[10 32] ; [ 1 20],[ 7.33333333 34.66666667] ; [ 3.66666667 17.33333333],0
a1,1,0.067996,3.330745,[ 9 33] ; [ 1 22],[ 6.46153846 35.53846154] ; [ 3.53846154 19.46153846],0
a5,1,0.067996,3.330745,[33  9] ; [22  1],[35.53846154  6.46153846] ; [19.46153846  3.53846154],0
a6,1,0.073209,3.209563,[25 16] ; [19  4],[28.1875 12.8125] ; [15.8125  7.1875],0
v1,1,0.086573,2.936973,[34  7] ; [14  8],[31.23809524  9.76190476] ; [16.76190476  5.23809524],0
a8,1,0.158867,1.984974,[ 7 31] ; [ 1 19],[ 5.24137931 32.75862069] ; [ 2.75862069 17.24137931],0
b4,1,0.178845,1.807195,[22 20] ; [16  7],[24.55384615 17.44615385] ; [13.44615385  9.55384615],0
p2,1,0.17898,1.806074,[39  3] ; [18  4],[37.40625  4.59375] ; [19.59375  2.40625],0
n5,1,0.230873,1.435473,[40  2] ; [20  3],[38.76923077  3.23076923] ; [21.23076923  1.76923077],0
n4,1,0.230873,1.435473,[40  2] ; [20  3],[38.76923077  3.23076923] ; [21.23076923  1.76923077],0
b5,1,0.364308,0.822986,[17 25] ; [12 11],[18.73846154 23.26153846] ; [10.26153846 12.73846154],0
p7,1,0.365758,0.818025,[33  7] ; [16  6],[31.61290323  8.38709677] ; [17.38709677  4.61290323],0
p1,1,0.427352,0.630008,[13 29] ; [ 5 18],[11.63076923 30.36923077] ; [ 6.36923077 16.63076923],0
a7,1,0.46645,0.530372,[31 11] ; [15  8],[29.72307692 12.27692308] ; [16.27692308  6.72307692],0
u1,1,0.46645,0.530372,[11 31] ; [ 8 15],[12.27692308 29.72307692] ; [ 6.72307692 16.27692308],0
d3,1,0.49066,0.47508,[35  6] ; [21  2],[35.875  5.125] ; [20.125  2.875],0
v3,1,0.621161,0.244239,[25 16] ; [12 10],[24.07936508 16.92063492] ; [12.92063492  9.07936508],0
n1,1,0.639994,0.21875,[5 3] ; [3 3],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
d2,1,0.651826,0.203606,[30 11] ; [18  5],[30.75 10.25] ; [17.25  5.75],0
a3,1,0.661598,0.191588,[38  4] ; [20  3],[37.47692308  4.52307692] ; [20.52307692  2.47692308],0
n2,1,0.732678,0.116667,[6 2] ; [4 2],[5.71428571 2.28571429] ; [4.28571429 1.71428571],0
r1,1,0.740022,0.110107,[36  6] ; [19  4],[35.53846154  6.46153846] ; [19.46153846  3.53846154],0
u2,1,0.80915,0.058333,[3 1] ; [2 1],[2.85714286 1.14285714] ; [2.14285714 0.85714286],0
v2,1,0.818966,0.052384,[23 18] ; [13  9],[23.42857143 17.57142857] ; [12.57142857  9.42857143],0
p10,1,0.822255,0.050466,[39  3] ; [21  2],[38.76923077  3.23076923] ; [21.23076923  1.76923077],0
s1,1,0.822255,0.050466,[ 3 39] ; [ 2 21],[ 3.23076923 38.76923077] ; [ 1.76923077 21.23076923],0
p3,1,0.831741,0.045143,[33  8] ; [18  5],[32.671875  8.328125] ; [18.328125  4.671875],0
b3,1,0.855772,0.033036,[16 16] ; [10  9],[16.31372549 15.68627451] ; [9.68627451 9.31372549],0
b2,1,0.855772,0.033036,[16 16] ; [10  9],[16.31372549 15.68627451] ; [9.68627451 9.31372549],0
n3,1,0.872081,0.025926,[3 5] ; [2 4],[2.85714286 5.14285714] ; [2.14285714 3.85714286],0
b1,1,0.891442,0.018627,[19 23] ; [10 13],[18.73846154 23.26153846] ; [10.26153846 12.73846154],0
p11,1,0.893701,0.017855,[37  5] ; [20  3],[36.83076923  5.16923077] ; [20.16923077  2.83076923],0
p9,1,0.939355,0.005788,[40  2] ; [22  1],[40.06153846  1.93846154] ; [21.93846154  1.06153846],0
a4,1,0.98725,0.000255,[22 20] ; [12 11],[21.96923077 20.03076923] ; [12.03076923 10.96923077],0
a2,1,0.992755,8.2e-05,[11 31] ; [ 6 17],[10.98461538 31.01538462] ; [ 6.01538462 16.98461538],0
