Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.1e-05,19.40625,[90 45] ; [25 47],[75. 60.] ; [40. 32.],1
d5,1,0.000142,14.475771,[108  28] ; [39 33],[96.11538462 39.88461538] ; [50.88461538 21.11538462],1
a6,1,0.000797,11.249133,[93 43] ; [32 40],[81.73076923 54.26923077] ; [43.26923077 28.73076923],1
r4,1,0.000995,10.837206,[110  26] ; [43 29],[100.03846154  35.96153846] ; [52.96153846 19.03846154],1
r3,1,0.001956,9.590068,[119  16] ; [51 21],[110.86956522  24.13043478] ; [59.13043478 12.86956522],0
v4,1,0.005165,7.820856,[122  14] ; [54 18],[115.07692308  20.92307692] ; [60.92307692 11.07692308],0
b5,1,0.006739,7.341176,[94 42] ; [36 36],[85. 51.] ; [45. 27.],0
p2,1,0.008711,6.881131,[102  34] ; [40 30],[93.74757282 42.25242718] ; [48.25242718 21.74757282],0
p8,1,0.009686,6.691729,[66 68] ; [22 50],[57.24271845 76.75728155] ; [30.75728155 41.24271845],0
p10,1,0.014683,5.954057,[93 40] ; [38 34],[84.9902439 48.0097561] ; [46.0097561 25.9902439],0
a2,1,0.01901,5.500593,[ 26 110] ; [ 5 67],[ 20.26923077 115.73076923] ; [10.73076923 61.26923077],0
b1,1,0.026157,4.945613,[50 86] ; [38 34],[57.53846154 78.46153846] ; [30.46153846 41.53846154],0
v1,1,0.026457,4.925904,[51 84] ; [16 55],[43.90776699 91.09223301] ; [23.09223301 47.90776699],0
p7,1,0.029051,4.764609,[71 64] ; [26 45],[63.56796117 71.43203883] ; [33.43203883 37.56796117],0
d4,1,0.033463,4.521951,[104  32] ; [45 27],[97.42307692 38.57692308] ; [51.57692308 20.42307692],0
r1,1,0.04124,4.16613,[89 46] ; [37 35],[82.17391304 52.82608696] ; [43.82608696 28.17391304],0
r2,1,0.04424,4.047397,[119  16] ; [55 16],[114.02912621  20.97087379] ; [59.97087379 11.02912621],0
d1,1,0.044925,4.021439,[65 71] ; [24 48],[58.19230769 77.80769231] ; [30.80769231 41.19230769],0
u3,1,0.062897,3.459302,[30 21] ; [13 21],[25.8 25.2] ; [17.2 16.8],0
n5,1,0.064065,3.428881,[82 53] ; [53 19],[88.04347826 46.95652174] ; [46.95652174 25.04347826],0
p9,1,0.071546,3.247184,[98 35] ; [43 27],[92.37931034 40.62068966] ; [48.62068966 21.37931034],0
p4,1,0.07912,3.082891,[64 71] ; [25 47],[58.04347826 76.95652174] ; [30.95652174 41.04347826],0
p6,1,0.086379,2.940595,[40 95] ; [13 57],[ 34.90243902 100.09756098] ; [18.09756098 51.90243902],0
u1,1,0.093982,2.804816,[ 15 121] ; [ 3 69],[ 11.76923077 124.23076923] ; [ 6.23076923 65.76923077],0
a1,1,0.153384,2.038275,[  5 131] ; [ 6 66],[  7.19230769 128.80769231] ; [ 3.80769231 68.19230769],0
a3,1,0.167612,1.904174,[84 50] ; [38 34],[79.3592233 54.6407767] ; [42.6407767 29.3592233],0
s1,1,0.184961,1.757308,[  4 130] ; [ 5 67],[  5.85436893 128.14563107] ; [ 3.14563107 68.85436893],0
p3,1,0.255917,1.290713,[51 85] ; [21 50],[47.30434783 88.69565217] ; [24.69565217 46.30434783],0
n3,1,0.268779,1.222967,[24 13] ; [16 15],[21.76470588 15.23529412] ; [18.23529412 12.76470588],0
s2,1,0.29922,1.077666,[ 18 117] ; [ 6 65],[ 15.72815534 119.27184466] ; [ 8.27184466 62.72815534],0
s7,1,0.335268,0.928441,[ 27 101] ; [19 51],[29.73737374 98.26262626] ; [16.26262626 53.73737374],0
p11,1,0.345871,0.888547,[92 44] ; [44 28],[88.92307692 47.07692308] ; [47.07692308 24.92307692],0
a8,1,0.384197,0.757229,[ 14 112] ; [ 5 64],[ 12.27692308 113.72307692] ; [ 6.72307692 62.27692308],0
n1,1,0.431313,0.619285,[13 23] ; [ 9 24],[11.47826087 24.52173913] ; [10.52173913 22.47826087],0
d2,1,0.455928,0.555873,[51 85] ; [30 40],[53.47572816 82.52427184] ; [27.52427184 42.47572816],0
s5,1,0.464234,0.535666,[ 22 112] ; [14 54],[ 23.88118812 110.11881188] ; [12.11881188 55.88118812],0
u2,1,0.478942,0.501271,[27 25] ; [15 19],[25.39534884 26.60465116] ; [16.60465116 17.39534884],0
s4,1,0.511582,0.430831,[ 16 117] ; [11 61],[ 17.51707317 115.48292683] ; [ 9.48292683 62.51707317],0
b2,1,0.557245,0.344498,[27 49] ; [18 26],[28.5 47.5] ; [16.5 27.5],0
b3,1,0.557245,0.344498,[27 49] ; [18 26],[28.5 47.5] ; [16.5 27.5],0
n4,1,0.597131,0.279345,[90 46] ; [45 27],[88.26923077 47.73076923] ; [46.73076923 25.26923077],0
n2,1,0.610858,0.258928,[23 15] ; [18 15],[21.94366197 16.05633803] ; [19.05633803 13.94366197],0
v3,1,0.632928,0.228111,[ 25 111] ; [11 59],[ 23.76699029 112.23300971] ; [12.23300971 57.76699029],0
p12,1,0.648157,0.208232,[  4 131] ; [ 3 69],[  4.56521739 130.43478261] ; [ 2.43478261 69.56521739],0
b4,1,0.659435,0.194211,[78 58] ; [39 33],[76.5 59.5] ; [40.5 31.5],0
a5,1,0.673374,0.177681,[89 47] ; [45 27],[87.61538462 48.38461538] ; [46.38461538 25.61538462],0
s8,1,0.74969,0.101792,[ 26 109] ; [15 56],[ 26.86893204 108.13106796] ; [14.13106796 56.86893204],0
a4,1,0.850163,0.035687,[48 88] ; [26 45],[48.61835749 87.38164251] ; [25.38164251 45.61835749],0
p1,1,0.892527,0.018254,[ 12 123] ; [ 6 66],[ 11.73913043 123.26086957] ; [ 6.26086957 65.73913043],0
p5,1,0.934767,0.006699,[ 10 126] ; [ 5 66],[  9.85507246 126.14492754] ; [ 5.14492754 65.85507246],0
n6,1,0.944568,0.004834,[104  31] ; [55 16],[104.19902913  30.80097087] ; [54.80097087 16.19902913],0
s6,1,0.974947,0.000986,[51 82] ; [27 43],[51.10344828 81.89655172] ; [26.89655172 43.10344828],0
