Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.036885,4.355716,[45 16] ; [8 9],[41.44871795 19.55128205] ; [11.55128205  5.44871795],0
d3,1,0.044763,4.027564,[18 43] ; [ 1 16],[14.85897436 46.14102564] ; [ 4.14102564 12.85897436],0
s7,1,0.046501,3.963341,[26 30] ; [ 3 13],[22.55555556 33.44444444] ; [6.44444444 9.55555556],0
a3,1,0.082728,3.01047,[36 25] ; [ 6 11],[32.84615385 28.15384615] ; [9.15384615 7.84615385],0
p4,1,0.097154,2.751644,[48 13] ; [10  7],[45.35897436 15.64102564] ; [12.64102564  4.35897436],0
p9,1,0.118249,2.440366,[52  8] ; [12  5],[49.87012987 10.12987013] ; [14.12987013  2.87012987],0
r2,1,0.157144,2.001498,[57  4] ; [14  3],[55.52564103  5.47435897] ; [15.47435897  1.52564103],0
u2,1,0.169017,1.891636,[13 12] ; [3 8],[11.11111111 13.88888889] ; [4.88888889 6.11111111],0
a8,1,0.188735,1.727466,[ 4 53] ; [ 3 14],[ 5.39189189 51.60810811] ; [ 1.60810811 15.39189189],0
b1,1,0.190921,1.710499,[25 36] ; [10  7],[27.37179487 33.62820513] ; [7.62820513 9.37179487],0
d5,1,0.210515,1.567878,[32 29] ; [ 6 11],[29.71794872 31.28205128] ; [8.28205128 8.71794872],0
a6,1,0.222662,1.487133,[42 19] ; [9 8],[39.88461538 21.11538462] ; [11.11538462  5.88461538],0
p10,1,0.234934,1.410738,[48 13] ; [11  6],[46.14102564 14.85897436] ; [12.85897436  4.14102564],0
a5,1,0.258715,1.275623,[38 23] ; [8 9],[35.97435897 25.02564103] ; [10.02564103  6.97435897],0
u3,1,0.277726,1.178182,[11 14] ; [7 4],[12.5 12.5] ; [5.5 5.5],0
b2,1,0.327231,0.959824,[15 30] ; [2 9],[13.66071429 31.33928571] ; [3.33928571 7.66071429],0
b3,1,0.327231,0.959824,[15 30] ; [2 9],[13.66071429 31.33928571] ; [3.33928571 7.66071429],0
p8,1,0.341209,0.905882,[36 24] ; [8 9],[34.28571429 25.71428571] ; [9.71428571 7.28571429],0
b4,1,0.345871,0.88855,[33 28] ; [ 7 10],[31.28205128 29.71794872] ; [8.71794872 8.28205128],0
n5,1,0.36284,0.828038,[47 13] ; [15  2],[48.31168831 11.68831169] ; [13.68831169  3.31168831],0
p7,1,0.378913,0.774226,[46 15] ; [11  6],[44.57692308 16.42307692] ; [12.42307692  4.57692308],0
v3,1,0.517274,0.419325,[23 37] ; [8 9],[24.15584416 35.84415584] ; [ 6.84415584 10.15584416],0
p6,1,0.586942,0.295145,[26 35] ; [ 6 11],[25.02564103 35.97435897] ; [ 6.97435897 10.02564103],0
r1,1,0.60215,0.271765,[42 18] ; [13  4],[42.85714286 17.14285714] ; [12.14285714  4.85714286],0
p11,1,0.611081,0.258603,[50 11] ; [13  4],[49.26923077 11.73076923] ; [13.73076923  3.26923077],0
r4,1,0.61399,0.254406,[55  6] ; [16  1],[55.52564103  5.47435897] ; [15.47435897  1.52564103],0
v2,1,0.614509,0.253661,[29 30] ; [9 7],[29.89333333 29.10666667] ; [8.10666667 7.89333333],0
p12,1,0.648981,0.207187,[ 5 56] ; [ 2 15],[ 5.47435897 55.52564103] ; [ 1.52564103 15.47435897],0
s6,1,0.652438,0.20284,[34 24] ; [11  6],[34.8 23.2] ; [10.2  6.8],0
s8,1,0.725425,0.123354,[24 36] ; [ 6 11],[23.37662338 36.62337662] ; [ 6.62337662 10.37662338],0
v1,1,0.74424,0.106435,[29 31] ; [7 9],[28.42105263 31.57894737] ; [7.57894737 8.42105263],0
v4,1,0.751483,0.100289,[56  5] ; [16  1],[56.30769231  4.69230769] ; [15.69230769  1.30769231],0
n6,1,0.770012,0.085474,[52  9] ; [14  3],[51.61538462  9.38461538] ; [14.38461538  2.61538462],0
a4,1,0.793636,0.06843,[16 45] ; [ 5 12],[16.42307692 44.57692308] ; [ 4.57692308 12.42307692],0
n4,1,0.844702,0.03837,[48 13] ; [13  4],[47.70512821 13.29487179] ; [13.29487179  3.70512821],0
s2,1,0.859362,0.031395,[19 41] ; [ 5 12],[18.7012987 41.2987013] ; [ 5.2987013 11.7012987],0
s3,1,0.879049,0.023157,[29 30] ; [8 9],[28.72368421 30.27631579] ; [8.27631579 8.72368421],0
b5,1,0.891414,0.018636,[37 24] ; [10  7],[36.75641026 24.24358974] ; [10.24358974  6.75641026],0
d2,1,0.900509,0.01563,[17 44] ; [ 5 12],[17.20512821 43.79487179] ; [ 4.79487179 12.20512821],0
s4,1,0.902383,0.015043,[10 51] ; [ 3 14],[10.16666667 50.83333333] ; [ 2.83333333 14.16666667],0
p5,1,0.902383,0.015043,[10 51] ; [ 3 14],[10.16666667 50.83333333] ; [ 2.83333333 14.16666667],0
s5,1,0.915902,0.011151,[14 45] ; [ 4 12],[14.16 44.84] ; [ 3.84 12.16],0
