Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,22.839773,[11 17] ; [63 10],[20.51485149  7.48514851] ; [53.48514851 19.51485149],1
p9,1,4e-06,21.267818,[13 15] ; [66  8],[21.68627451  6.31372549] ; [57.31372549 16.68627451],1
v2,1,0.001478,10.10625,[ 5 22] ; [39 33],[12. 15.] ; [32. 40.],0
p8,1,0.002196,9.377876,[10 19] ; [50 24],[16.89320388 12.10679612] ; [43.10679612 30.89320388],0
r3,1,0.0069,7.298743,[23  5] ; [72  2],[26.07843137  1.92156863] ; [68.92156863  5.07843137],0
b1,1,0.021057,5.322097,[17 12] ; [25 49],[11.82524272 17.17475728] ; [30.17475728 43.82524272],0
n6,1,0.034523,4.468618,[21  8] ; [66  8],[24.49514563  4.50485437] ; [62.50485437 11.49514563],0
a6,1,0.04885,3.880499,[11 18] ; [44 30],[15.48543689 13.51456311] ; [39.51456311 34.48543689],0
n5,1,0.063494,3.443673,[18 11] ; [59 15],[21.67961165  7.32038835] ; [55.32038835 18.67961165],0
p7,1,0.067675,3.338536,[17 12] ; [56 17],[20.75490196  8.24509804] ; [52.24509804 20.75490196],0
r2,1,0.111364,2.53476,[24  5] ; [68  5],[26.15686275  2.84313725] ; [65.84313725  7.15686275],0
v3,1,0.1239,2.36732,[ 7 20] ; [30 40],[10.29896907 16.70103093] ; [26.70103093 43.29896907],0
p4,1,0.130238,2.289668,[19 10] ; [59 15],[21.96116505  7.03883495] ; [56.03883495 17.96116505],0
b5,1,0.133448,2.251924,[20  9] ; [39 35],[16.61165049 12.38834951] ; [42.38834951 31.61165049],0
a4,1,0.145061,2.12343,[ 3 26] ; [17 57],[ 5.63106796 23.36893204] ; [14.36893204 59.63106796],0
s5,1,0.151049,2.061625,[ 5 23] ; [22 46],[ 7.875 20.125] ; [19.125 48.875],0
p6,1,0.159904,1.975136,[ 9 20] ; [32 37],[12.13265306 16.86734694] ; [28.86734694 40.13265306],0
a3,1,0.167865,1.901906,[ 9 19] ; [35 39],[12.07843137 15.92156863] ; [31.92156863 42.07843137],0
d1,1,0.172639,1.859875,[14 15] ; [25 49],[10.98058252 18.01941748] ; [28.01941748 45.98058252],0
s7,1,0.174404,1.844676,[ 8 16] ; [35 36],[10.86315789 13.13684211] ; [32.13684211 38.86315789],0
s8,1,0.178228,1.81234,[ 8 21] ; [31 43],[10.98058252 18.01941748] ; [28.01941748 45.98058252],0
r4,1,0.188251,1.731256,[23  6] ; [66  8],[25.05825243  3.94174757] ; [63.94174757 10.05825243],0
a8,1,0.204115,1.612683,[ 1 27] ; [ 8 59],[ 2.65263158 25.34736842] ; [ 6.34736842 60.65263158],0
v1,1,0.205041,1.606099,[12 16] ; [41 31],[14.84 13.16] ; [38.16 33.84],0
d3,1,0.238287,1.390697,[19 10] ; [39 35],[16.33009709 12.66990291] ; [41.66990291 32.33009709],0
p1,1,0.265031,1.242288,[ 7 22] ; [11 63],[ 5.06796117 23.93203883] ; [12.93203883 61.06796117],0
u2,1,0.305945,1.048101,[ 8 10] ; [23 16],[9.78947368 8.21052632] ; [21.21052632 17.78947368],0
a7,1,0.315853,1.006042,[19 10] ; [55 18],[21.03921569  7.96078431] ; [52.96078431 20.03921569],0
n4,1,0.316265,1.004328,[20  9] ; [58 16],[21.96116505  7.03883495] ; [56.03883495 17.96116505],0
v4,1,0.321769,0.981742,[27  2] ; [72  2],[27.87378641  1.12621359] ; [71.12621359  2.87378641],0
d4,1,0.341394,0.90519,[22  7] ; [49 25],[19.99029126  9.00970874] ; [51.00970874 22.99029126],0
p2,1,0.365845,0.81773,[23  6] ; [64 10],[24.49514563  4.50485437] ; [62.50485437 11.49514563],0
d2,1,0.396958,0.717523,[ 9 20] ; [17 57],[ 7.32038835 21.67961165] ; [18.67961165 55.32038835],0
p12,1,0.398043,0.71423,[ 1 28] ; [ 6 68],[ 1.97087379 27.02912621] ; [ 5.02912621 68.97087379],0
b2,1,0.408215,0.683995,[ 3 14] ; [12 31],[ 4.25 12.75] ; [10.75 32.25],0
b3,1,0.408215,0.683995,[ 3 14] ; [12 31],[ 4.25 12.75] ; [10.75 32.25],0
r1,1,0.447852,0.576082,[18 11] ; [51 22],[19.61764706  9.38235294] ; [49.38235294 23.61764706],0
n3,1,0.580543,0.305357,[6 1] ; [9 3],[5.52631579 1.47368421] ; [9.47368421 2.52631579],0
n2,1,0.580543,0.305357,[6 1] ; [9 3],[5.52631579 1.47368421] ; [9.47368421 2.52631579],0
d5,1,0.582468,0.302262,[20  9] ; [55 19],[21.11650485  7.88349515] ; [53.88349515 20.11650485],0
s2,1,0.593971,0.284186,[14 15] ; [31 42],[12.79411765 16.20588235] ; [32.20588235 40.79411765],0
b4,1,0.600473,0.274283,[16 13] ; [45 29],[17.17475728 11.82524272] ; [43.82524272 30.17475728],0
