Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,71.375271,[37 65] ; [275  69],[71.35426009 30.64573991] ; [240.64573991 103.35426009],1
d3,1,0.0,35.08236,[56 46] ; [286  58],[78.21524664 23.78475336] ; [263.78475336  80.21524664],1
a2,1,0.0,29.547082,[ 8 94] ; [123 221],[29.95964126 72.04035874] ; [101.04035874 242.95964126],1
u1,1,0.0,26.426059,[ 5 97] ; [102 242],[24.47085202 77.52914798] ; [ 82.52914798 261.47085202],1
b5,1,6e-06,20.357221,[39 63] ; [218 126],[58.77578475 43.22421525] ; [198.22421525 145.77578475],1
r2,1,0.001666,9.884936,[92  8] ; [337   6],[96.83972912  3.16027088] ; [332.16027088  10.83972912],0
a5,1,0.002434,9.189501,[72 30] ; [289  55],[82.56053812 19.43946188] ; [278.43946188  65.56053812],0
d1,1,0.00438,8.119132,[57 45] ; [244 100],[68.83856502 33.16143498] ; [232.16143498 111.83856502],0
s5,1,0.006792,7.327275,[49 47] ; [119 214],[37.59440559 58.40559441] ; [130.40559441 202.59440559],0
u3,1,0.007534,7.140973,[13 16] ; [60 23],[18.90178571 10.09821429] ; [54.09821429 28.90178571],0
p2,1,0.012648,6.217723,[85 16] ; [317  26],[91.44594595  9.55405405] ; [310.55405405  32.44594595],0
b1,1,0.021801,5.261607,[49 53] ; [122 222],[39.10762332 62.89237668] ; [131.89237668 212.10762332],0
v4,1,0.023674,5.118388,[96  6] ; [337   6],[99.2494382  2.7505618] ; [333.7505618   9.2494382],0
b2,1,0.027307,4.871293,[33 32] ; [ 79 143],[25.36585366 39.63414634] ; [ 86.63414634 135.36585366],0
b3,1,0.027307,4.871293,[33 32] ; [ 79 143],[25.36585366 39.63414634] ; [ 86.63414634 135.36585366],0
v2,1,0.031288,4.637117,[51 48] ; [211 121],[60.18097448 38.81902552] ; [201.81902552 130.18097448],0
r4,1,0.042494,4.115405,[96  6] ; [337   7],[99.02690583  2.97309417] ; [333.97309417  10.02690583],0
s8,1,0.058212,3.587611,[61 41] ; [167 173],[52.61538462 49.38461538] ; [175.38461538 164.61538462],0
r3,1,0.07267,3.221668,[97  5] ; [336   6],[99.47297297  2.52702703] ; [333.52702703   8.47297297],0
s7,1,0.119857,2.41919,[63 35] ; [179 144],[56.33254157 41.66745843] ; [185.66745843 137.33254157],0
d4,1,0.173518,1.852281,[82 19] ; [298  46],[86.24719101 14.75280899] ; [293.75280899  50.24719101],0
v1,1,0.186795,1.742714,[54 44] ; [210 126],[59.61290323 38.38709677] ; [204.38709677 131.61290323],0
p5,1,0.210036,1.571179,[21 80] ; [ 53 289],[16.87133183 84.12866817] ; [ 57.12866817 284.87133183],0
n3,1,0.22891,1.447619,[12  7] ; [44 13],[14.  5.] ; [42. 15.],0
a4,1,0.240591,1.377127,[46 55] ; [179 164],[51.18243243 49.81756757] ; [173.81756757 169.18243243],0
u4,1,0.244963,1.351802,[ 5 97] ; [  9 335],[ 3.20179372 98.79820628] ; [ 10.79820628 333.20179372],0
s3,1,0.250236,1.321983,[66 36] ; [196 140],[61.01369863 40.98630137] ; [200.98630137 135.01369863],0
d5,1,0.262436,1.25586,[84 17] ; [301  43],[87.38202247 13.61797753] ; [297.61797753  46.38202247],0
n6,1,0.325723,0.965827,[87 15] ; [304  38],[89.82432432 12.17567568] ; [301.17567568  40.82432432],0
p1,1,0.351185,0.869172,[ 9 92] ; [ 42 300],[11.6275395 89.3724605] ; [ 39.3724605 302.6275395],0
p10,1,0.351256,0.868916,[85 16] ; [300  42],[87.7765237 13.2234763] ; [297.2234763  44.7765237],0
p12,1,0.364299,0.823018,[ 8 93] ; [ 38 306],[10.44044944 90.55955056] ; [ 35.55955056 308.44044944],0
a3,1,0.422003,0.64473,[73 29] ; [259  84],[76.0988764 25.9011236] ; [255.9011236  87.0988764],0
s2,1,0.440005,0.596269,[54 48] ; [193 144],[57.38952164 44.61047836] ; [189.61047836 147.38952164],0
p9,1,0.477245,0.505152,[88 14] ; [303  38],[90.02708804 11.97291196] ; [300.97291196  40.02708804],0
v3,1,0.516473,0.420931,[48 52] ; [144 181],[45.17647059 54.82352941] ; [146.82352941 178.17647059],0
p11,1,0.5212,0.411517,[82 20] ; [286  58],[84.16143498 17.83856502] ; [283.83856502  60.16143498],0
n5,1,0.557724,0.34366,[85 17] ; [277  66],[82.9752809 19.0247191] ; [279.0247191  63.9752809],0
b4,1,0.585616,0.297244,[58 44] ; [206 138],[60.37668161 41.62331839] ; [203.62331839 140.37668161],0
p8,1,0.586066,0.29653,[69 32] ; [223 118],[66.7239819 34.2760181] ; [225.2760181 115.7239819],0
n1,1,0.59087,0.288988,[ 8 12] ; [19 38],[ 7.01298701 12.98701299] ; [19.98701299 37.01298701],0
s4,1,0.628509,0.234088,[20 82] ; [ 59 278],[18.35535308 83.64464692] ; [ 60.64464692 276.35535308],0
d2,1,0.637497,0.222031,[55 47] ; [194 149],[57.0741573 44.9258427] ; [191.9258427 151.0741573],0
s6,1,0.650924,0.204737,[77 23] ; [252  85],[75.28604119 24.71395881] ; [253.71395881  83.28604119],0
u2,1,0.655009,0.199643,[16 12] ; [52 32],[17. 11.] ; [51. 33.],0
s1,1,0.707234,0.141056,[ 4 96] ; [ 11 330],[ 3.40136054 96.59863946] ; [ 11.59863946 329.40136054],0
a8,1,0.748576,0.102732,[14 85] ; [ 38 257],[13.06598985 85.93401015] ; [ 38.93401015 256.06598985],0
a1,1,0.754519,0.097772,[ 4 98] ; [ 16 328],[ 4.57399103 97.42600897] ; [ 15.42600897 328.57399103],0
n4,1,0.779507,0.078378,[86 16] ; [286  58],[85.07623318 16.92376682] ; [286.92376682  57.07623318],0
n2,1,0.782597,0.076141,[14  6] ; [41 15],[14.47368421  5.52631579] ; [40.52631579 15.47368421],0
p7,1,0.870958,0.026387,[75 25] ; [253  88],[74.37641723 25.62358277] ; [253.62358277  87.37641723],0
p6,1,0.921525,0.009705,[49 51] ; [169 172],[49.43310658 50.56689342] ; [168.56689342 172.43310658],0
p3,1,0.938343,0.005983,[70 32] ; [234 109],[69.68089888 32.31910112] ; [234.31910112 108.68089888],0
