Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,54.452684,[ 95 172] ; [100  34],[129.83790524 137.16209476] ; [65.16209476 68.83790524],1
v1,1,4e-06,21.37643,[ 99 172] ; [82 53],[120.81527094 150.18472906] ; [60.18472906 74.81527094],1
s8,1,5.3e-05,16.340722,[ 70 208] ; [61 75],[ 87.96618357 190.03381643] ; [43.03381643 92.96618357],1
s2,1,0.003245,8.664353,[ 91 186] ; [65 71],[104.62953995 172.37046005] ; [51.37046005 84.62953995],0
d1,1,0.003908,8.326082,[125 154] ; [82 55],[138.82932692 140.17067308] ; [68.17067308 68.82932692],0
s6,1,0.008074,7.017066,[136 141] ; [85 50],[148.58495146 128.41504854] ; [72.41504854 62.58495146],0
s7,1,0.011045,6.458115,[ 85 184] ; [58 72],[ 96.4085213 172.5914787] ; [46.5914787 83.4085213],0
d2,1,0.01234,6.261341,[110 168] ; [71 64],[121.83535109 156.16464891] ; [59.16464891 75.83535109],0
n4,1,0.018562,5.542295,[186  92] ; [107  30],[196.2746988  81.7253012] ; [96.7253012 40.2746988],0
n5,1,0.020284,5.38727,[180  96] ; [104  32],[190.25242718  85.74757282] ; [93.74757282 42.25242718],0
d3,1,0.023657,5.11957,[163 115] ; [96 41],[173.49879518 104.50120482] ; [85.50120482 51.49879518],0
r4,1,0.026469,4.925123,[212  67] ; [117  20],[220.65144231  58.34855769] ; [108.34855769  28.65144231],0
r1,1,0.027317,4.870657,[196  81] ; [110  26],[205.23486683  71.76513317] ; [100.76513317  35.23486683],0
r2,1,0.03084,4.661832,[235  38] ; [126   9],[241.55147059  31.44852941] ; [119.44852941  15.55147059],0
v4,1,0.044403,4.041172,[236  39] ; [126  10],[242.21411192  32.78588808] ; [119.78588808  16.21411192],0
d4,1,0.04608,3.97866,[209  69] ; [114  22],[216.89371981  61.10628019] ; [106.10628019  29.89371981],0
d5,1,0.051674,3.786295,[197  82] ; [109  28],[205.22596154  73.77403846] ; [100.77403846  36.22596154],0
n6,1,0.052595,3.756727,[202  75] ; [111  25],[209.92978208  67.07021792] ; [103.07021792  32.92978208],0
p8,1,0.052873,3.747932,[ 92 183] ; [58 76],[100.85574572 174.14425428] ; [49.14425428 84.85574572],0
b1,1,0.061024,3.509346,[114 165] ; [43 94],[105.29567308 173.70432692] ; [51.70432692 85.29567308],0
p12,1,0.063868,3.433974,[  9 268] ; [ 10 127],[ 12.71256039 264.28743961] ; [  6.28743961 130.71256039],0
a3,1,0.065309,3.397143,[170 106] ; [97 40],[178.43099274  97.56900726] ; [88.56900726 48.43099274],0
a4,1,0.066285,3.372707,[101 175] ; [63 74],[109.59806295 166.40193705] ; [54.40193705 82.59806295],0
a5,1,0.079114,3.083001,[171 108] ; [96 41],[179.06971154  99.93028846] ; [87.93028846 49.06971154],0
a1,1,0.080071,3.063456,[ 11 268] ; [ 11 126],[ 14.75480769 264.24519231] ; [  7.24519231 129.75480769],0
p5,1,0.08326,3.000079,[ 11 266] ; [ 11 126],[ 14.71980676 262.28019324] ; [  7.28019324 129.71980676],0
p1,1,0.099502,2.7135,[ 10 267] ; [ 10 127],[ 13.38164251 263.61835749] ; [  6.61835749 130.38164251],0
a7,1,0.106006,2.612776,[181  98] ; [99 37],[188.24096386  90.75903614] ; [91.75903614 44.24096386],0
s5,1,0.118072,2.442716,[ 53 221] ; [35 99],[ 59.09803922 214.90196078] ; [ 28.90196078 105.09803922],0
b4,1,0.119275,2.42682,[159 120] ; [89 48],[166.32692308 112.67307692] ; [81.67307692 55.32692308],0
a2,1,0.129649,2.2967,[ 46 233] ; [ 31 106],[ 51.64182692 227.35817308] ; [ 25.35817308 111.64182692],0
p4,1,0.139139,2.187457,[ 93 184] ; [55 79],[ 99.74695864 177.25304136] ; [48.25304136 85.74695864],0
p6,1,0.177153,1.821346,[ 57 218] ; [36 99],[ 62.37804878 212.62195122] ; [ 30.62195122 104.37804878],0
u1,1,0.211237,1.562925,[ 29 250] ; [ 20 117],[ 32.86298077 246.13701923] ; [ 16.13701923 120.86298077],0
p9,1,0.236052,1.404016,[194  78] ; [103  31],[198.97536946  73.02463054] ; [98.02463054 35.97536946],0
s3,1,0.24231,1.367107,[123 153] ; [66 64],[128.48275862 147.51724138] ; [60.51724138 69.48275862],0
r3,1,0.278684,1.173498,[245  32] ; [125  11],[248.1598063  28.8401937] ; [121.8401937  14.1598063],0
u2,1,0.280402,1.165142,[53 53] ; [24 16],[55.90410959 50.09589041] ; [21.09589041 18.90410959],0
n1,1,0.326845,0.961358,[40 58] ; [11 24],[37.57894737 60.42105263] ; [13.42105263 21.57894737],0
