Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.012662,6.215706,[ 1 26] ; [1 1],[ 1.86206897 25.13793103] ; [0.13793103 1.86206897],0
r4,1,0.056332,3.642213,[ 2 25] ; [1 1],[ 2.79310345 24.20689655] ; [0.20689655 1.79310345],0
v2,1,0.134169,2.24359,[ 3 23] ; [1 1],[ 3.71428571 22.28571429] ; [0.28571429 1.71428571],0
p1,1,0.203708,1.615586,[ 4 23] ; [1 1],[ 4.65517241 22.34482759] ; [0.34482759 1.65517241],0
s4,1,0.203708,1.615586,[ 4 23] ; [1 1],[ 4.65517241 22.34482759] ; [0.34482759 1.65517241],0
p6,1,0.218065,1.517057,[ 4 22] ; [1 1],[ 4.64285714 21.35714286] ; [0.35714286 1.64285714],0
s7,1,0.218065,1.517057,[ 4 22] ; [1 1],[ 4.64285714 21.35714286] ; [0.35714286 1.64285714],0
d3,1,0.288916,1.124665,[ 5 22] ; [1 1],[ 5.5862069 21.4137931] ; [0.4137931 1.5862069],0
p3,1,0.375728,0.784632,[ 6 21] ; [1 1],[ 6.51724138 20.48275862] ; [0.48275862 1.51724138],0
s6,1,0.375728,0.784632,[ 6 21] ; [1 1],[ 6.51724138 20.48275862] ; [0.48275862 1.51724138],0
s2,1,0.462336,0.540234,[ 7 20] ; [1 1],[ 7.44827586 19.55172414] ; [0.55172414 1.44827586],0
a7,1,0.462336,0.540234,[ 7 20] ; [1 1],[ 7.44827586 19.55172414] ; [0.55172414 1.44827586],0
p8,1,0.486339,0.484615,[ 7 19] ; [1 1],[ 7.42857143 18.57142857] ; [0.57142857 1.42857143],0
v1,1,0.547947,0.361008,[ 8 19] ; [1 1],[ 8.37931034 18.62068966] ; [0.62068966 1.37931034],0
p4,1,0.547947,0.361008,[ 8 19] ; [1 1],[ 8.37931034 18.62068966] ; [0.62068966 1.37931034],0
s3,1,0.632305,0.228947,[ 9 18] ; [1 1],[ 9.31034483 17.68965517] ; [0.68965517 1.31034483],0
r1,1,0.632305,0.228947,[ 9 18] ; [1 1],[ 9.31034483 17.68965517] ; [0.68965517 1.31034483],0
p2,1,0.632305,0.228947,[ 9 18] ; [1 1],[ 9.31034483 17.68965517] ; [0.68965517 1.31034483],0
a5,1,0.632305,0.228947,[ 9 18] ; [1 1],[ 9.31034483 17.68965517] ; [0.68965517 1.31034483],0
p7,1,0.715441,0.132903,[10 17] ; [1 1],[10.24137931 16.75862069] ; [0.75862069 1.24137931],0
r2,1,0.715441,0.132903,[10 17] ; [1 1],[10.24137931 16.75862069] ; [0.75862069 1.24137931],0
p9,1,0.74748,0.103661,[10 16] ; [1 1],[10.21428571 15.78571429] ; [0.78571429 1.21428571],0
p10,1,0.74748,0.103661,[10 16] ; [1 1],[10.21428571 15.78571429] ; [0.78571429 1.21428571],0
a3,1,0.74748,0.103661,[10 16] ; [1 1],[10.21428571 15.78571429] ; [0.78571429 1.21428571],0
r3,1,0.74748,0.103661,[10 16] ; [1 1],[10.21428571 15.78571429] ; [0.78571429 1.21428571],0
n4,1,0.878842,0.023237,[15 12] ; [1 1],[14.89655172 12.10344828] ; [1.10344828 0.89655172],0
b1,1,0.959668,0.002557,[13 14] ; [1 1],[13.03448276 13.96551724] ; [0.96551724 1.03448276],0
