Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000894,11.034336,[42 10] ; [13 16],[35.30864198 16.69135802] ; [19.69135802  9.30864198],1
n4,1,0.005677,7.650046,[31 21] ; [ 8 21],[25.03703704 26.96296296] ; [13.96296296 15.03703704],0
v2,1,0.00904,6.814945,[33 17] ; [ 9 17],[27.63157895 22.36842105] ; [14.36842105 11.63157895],0
u3,1,0.033641,4.512857,[6 4] ; [15  1],[8.07692308 1.92307692] ; [12.92307692  3.07692308],0
u2,1,0.041227,4.166667,[6 4] ; [14  1],[8. 2.] ; [12.  3.],0
n3,1,0.062579,3.467692,[12  1] ; [6 4],[10.17391304  2.82608696] ; [7.82608696 2.17391304],0
a7,1,0.065589,3.390091,[42 10] ; [18 11],[38.51851852 13.48148148] ; [21.48148148  7.51851852],0
a4,1,0.071959,3.237766,[25 27] ; [ 8 21],[21.18518519 30.81481481] ; [11.81481481 17.18518519],0
b1,1,0.080347,3.05786,[15 37] ; [14 15],[18.61728395 33.38271605] ; [10.38271605 18.61728395],0
p7,1,0.11184,2.528026,[34 17] ; [13 14],[30.73076923 20.26923077] ; [16.26923077 10.73076923],0
a2,1,0.112231,2.522522,[13 39] ; [ 3 26],[10.27160494 41.72839506] ; [ 5.72839506 23.27160494],0
a5,1,0.126031,2.34072,[39 13] ; [17 12],[35.95061728 16.04938272] ; [20.04938272  8.95061728],0
a8,1,0.136867,2.212837,[10 39] ; [ 2 25],[ 7.73684211 41.26315789] ; [ 4.26315789 22.73684211],0
b3,1,0.149821,2.074074,[10 25] ; [10 11],[12.5 22.5] ; [ 7.5 13.5],0
b2,1,0.149821,2.074074,[10 25] ; [10 11],[12.5 22.5] ; [ 7.5 13.5],0
d2,1,0.214281,1.542266,[29 23] ; [12 17],[26.32098765 25.67901235] ; [14.67901235 14.32098765],0
r2,1,0.240044,1.380338,[47  3] ; [25  4],[45.56962025  4.43037975] ; [26.43037975  2.56962025],0
v1,1,0.279562,1.169218,[20 29] ; [15 13],[22.27272727 26.72727273] ; [12.72727273 15.27272727],0
p1,1,0.317187,1.000509,[ 5 47] ; [ 5 24],[ 6.41975309 45.58024691] ; [ 3.58024691 25.41975309],0
s4,1,0.322828,0.977454,[11 41] ; [ 9 20],[12.83950617 39.16049383] ; [ 7.16049383 21.83950617],0
p2,1,0.330904,0.945358,[44  8] ; [22  7],[42.37037037  9.62962963] ; [23.62962963  5.37037037],0
p6,1,0.34689,0.884802,[19 31] ; [ 8 21],[17.08860759 32.91139241] ; [ 9.91139241 19.08860759],0
u1,1,0.413579,0.668489,[11 41] ; [ 4 25],[ 9.62962963 42.37037037] ; [ 5.37037037 23.62962963],0
p5,1,0.423161,0.641521,[ 3 49] ; [ 3 25],[ 3.9 48.1] ; [ 2.1 25.9],0
r4,1,0.45094,0.568289,[49  3] ; [26  3],[48.14814815  3.85185185] ; [26.85185185  2.14814815],0
p9,1,0.454339,0.559804,[45  6] ; [23  5],[43.89873418  7.10126582] ; [24.10126582  3.89873418],0
d5,1,0.459165,0.54793,[43  9] ; [22  7],[41.72839506 10.27160494] ; [23.27160494  5.72839506],0
