Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0037,8.425545,[24 77] ; [9 6],[28.73275862 72.26724138] ; [ 4.26724138 10.73275862],0
s2,1,0.007967,7.040888,[31 76] ; [10  6],[35.66666667 71.33333333] ; [ 5.33333333 10.66666667],0
a5,1,0.018614,5.537457,[61 47] ; [ 4 12],[56.61290323 51.38709677] ; [8.38709677 7.61290323],0
s5,1,0.024127,5.08547,[12 92] ; [ 5 10],[14.85714286 89.14285714] ; [ 2.14285714 12.85714286],0
s8,1,0.030002,4.709201,[21 87] ; [7 9],[24.38709677 83.61290323] ; [ 3.61290323 12.38709677],0
p2,1,0.041107,4.17159,[58 49] ; [13  3],[61.76422764 45.23577236] ; [9.23577236 6.76422764],0
r1,1,0.062854,3.460427,[73 35] ; [7 9],[69.67741935 38.32258065] ; [10.32258065  5.67741935],0
v3,1,0.094945,2.788462,[25 75] ; [ 1 15],[22.4137931 77.5862069] ; [ 3.5862069 12.4137931],0
p4,1,0.113985,2.498087,[34 73] ; [ 2 14],[31.31707317 75.68292683] ; [ 4.68292683 11.31707317],0
s6,1,0.119912,2.418464,[42 66] ; [9 6],[44.7804878 63.2195122] ; [6.2195122 8.7804878],0
b1,1,0.141621,2.160253,[55 53] ; [ 5 11],[52.25806452 55.74193548] ; [7.74193548 8.25806452],0
a4,1,0.151478,2.057305,[40 68] ; [ 3 13],[37.4516129 70.5483871] ; [ 5.5483871 10.4516129],0
s3,1,0.16249,1.950895,[46 59] ; [10  6],[48.59504132 56.40495868] ; [7.40495868 8.59504132],0
p6,1,0.17612,1.830065,[14 91] ; [ 4 11],[15.75 89.25] ; [ 2.25 12.75],0
d3,1,0.184379,1.76197,[61 45] ; [12  4],[63.42622951 42.57377049] ; [9.57377049 6.42622951],0
u3,1,0.216095,1.530118,[21 20] ; [6 2],[22.59183673 18.40816327] ; [4.40816327 3.59183673],0
b4,1,0.24187,1.369662,[64 44] ; [7 9],[61.83870968 46.16129032] ; [9.16129032 6.83870968],0
n4,1,0.316094,1.00504,[55 53] ; [ 6 10],[53.12903226 54.87096774] ; [7.87096774 8.12903226],0
d2,1,0.335135,0.928952,[40 67] ; [ 4 12],[38.27642276 68.72357724] ; [ 5.72357724 10.27642276],0
a3,1,0.373326,0.792563,[66 41] ; [8 8],[64.37398374 42.62601626] ; [9.62601626 6.37398374],0
n2,1,0.398987,0.711377,[33 16] ; [3 3],[32.07272727 16.92727273] ; [3.92727273 2.07272727],0
d1,1,0.46864,0.52518,[44 64] ; [ 5 11],[42.67741935 65.32258065] ; [6.32258065 9.67741935],0
u2,1,0.479427,0.500165,[26 16] ; [6 2],[26.88 15.12] ; [5.12 2.88],0
d5,1,0.5398,0.375911,[75 32] ; [10  6],[73.94308943 33.05691057] ; [11.05691057  4.94308943],0
a6,1,0.573454,0.316937,[68 39] ; [9 7],[66.98373984 40.01626016] ; [10.01626016  5.98373984],0
p8,1,0.588284,0.293032,[30 76] ; [ 3 11],[29.15 76.85] ; [ 3.85 10.15],0
a8,1,0.614584,0.253554,[12 91] ; [ 1 13],[11.44444444 91.55555556] ; [ 1.55555556 12.44444444],0
n5,1,0.616209,0.251232,[54 53] ; [7 9],[53.06504065 53.93495935] ; [7.93495935 8.06504065],0
d4,1,0.61892,0.247389,[73 33] ; [12  4],[73.85245902 32.14754098] ; [11.14754098  4.85245902],0
b3,1,0.638019,0.221343,[15 43] ; [3 6],[15.58208955 42.41791045] ; [2.41791045 6.58208955],0
b2,1,0.638019,0.221343,[15 43] ; [3 6],[15.58208955 42.41791045] ; [2.41791045 6.58208955],0
v1,1,0.64806,0.208355,[39 66] ; [ 5 11],[38.18181818 66.81818182] ; [ 5.81818182 10.18181818],0
p10,1,0.662644,0.190328,[54 52] ; [8 6],[54.76666667 51.23333333] ; [7.23333333 6.76666667],0
p9,1,0.678424,0.171906,[62 44] ; [9 5],[62.71666667 43.28333333] ; [8.28333333 5.71666667],0
r4,1,0.7105,0.137778,[66 42] ; [9 7],[65.32258065 42.67741935] ; [9.67741935 6.32258065],0
n1,1,0.738024,0.111871,[19 28] ; [2 4],[18.62264151 28.37735849] ; [2.37735849 3.62264151],0
p11,1,0.742342,0.108079,[56 52] ; [9 7],[56.61290323 51.38709677] ; [8.38709677 7.61290323],0
v4,1,0.757976,0.09495,[81 25] ; [12  3],[81.47107438 24.52892562] ; [11.52892562  3.47107438],0
r3,1,0.763552,0.090493,[83 25] ; [11  4],[82.53658537 25.46341463] ; [11.46341463  3.53658537],0
p7,1,0.768703,0.086479,[41 62] ; [5 9],[40.4957265 62.5042735] ; [5.5042735 8.4957265],0
n3,1,0.81324,0.055813,[29 18] ; [4 2],[29.26415094 17.73584906] ; [3.73584906 2.26415094],0
b5,1,0.819417,0.052118,[64 44] ; [9 7],[63.58064516 44.41935484] ; [9.41935484 6.58064516],0
v2,1,0.885481,0.020743,[39 60] ; [ 6 10],[38.73913043 60.26086957] ; [6.26086957 9.73913043],0
r2,1,0.916701,0.010939,[86 20] ; [12  3],[85.85123967 20.14876033] ; [12.14876033  2.85123967],0
a7,1,0.97146,0.00128,[68 40] ; [10  6],[67.93548387 40.06451613] ; [10.06451613  5.93548387],0
u1,1,0.971941,0.001237,[  7 101] ; [ 1 15],[  6.96774194 101.03225806] ; [ 1.03225806 14.96774194],0
