Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,77.722995,[318  85] ; [69 99],[273.13660245 129.86339755] ; [113.86339755  54.13660245],1
a4,1,0.0,52.819421,[203 199] ; [ 30 139],[164.0385289 237.9614711] ; [ 68.9614711 100.0385289],1
d2,1,0.0,49.184514,[221 180] ; [ 39 130],[182.9122807 218.0877193] ; [77.0877193 91.9122807],1
d1,1,0.0,38.87276,[253 150] ; [ 58 111],[219.11363636 183.88636364] ; [91.88636364 77.11363636],1
d5,1,0.0,32.233529,[344  58] ; [109  60],[318.92469352  83.07530648] ; [134.07530648  34.92469352],1
a6,1,0.0,29.906225,[301 101] ; [87 82],[273.16287215 128.83712785] ; [114.83712785  54.16287215],1
r1,1,0.0,27.239046,[339  60] ; [110  58],[315.96296296  83.03703704] ; [133.03703704  34.96296296],1
d4,1,0.0,25.848503,[345  57] ; [113  55],[323.01052632  78.98947368] ; [134.98947368  33.01052632],1
u1,1,1e-06,24.76692,[ 80 323] ; [  6 163],[ 60.59090909 342.40909091] ; [ 25.40909091 143.59090909],1
n4,1,3e-05,17.44071,[304  97] ; [98 70],[283.30755712 117.69244288] ; [118.69244288  49.30755712],1
r4,1,5.7e-05,16.209366,[376  27] ; [139  30],[362.84090909  40.15909091] ; [152.15909091  16.84090909],1
v2,1,0.000173,14.098719,[230 155] ; [66 91],[210.25830258 174.74169742] ; [85.74169742 71.25830258],1
s7,1,0.000285,13.163922,[176 207] ; [ 47 114],[157.00183824 225.99816176] ; [65.99816176 95.00183824],1
b2,1,0.000324,12.924613,[ 92 155] ; [14 72],[ 78.62462462 168.37537538] ; [27.37537538 58.62462462],1
b3,1,0.000324,12.924613,[ 92 155] ; [14 72],[ 78.62462462 168.37537538] ; [27.37537538 58.62462462],1
n5,1,0.002534,9.116141,[291 109] ; [100  67],[275.8377425 124.1622575] ; [115.1622575  51.8377425],0
p8,1,0.003187,8.697105,[180 219] ; [ 53 114],[164.25265018 234.74734982] ; [68.74734982 98.25265018],0
p4,1,0.00423,8.182169,[204 197] ; [ 63 104],[188.49823944 212.50176056] ; [78.50176056 88.49823944],0
p3,1,0.006683,7.356167,[170 232] ; [ 51 118],[155.59019264 246.40980736] ; [ 65.40980736 103.59019264],0
v1,1,0.010867,6.486872,[196 192] ; [ 63 100],[182.38112523 205.61887477] ; [76.61887477 86.38112523],0
s8,1,0.013597,6.089711,[160 241] ; [ 49 120],[147.03333333 253.96666667] ; [ 61.96666667 107.03333333],0
d3,1,0.017545,5.641002,[277 125] ; [99 70],[264.7145359 137.2854641] ; [111.2854641  57.7145359],0
s6,1,0.019268,5.477012,[257 140] ; [90 76],[244.68738899 152.31261101] ; [102.31261101  63.68738899],0
r2,1,0.019625,5.444984,[377  21] ; [150  18],[370.57597173  27.42402827] ; [156.42402827  11.57597173],0
p10,1,0.020576,5.362319,[319  81] ; [116  48],[308.5106383  91.4893617] ; [126.4893617  37.5106383],0
p11,1,0.024744,5.041706,[321  82] ; [120  49],[310.70454545  92.29545455] ; [130.29545455  38.70454545],0
s5,1,0.033158,4.537599,[117 275] ; [ 34 128],[106.84476534 285.15523466] ; [ 44.15523466 117.84476534],0
v3,1,0.042589,4.111655,[153 231] ; [ 49 111],[142.58823529 241.41176471] ; [ 59.41176471 100.58823529],0
v4,1,0.046417,3.966408,[383  17] ; [152  14],[378.09187279  21.90812721] ; [156.90812721   9.09187279],0
p9,1,0.056408,3.639978,[327  72] ; [122  41],[318.77402135  80.22597865] ; [130.22597865  32.77402135],0
p7,1,0.068111,3.32797,[212 186] ; [73 90],[202.19251337 195.80748663] ; [82.80748663 80.19251337],0
p12,1,0.071776,3.241937,[ 24 377] ; [  4 163],[ 19.76760563 381.23239437] ; [  8.23239437 158.76760563],0
a1,1,0.102833,2.661046,[ 15 388] ; [  2 167],[ 11.97727273 391.02272727] ; [  5.02272727 163.97727273],0
