Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2e-06,22.547324,[ 7 28] ; [38 15],[17.89772727 17.10227273] ; [27.10227273 25.89772727],1
p8,1,5e-05,16.430026,[ 9 26] ; [37 16],[18.29545455 16.70454545] ; [27.70454545 25.29545455],1
p6,1,7.2e-05,15.7592,[ 5 30] ; [30 23],[13.92045455 21.07954545] ; [21.07954545 31.92045455],1
p7,1,8.9e-05,15.363366,[11 23] ; [39 13],[19.76744186 14.23255814] ; [30.23255814 21.76744186],1
d5,1,0.002742,8.971396,[19 15] ; [45  8],[25.01149425  8.98850575] ; [38.98850575 14.01149425],0
r1,1,0.005299,7.774492,[17 18] ; [41 12],[23.06818182 11.93181818] ; [34.93181818 18.06818182],0
d1,1,0.007839,7.069788,[11 24] ; [32 21],[17.10227273 17.89772727] ; [25.89772727 27.10227273],0
s6,1,0.013322,6.1258,[23 12] ; [44  6],[27.58823529  7.41176471] ; [39.41176471 10.58823529],0
s8,1,0.015672,5.83931,[10 25] ; [29 24],[15.51136364 19.48863636] ; [23.48863636 29.51136364],0
n6,1,0.018671,5.532094,[23 12] ; [46  7],[27.44318182  7.55681818] ; [41.55681818 11.44318182],0
n5,1,0.044158,4.050491,[20 15] ; [41 12],[24.26136364 10.73863636] ; [36.73863636 16.26136364],0
r3,1,0.044277,4.045978,[27  8] ; [48  4],[30.17241379  4.82758621] ; [44.82758621  7.17241379],0
a2,1,0.051639,3.787412,[ 2 33] ; [11 42],[ 5.17045455 29.82954545] ; [ 7.82954545 45.17045455],0
a7,1,0.052797,3.750324,[16 18] ; [36 17],[20.32183908 13.67816092] ; [31.67816092 21.32183908],0
p10,1,0.056181,3.646674,[22 13] ; [43 10],[25.85227273  9.14772727] ; [39.14772727 13.85227273],0
d3,1,0.056349,3.641697,[19 15] ; [40 13],[23.05747126 10.94252874] ; [35.94252874 17.05747126],0
a5,1,0.061582,3.494263,[19 16] ; [39 14],[23.06818182 11.93181818] ; [34.93181818 18.06818182],0
v4,1,0.067374,3.345869,[29  5] ; [51  2],[31.26436782  2.73563218] ; [48.73563218  4.26436782],0
s3,1,0.070804,3.264279,[20 15] ; [40 13],[23.86363636 11.13636364] ; [36.13636364 16.86363636],0
p2,1,0.078848,3.088497,[26  9] ; [47  6],[29.03409091  5.96590909] ; [43.96590909  9.03409091],0
d4,1,0.080672,3.051304,[21 14] ; [41 12],[24.65909091 10.34090909] ; [37.34090909 15.65909091],0
n4,1,0.081272,3.039281,[18 17] ; [37 16],[21.875 13.125] ; [33.125 19.875],0
s5,1,0.091331,2.850748,[12 22] ; [26 22],[15.75609756 18.24390244] ; [22.24390244 25.75609756],0
a4,1,0.091485,2.848055,[ 9 26] ; [23 30],[12.72727273 22.27272727] ; [19.27272727 33.72727273],0
s7,1,0.09731,2.749091,[17 17] ; [34 16],[20.64285714 13.35714286] ; [30.35714286 19.64285714],0
a6,1,0.102884,2.660253,[17 18] ; [35 18],[20.68181818 14.31818182] ; [31.31818182 21.68181818],0
v1,1,0.115077,2.483073,[10 25] ; [24 29],[13.52272727 21.47727273] ; [20.47727273 32.52272727],0
u1,1,0.117786,2.446515,[ 2 33] ; [ 9 44],[ 4.375 30.625] ; [ 6.625 46.375],0
s2,1,0.122105,2.39011,[20 15] ; [38 14],[23.33333333 11.66666667] ; [34.66666667 17.33333333],0
d2,1,0.141578,2.160721,[11 24] ; [25 28],[14.31818182 20.68181818] ; [21.68181818 31.31818182],0
p1,1,0.17479,1.841377,[ 2 33] ; [ 8 45],[ 3.97727273 31.02272727] ; [ 6.02272727 46.97727273],0
