Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.001529,10.043077,[12 22] ; [14  3],[17.33333333 16.66666667] ; [8.66666667 8.33333333],0
b4,1,0.009686,6.69177,[23 11] ; [ 5 12],[18.66666667 15.33333333] ; [9.33333333 7.66666667],0
n4,1,0.015768,5.828571,[24 10] ; [ 6 11],[20. 14.] ; [10.  7.],0
n5,1,0.015768,5.828571,[24 10] ; [ 6 11],[20. 14.] ; [10.  7.],0
p2,1,0.050493,3.825,[27  7] ; [9 8],[24. 10.] ; [12.  5.],0
p7,1,0.074203,3.1875,[15 19] ; [12  5],[18. 16.] ; [9. 8.],0
p11,1,0.091957,2.839773,[29  5] ; [11  6],[26.66666667  7.33333333] ; [13.33333333  3.66666667],0
p6,1,0.125202,2.351006,[ 6 28] ; [ 6 10],[ 8.16 25.84] ; [ 3.84 12.16],0
p9,1,0.136387,2.218261,[26  7] ; [10  7],[23.76  9.24] ; [12.24  4.76],0
p4,1,0.163645,1.940217,[21 13] ; [ 7 10],[18.66666667 15.33333333] ; [9.33333333 7.66666667],0
b3,1,0.165167,1.926268,[ 7 14] ; [1 9],[ 5.41935484 15.58064516] ; [2.58064516 7.41935484],0
b2,1,0.165167,1.926268,[ 7 14] ; [1 9],[ 5.41935484 15.58064516] ; [2.58064516 7.41935484],0
a1,1,0.206791,1.59375,[ 1 33] ; [ 2 15],[ 2. 32.] ; [ 1. 16.],0
s1,1,0.206791,1.59375,[ 1 33] ; [ 2 15],[ 2. 32.] ; [ 1. 16.],0
p8,1,0.233953,1.416667,[14 20] ; [10  7],[16. 18.] ; [8. 9.],0
s4,1,0.276128,1.186047,[ 4 30] ; [ 4 13],[ 5.33333333 28.66666667] ; [ 2.66666667 14.33333333],0
s8,1,0.293622,1.102941,[13 21] ; [ 4 13],[11.33333333 22.66666667] ; [ 5.66666667 11.33333333],0
d5,1,0.305848,1.04852,[23 11] ; [9 8],[21.33333333 12.66666667] ; [10.66666667  6.33333333],0
u2,1,0.346912,0.884722,[10  8] ; [6 2],[11.07692308  6.92307692] ; [4.92307692 3.07692308],0
v3,1,0.363458,0.825911,[10 24] ; [ 3 14],[ 8.66666667 25.33333333] ; [ 4.33333333 12.66666667],0
v1,1,0.400814,0.705882,[10 24] ; [ 7 10],[11.33333333 22.66666667] ; [ 5.66666667 11.33333333],0
s5,1,0.435866,0.607143,[ 7 27] ; [ 2 15],[ 6. 28.] ; [ 3. 14.],0
s3,1,0.441971,0.591159,[10 23] ; [ 7 10],[11.22 21.78] ; [ 5.78 11.22],0
a4,1,0.483756,0.490385,[ 7 27] ; [ 5 12],[ 8. 26.] ; [ 4. 13.],0
a8,1,0.499778,0.455408,[ 6 25] ; [ 2 15],[ 5.16666667 25.83333333] ; [ 2.83333333 14.16666667],0
d1,1,0.514453,0.425,[11 23] ; [ 4 13],[10. 24.] ; [ 5. 12.],0
r1,1,0.534217,0.386364,[11 23] ; [ 7 10],[12. 22.] ; [ 6. 11.],0
