Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,29.64718,[59 19] ; [ 4 22],[47.25 30.75] ; [15.75 10.25],1
d5,1,4.4e-05,16.681704,[65 13] ; [11 15],[57. 21.] ; [19.  7.],1
a7,1,0.002237,9.343966,[56 22] ; [10 16],[49.5 28.5] ; [16.5  9.5],0
s2,1,0.043855,4.062128,[35 42] ; [ 6 20],[30.65048544 46.34951456] ; [10.34951456 15.65048544],0
p1,1,0.04417,4.050042,[ 3 74] ; [ 4 22],[ 5.23300971 71.76699029] ; [ 1.76699029 24.23300971],0
p8,1,0.06693,3.356761,[31 45] ; [16 10],[35.01960784 40.98039216] ; [11.98039216 14.01960784],0
s3,1,0.06693,3.356761,[45 31] ; [10 16],[40.98039216 35.01960784] ; [14.01960784 11.98039216],0
a3,1,0.076093,3.14643,[54 24] ; [13 13],[50.25 27.75] ; [16.75  9.25],0
a5,1,0.076093,3.14643,[54 24] ; [13 13],[50.25 27.75] ; [16.75  9.25],0
r2,1,0.085755,2.952306,[69  8] ; [19  6],[66.43137255 10.56862745] ; [21.56862745  3.43137255],0
u3,1,0.107688,2.587827,[19  5] ; [7 6],[16.86486486  7.13513514] ; [9.13513514 3.86486486],0
n3,1,0.119776,2.420247,[12  8] ; [8 1],[13.79310345  6.20689655] ; [6.20689655 2.79310345],0
r4,1,0.120826,2.406579,[65 13] ; [18  8],[62.25 15.75] ; [20.75  5.25],0
a2,1,0.1234,2.373626,[12 66] ; [ 1 25],[ 9.75 68.25] ; [ 3.25 22.75],0
d2,1,0.153289,2.039216,[30 48] ; [ 6 20],[27. 51.] ; [ 9. 17.],0
a6,1,0.193327,1.69208,[53 25] ; [14 12],[50.25 27.75] ; [16.75  9.25],0
b4,1,0.254332,1.29935,[46 32] ; [12 14],[43.5 34.5] ; [14.5 11.5],0
r3,1,0.258572,1.276387,[74  4] ; [23  3],[72.75  5.25] ; [24.25  1.75],0
a4,1,0.273629,1.198464,[27 51] ; [ 6 20],[24.75 53.25] ; [ 8.25 17.75],0
p9,1,0.282389,1.155556,[62 16] ; [18  8],[60. 18.] ; [20.  6.],0
s6,1,0.305933,1.048152,[45 33] ; [12 14],[42.75 35.25] ; [14.25 11.75],0
r1,1,0.324631,0.970197,[58 19] ; [17  9],[56.06796117 20.93203883] ; [18.93203883  7.06796117],0
n5,1,0.330716,0.94609,[33 44] ; [14 12],[35.13592233 41.86407767] ; [11.86407767 14.13592233],0
s7,1,0.350978,0.869918,[28 45] ; [ 7 18],[26.07142857 46.92857143] ; [ 8.92857143 16.07142857],0
p2,1,0.35472,0.8565,[62 14] ; [19  7],[60.35294118 15.64705882] ; [20.64705882  5.35294118],0
p7,1,0.391299,0.734901,[43 29] ; [18  8],[44.81632653 27.18367347] ; [16.18367347  9.81632653],0
b1,1,0.427929,0.628438,[38 40] ; [15 11],[39.75 38.25] ; [13.25 12.75],0
b5,1,0.549135,0.358868,[53 25] ; [16 10],[51.75 26.25] ; [17.25  8.75],0
a8,1,0.55814,0.342935,[ 6 65] ; [ 3 21],[ 6.72631579 64.27368421] ; [ 2.27368421 21.72631579],0
b3,1,0.567957,0.326113,[14 34] ; [ 3 11],[13.16129032 34.83870968] ; [ 3.83870968 10.16129032],0
b2,1,0.567957,0.326113,[14 34] ; [ 3 11],[13.16129032 34.83870968] ; [ 3.83870968 10.16129032],0
n4,1,0.56951,0.323504,[44 34] ; [13 13],[42.75 35.25] ; [14.25 11.75],0
s5,1,0.601017,0.273465,[16 61] ; [ 4 21],[15.09803922 61.90196078] ; [ 4.90196078 20.09803922],0
p5,1,0.618264,0.248314,[ 5 72] ; [ 1 25],[ 4.48543689 72.51456311] ; [ 1.51456311 24.48543689],0
s8,1,0.641592,0.216667,[31 47] ; [ 9 17],[30. 48.] ; [10. 16.],0
p4,1,0.649542,0.206478,[39 37] ; [12 14],[38. 38.] ; [13. 13.],0
p10,1,0.731791,0.117473,[56 21] ; [18  8],[55.32038835 21.67961165] ; [18.67961165  7.32038835],0
s1,1,0.760153,0.093196,[ 2 73] ; [ 1 25],[ 2.22772277 72.77227723] ; [ 0.77227723 25.22772277],0
v3,1,0.766197,0.088419,[19 54] ; [ 6 20],[18.43434343 54.56565657] ; [ 6.56565657 19.43434343],0
v2,1,0.767726,0.087232,[38 36] ; [11 12],[37.3814433 36.6185567] ; [11.6185567 11.3814433],0
p3,1,0.780706,0.077506,[29 48] ; [ 9 17],[28.40776699 48.59223301] ; [ 9.59223301 16.40776699],0
p6,1,0.819394,0.052132,[18 55] ; [ 7 19],[18.43434343 54.56565657] ; [ 6.56565657 19.43434343],0
s4,1,0.87198,0.025968,[11 67] ; [ 4 22],[11.25 66.75] ; [ 3.75 22.25],0
u2,1,0.896441,0.016941,[18  6] ; [10  3],[18.16216216  5.83783784] ; [9.83783784 3.16216216],0
n1,1,0.900552,0.015616,[10  9] ; [4 4],[9.85185185 9.14814815] ; [4.14814815 3.85185185],0
v1,1,0.907907,0.013382,[35 40] ; [12 13],[35.25 39.75] ; [11.75 13.25],0
v4,1,0.918641,0.010434,[72  6] ; [22  2],[71.88235294  6.11764706] ; [22.11764706  1.88235294],0
n2,1,0.927575,0.008262,[18  2] ; [8 1],[17.93103448  2.06896552] ; [8.06896552 0.93103448],0
