Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.6e-05,17.698444,[27 13] ; [ 7 29],[17.89473684 22.10526316] ; [16.10526316 19.89473684],1
b5,1,0.002072,9.484748,[31  9] ; [16 21],[24.41558442 15.58441558] ; [22.58441558 14.41558442],0
p4,1,0.021995,5.246165,[21 18] ; [10 26],[16.12 22.88] ; [14.88 21.12],0
a5,1,0.031139,4.64527,[30 10] ; [19 18],[25.45454545 14.54545455] ; [23.54545455 13.45454545],0
r2,1,0.033497,4.520196,[37  2] ; [29  8],[33.86842105  5.13157895] ; [32.13157895  4.86842105],0
d2,1,0.038894,4.265478,[20 20] ; [10 27],[15.58441558 24.41558442] ; [14.41558442 22.58441558],0
a8,1,0.101986,2.674207,[ 5 31] ; [ 1 33],[ 3.08571429 32.91428571] ; [ 2.91428571 31.08571429],0
p3,1,0.130425,2.287437,[19 20] ; [11 24],[15.81081081 23.18918919] ; [14.18918919 20.81081081],0
a3,1,0.136249,2.21982,[32  8] ; [24 13],[29.09090909 10.90909091] ; [26.90909091 10.09090909],0
r1,1,0.213859,1.545111,[32  8] ; [25 12],[29.61038961 10.38961039] ; [27.38961039  9.61038961],0
b1,1,0.224677,1.474244,[26 14] ; [19 18],[23.37662338 16.62337662] ; [21.62337662 15.37662338],0
p11,1,0.226736,1.461221,[27 13] ; [20 17],[24.41558442 15.58441558] ; [22.58441558 14.41558442],0
s2,1,0.258647,1.275983,[15 24] ; [19 18],[17.44736842 21.55263158] ; [16.55263158 20.44736842],0
n1,1,0.274006,1.196581,[7 5] ; [ 6 10],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
s1,1,0.278299,1.175376,[ 1 37] ; [ 3 33],[ 2.05405405 35.94594595] ; [ 1.94594595 34.05405405],0
v3,1,0.286327,1.136811,[15 22] ; [10 25],[12.84722222 24.15277778] ; [12.15277778 22.84722222],0
u2,1,0.291841,1.111111,[5 3] ; [10  2],[6. 2.] ; [9. 3.],0
d1,1,0.293323,1.104305,[21 19] ; [15 22],[18.7012987 21.2987013] ; [17.2987013 19.7012987],0
a2,1,0.307025,1.043431,[ 9 31] ; [ 5 32],[ 7.27272727 32.72727273] ; [ 6.72727273 30.27272727],0
d5,1,0.322452,0.978977,[32  8] ; [26 11],[30.12987013  9.87012987] ; [27.87012987  9.12987013],0
p10,1,0.324675,0.970021,[22 17] ; [23 11],[24.04109589 14.95890411] ; [20.95890411 13.04109589],0
r4,1,0.328198,0.955997,[31  9] ; [25 12],[29.09090909 10.90909091] ; [26.90909091 10.09090909],0
p12,1,0.344743,0.892713,[ 3 35] ; [ 1 34],[ 2.08219178 35.91780822] ; [ 1.91780822 33.08219178],0
n2,1,0.377822,0.777778,[10  2] ; [11  5],[9. 3.] ; [12.  4.],0
r3,1,0.407115,0.687211,[35  5] ; [29  7],[33.68421053  6.31578947] ; [30.31578947  5.68421053],0
u1,1,0.452363,0.564725,[ 4 36] ; [ 2 35],[ 3.11688312 36.88311688] ; [ 2.88311688 34.11688312],0
d3,1,0.458645,0.549199,[26 14] ; [21 16],[24.41558442 15.58441558] ; [22.58441558 14.41558442],0
p2,1,0.464345,0.535402,[30  9] ; [25 11],[28.6 10.4] ; [26.4  9.6],0
p9,1,0.532219,0.390153,[28 12] ; [26  8],[29.18918919 10.81081081] ; [24.81081081  9.18918919],0
a6,1,0.538926,0.377534,[21 19] ; [22 15],[22.33766234 17.66233766] ; [20.66233766 16.33766234],0
p8,1,0.550594,0.356253,[16 23] ; [12 23],[14.75675676 24.24324324] ; [13.24324324 21.75675676],0
a1,1,0.580267,0.305803,[ 2 38] ; [ 3 34],[ 2.5974026 37.4025974] ; [ 2.4025974 34.5974026],0
