Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.610377,[37 24] ; [107  10],[49.34831461 11.65168539] ; [94.65168539 22.34831461],1
r2,1,1.2e-05,19.14757,[42 17] ; [110   6],[51.24571429  7.75428571] ; [100.75428571  15.24571429],1
v4,1,0.001809,9.733771,[47 13] ; [110   7],[53.22033898  6.77966102] ; [103.77966102  13.22033898],0
d5,1,0.001885,9.658185,[30 31] ; [85 32],[39.41011236 21.58988764] ; [75.58988764 41.41011236],0
u3,1,0.001903,9.640369,[ 9 27] ; [33 24],[16.25806452 19.74193548] ; [25.74193548 31.25806452],0
r3,1,0.002598,9.070502,[49 12] ; [109   6],[54.76136364  6.23863636] ; [103.23863636  11.76136364],0
s3,1,0.006419,7.42884,[25 34] ; [73 41],[33.42196532 25.57803468] ; [64.57803468 49.42196532],0
s5,1,0.007526,7.142952,[ 7 51] ; [34 77],[14.07100592 43.92899408] ; [26.92899408 84.07100592],0
s2,1,0.010416,6.562407,[19 42] ; [59 56],[27.03409091 33.96590909] ; [50.96590909 64.03409091],0
s6,1,0.021292,5.302744,[30 30] ; [78 37],[37.02857143 22.97142857] ; [70.97142857 44.02857143],0
d4,1,0.025306,5.002826,[34 27] ; [84 32],[40.66666667 20.33333333] ; [77.33333333 38.66666667],0
s8,1,0.028366,4.805701,[14 47] ; [46 71],[20.56179775 40.43820225] ; [39.43820225 77.56179775],0
p10,1,0.029678,4.727864,[36 23] ; [89 27],[42.14285714 16.85714286] ; [82.85714286 33.14285714],0
d1,1,0.036941,4.353119,[14 47] ; [45 72],[20.21910112 40.78089888] ; [38.78089888 78.21910112],0
p7,1,0.037275,4.337791,[31 30] ; [75 37],[37.37572254 23.62427746] ; [68.62427746 43.37572254],0
a7,1,0.039035,4.259341,[30 31] ; [75 40],[36.39204545 24.60795455] ; [68.60795455 46.39204545],0
s7,1,0.056445,3.638881,[17 40] ; [50 61],[22.73214286 34.26785714] ; [44.26785714 66.73214286],0
p4,1,0.061947,3.484475,[26 35] ; [66 49],[31.88636364 29.11363636] ; [60.11363636 54.88636364],0
p11,1,0.079599,3.073063,[40 21] ; [91 26],[44.89325843 16.10674157] ; [86.10674157 30.89325843],0
p6,1,0.096272,2.766237,[15 43] ; [44 70],[19.89534884 38.10465116] ; [39.10465116 74.89534884],0
a3,1,0.157426,1.998775,[25 36] ; [60 55],[29.46022727 31.53977273] ; [55.53977273 59.46022727],0
p2,1,0.160374,1.970701,[42 19] ; [91 25],[45.83615819 15.16384181] ; [87.16384181 28.83615819],0
p8,1,0.16043,1.970164,[24 37] ; [58 57],[28.42045455 32.57954545] ; [53.57954545 61.42045455],0
d3,1,0.178577,1.809429,[29 32] ; [68 49],[33.24157303 27.75842697] ; [63.75842697 53.24157303],0
a4,1,0.180703,1.791837,[ 9 52] ; [27 89],[12.40677966 48.59322034] ; [23.59322034 92.40677966],0
a8,1,0.186516,1.744929,[ 6 50] ; [20 87],[ 8.93251534 47.06748466] ; [17.06748466 89.93251534],0
u2,1,0.215935,1.53118,[15 20] ; [32 25],[17.88043478 17.11956522] ; [29.11956522 27.88043478],0
a6,1,0.224826,1.4733,[27 34] ; [63 54],[30.84269663 30.15730337] ; [59.15730337 57.84269663],0
p12,1,0.240822,1.375777,[ 6 55] ; [  6 110],[ 4.13559322 56.86440678] ; [  7.86440678 108.13559322],0
p3,1,0.259196,1.273044,[23 38] ; [54 62],[26.53672316 34.46327684] ; [50.46327684 65.53672316],0
b5,1,0.281696,1.158888,[39 22] ; [65 52],[35.64044944 25.35955056] ; [68.35955056 48.64044944],0
v1,1,0.317778,0.998072,[27 34] ; [60 55],[30.15340909 30.84659091] ; [56.84659091 58.15340909],0
b4,1,0.332716,0.938298,[39 22] ; [66 51],[35.98314607 25.01685393] ; [69.01685393 47.98314607],0
p9,1,0.34877,0.877926,[42 18] ; [88 27],[44.57142857 15.42857143] ; [85.42857143 29.57142857],0
n5,1,0.391434,0.734484,[49 12] ; [99 17],[51.00564972  9.99435028] ; [96.99435028 19.00564972],0
a1,1,0.408867,0.682092,[ 3 58] ; [  3 114],[ 2.05617978 58.94382022] ; [  3.94382022 113.05617978],0
n3,1,0.415529,0.662926,[12  4] ; [17 10],[10.79069767  5.20930233] ; [18.20930233  8.79069767],0
n2,1,0.511939,0.430102,[11  5] ; [21  6],[11.90697674  4.09302326] ; [20.09302326  6.90697674],0
s4,1,0.574793,0.314728,[11 50] ; [17 98],[ 9.70454545 51.29545455] ; [18.29545455 96.70454545],0
n1,1,0.607437,0.263924,[7 9] ; [14 13],[7.81395349 8.18604651] ; [13.18604651 13.81395349],0
b2,1,0.608376,0.262547,[13 28] ; [19 51],[11.81981982 29.18018018] ; [20.18018018 49.81981982],0
b3,1,0.608376,0.262547,[13 28] ; [19 51],[11.81981982 29.18018018] ; [20.18018018 49.81981982],0
p5,1,0.632957,0.228072,[ 7 54] ; [16 98],[ 8.01714286 52.98285714] ; [14.98285714 99.01714286],0
p1,1,0.655634,0.19887,[ 6 55] ; [ 14 102],[ 6.89265537 54.10734463] ; [ 13.10734463 102.89265537],0
n6,1,0.667401,0.184657,[50 11] ; [98 18],[51.00564972  9.99435028] ; [96.99435028 19.00564972],0
b1,1,0.66762,0.184399,[23 38] ; [48 69],[24.33146067 36.66853933] ; [46.66853933 70.33146067],0
s1,1,0.739924,0.110194,[ 3 58] ; [  7 107],[ 3.48571429 57.51428571] ; [  6.51428571 107.48571429],0
v3,1,0.88557,0.020711,[22 39] ; [42 71],[22.43678161 38.56321839] ; [41.56321839 71.43678161],0
v2,1,0.944087,0.004919,[28 30] ; [52 57],[27.78443114 30.21556886] ; [52.21556886 56.78443114],0
d2,1,0.946841,0.004445,[15 46] ; [28 88],[14.81920904 46.18079096] ; [28.18079096 87.81920904],0
