Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.002648,9.035294,[23  9] ; [11 21],[17. 15.] ; [17. 15.],0
a6,1,0.023824,5.107389,[19 13] ; [10 22],[14.5 17.5] ; [14.5 17.5],0
s2,1,0.024941,5.027947,[ 4 27] ; [12 20],[ 7.87301587 23.12698413] ; [ 8.12698413 23.87301587],0
p11,1,0.04382,4.063492,[22 10] ; [14 18],[18. 14.] ; [18. 14.],0
a5,1,0.0455,4.0,[20 12] ; [12 20],[16. 16.] ; [16. 16.],0
a4,1,0.055472,3.667836,[13 19] ; [ 6 26],[ 9.5 22.5] ; [ 9.5 22.5],0
v2,1,0.065719,3.386845,[15 16] ; [ 8 23],[11.5 19.5] ; [11.5 19.5],0
d3,1,0.079971,3.065494,[19 13] ; [12 20],[15.5 16.5] ; [15.5 16.5],0
d1,1,0.095293,2.782609,[12 20] ; [ 6 26],[ 9. 23.] ; [ 9. 23.],0
p6,1,0.16722,1.907692,[ 7 24] ; [ 3 28],[ 5. 26.] ; [ 5. 26.],0
n3,1,0.180101,1.796791,[9 3] ; [8 8],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
b1,1,0.192718,1.696713,[18 14] ; [23  9],[20.5 11.5] ; [20.5 11.5],0
d4,1,0.200185,1.641026,[22 10] ; [17 15],[19.5 12.5] ; [19.5 12.5],0
n4,1,0.209287,1.576355,[15 17] ; [20 12],[17.5 14.5] ; [17.5 14.5],0
u3,1,0.217044,1.52381,[5 9] ; [ 3 15],[ 3.5 10.5] ; [ 4.5 13.5],0
a3,1,0.255881,1.290904,[18 13] ; [14 18],[15.74603175 15.25396825] ; [16.25396825 15.74603175],0
r1,1,0.292468,1.108225,[13 19] ; [ 9 23],[11. 21.] ; [11. 21.],0
p12,1,0.3017,1.066667,[ 3 29] ; [ 1 31],[ 2. 30.] ; [ 2. 30.],0
a8,1,0.302451,1.063356,[ 6 24] ; [ 3 26],[ 4.57627119 25.42372881] ; [ 4.42372881 24.57627119],0
p5,1,0.316989,1.001328,[ 1 30] ; [ 3 29],[ 1.96825397 29.03174603] ; [ 2.03174603 29.96825397],0
r3,1,0.318845,0.99368,[23  8] ; [20 12],[21.15873016  9.84126984] ; [21.84126984 10.15873016],0
n6,1,0.35855,0.842967,[17 15] ; [20 11],[18.79365079 13.20634921] ; [18.20634921 12.79365079],0
s1,1,0.391064,0.735632,[ 2 30] ; [ 4 28],[ 3. 29.] ; [ 3. 29.],0
s3,1,0.40856,0.682987,[ 8 23] ; [11 20],[ 9.5 21.5] ; [ 9.5 21.5],0
s7,1,0.472575,0.515948,[ 5 24] ; [ 7 21],[ 6.10526316 22.89473684] ; [ 5.89473684 22.10526316],0
u2,1,0.476033,0.507937,[8 6] ; [ 8 10],[7. 7.] ; [9. 9.],0
p8,1,0.534645,0.385555,[12 19] ; [10 22],[10.82539683 20.17460317] ; [11.17460317 20.82539683],0
s8,1,0.54535,0.365714,[ 6 26] ; [ 8 24],[ 7. 25.] ; [ 7. 25.],0
p1,1,0.554268,0.349727,[ 1 31] ; [ 2 30],[ 1.5 30.5] ; [ 1.5 30.5],0
n2,1,0.57649,0.311943,[8 4] ; [9 7],[7.28571429 4.71428571] ; [9.71428571 6.28571429],0
d2,1,0.578185,0.309179,[10 22] ; [ 8 24],[ 9. 23.] ; [ 9. 23.],0
v1,1,0.578185,0.309179,[10 22] ; [ 8 24],[ 9. 23.] ; [ 9. 23.],0
n5,1,0.605577,0.266667,[19 13] ; [21 11],[20. 12.] ; [20. 12.],0
p10,1,0.611267,0.258333,[17 14] ; [15 16],[16. 15.] ; [16. 15.],0
p3,1,0.613251,0.255468,[ 7 24] ; [ 9 23],[ 7.87301587 23.12698413] ; [ 8.12698413 23.87301587],0
v4,1,0.614295,0.253968,[19 13] ; [17 15],[18. 14.] ; [18. 14.],0
n1,1,0.629063,0.233333,[4 8] ; [ 4 12],[3.42857143 8.57142857] ; [ 4.57142857 11.42857143],0
a1,1,0.641374,0.216949,[ 3 29] ; [ 2 30],[ 2.5 29.5] ; [ 2.5 29.5],0
r4,1,0.756033,0.096531,[ 7 25] ; [ 6 26],[ 6.5 25.5] ; [ 6.5 25.5],0
v3,1,0.756033,0.096531,[ 6 26] ; [ 7 25],[ 6.5 25.5] ; [ 6.5 25.5],0
s6,1,0.794466,0.067869,[11 21] ; [12 20],[11.5 20.5] ; [11.5 20.5],0
b5,1,0.800184,0.064064,[19 13] ; [18 14],[18.5 13.5] ; [18.5 13.5],0
p4,1,0.800184,0.064064,[13 19] ; [14 18],[13.5 18.5] ; [13.5 18.5],0
p7,1,0.801732,0.063054,[14 18] ; [15 17],[14.5 17.5] ; [14.5 17.5],0
p9,1,0.912117,0.012181,[18 13] ; [17 13],[17.78688525 13.21311475] ; [17.21311475 12.78688525],0
b2,1,0.97161,0.001267,[ 5 13] ; [ 6 16],[ 4.95 13.05] ; [ 6.05 15.95],0
b3,1,0.97161,0.001267,[ 5 13] ; [ 6 16],[ 4.95 13.05] ; [ 6.05 15.95],0
p2,1,1.0,0.0,[19 13] ; [19 13],[19. 13.] ; [19. 13.],0
b4,1,1.0,0.0,[17 15] ; [17 15],[17. 15.] ; [17. 15.],0
s4,1,1.0,0.0,[ 5 27] ; [ 5 27],[ 5. 27.] ; [ 5. 27.],0
