Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4e-06,21.464092,[19  3] ; [34 70],[ 9.25396825 12.74603175] ; [43.74603175 60.25396825],1
s4,1,0.000455,12.289557,[ 8 14] ; [ 9 97],[ 2.921875 19.078125] ; [14.078125 91.921875],1
p4,1,0.00117,10.536361,[14  8] ; [29 76],[ 7.4488189 14.5511811] ; [35.5511811 69.4488189],0
p3,1,0.002455,9.17354,[12 10] ; [24 82],[ 6.1875 15.8125] ; [29.8125 76.1875],0
p8,1,0.006083,7.525609,[12 10] ; [26 78],[ 6.63492063 15.36507937] ; [31.36507937 72.63492063],0
s5,1,0.007835,7.070841,[ 6 14] ; [ 9 94],[ 2.43902439 17.56097561] ; [12.56097561 90.43902439],0
p2,1,0.015089,5.906086,[18  4] ; [57 49],[12.890625  9.109375] ; [62.109375 43.890625],0
b1,1,0.023662,5.119228,[16  6] ; [49 57],[11.171875 10.828125] ; [53.828125 52.171875],0
s7,1,0.027606,4.852535,[ 8 13] ; [16 80],[ 4.30769231 16.69230769] ; [19.69230769 76.30769231],0
r3,1,0.058267,3.586049,[20  2] ; [76 30],[16.5  5.5] ; [79.5 26.5],0
s6,1,0.073397,3.205369,[11 11] ; [32 74],[ 7.390625 14.609375] ; [35.609375 70.390625],0
a5,1,0.093225,2.817783,[ 9 13] ; [64 42],[12.546875  9.453125] ; [60.453125 45.546875],0
v2,1,0.101998,2.674015,[12 10] ; [35 63],[ 8.61666667 13.38333333] ; [38.38333333 59.61666667],0
b5,1,0.102205,2.670794,[16  6] ; [57 49],[12.546875  9.453125] ; [60.453125 45.546875],0
v3,1,0.103617,2.648972,[ 2 19] ; [26 74],[ 4.85950413 16.14049587] ; [23.14049587 76.85950413],0
b3,1,0.148106,2.091651,[4 5] ; [13 46],[2.25 6.75] ; [14.75 44.25],0
b2,1,0.148106,2.091651,[4 5] ; [13 46],[2.25 6.75] ; [14.75 44.25],0
u3,1,0.178374,1.811115,[3 7] ; [21 18],[4.89795918 5.10204082] ; [19.10204082 19.89795918],0
p11,1,0.178976,1.806103,[13  9] ; [46 60],[10.140625 11.859375] ; [48.859375 57.140625],0
p1,1,0.187941,1.733682,[ 3 19] ; [ 6 99],[ 1.55905512 20.44094488] ; [ 7.44094488 97.55905512],0
p5,1,0.21838,1.514984,[ 1 21] ; [  1 104],[ 0.34645669 21.65354331] ; [  1.65354331 103.34645669],0
n2,1,0.220616,1.50036,[10  3] ; [22 16],[8.15686275 4.84313725] ; [23.84313725 14.15686275],0
a4,1,0.28496,1.14328,[11 11] ; [40 66],[ 8.765625 13.234375] ; [42.234375 63.765625],0
s2,1,0.296932,1.087922,[ 8 14] ; [27 79],[ 6.015625 15.984375] ; [28.984375 77.015625],0
v4,1,0.347013,0.884349,[18  4] ; [75 29],[16.23809524  5.76190476] ; [76.76190476 27.23809524],0
v1,1,0.356404,0.850526,[ 9 13] ; [32 72],[ 7.15873016 14.84126984] ; [33.84126984 70.15873016],0
p10,1,0.357992,0.844925,[12 10] ; [46 59],[10.04724409 11.95275591] ; [47.95275591 57.04724409],0
p9,1,0.376988,0.7805,[14  8] ; [56 49],[12.12598425  9.87401575] ; [57.87401575 47.12598425],0
u2,1,0.390008,0.738916,[7 3] ; [22 18],[5.8 4.2] ; [23.2 16.8],0
d5,1,0.424129,0.638845,[16  6] ; [67 38],[14.37795276  7.62204724] ; [68.62204724 36.37795276],0
a3,1,0.46649,0.530278,[12 10] ; [66 39],[13.51181102  8.48818898] ; [64.48818898 40.51181102],0
a6,1,0.473483,0.513836,[15  7] ; [63 42],[13.51181102  8.48818898] ; [64.48818898 40.51181102],0
d4,1,0.48518,0.487198,[14  8] ; [74 30],[15.36507937  6.63492063] ; [72.63492063 31.36507937],0
d1,1,0.600281,0.274572,[ 7 15] ; [40 66],[ 8.078125 13.921875] ; [38.921875 67.078125],0
r2,1,0.613833,0.254631,[17  5] ; [86 19],[17.84251969  4.15748031] ; [85.15748031 19.84251969],0
n5,1,0.629063,0.233333,[10 11] ; [44 61],[ 9. 12.] ; [45. 60.],0
a8,1,0.649239,0.20686,[ 1 19] ; [ 8 93],[ 1.48760331 18.51239669] ; [ 7.51239669 93.48760331],0
a7,1,0.654114,0.200753,[13  9] ; [68 38],[13.921875  8.078125] ; [67.078125 38.921875],0
s1,1,0.716643,0.131732,[ 1 21] ; [ 7 99],[ 1.375 20.625] ; [ 6.625 99.375],0
a2,1,0.716643,0.131732,[ 4 18] ; [16 90],[ 3.4375 18.5625] ; [16.5625 89.4375],0
n3,1,0.72872,0.120291,[9 4] ; [23 13],[8.48979592 4.51020408] ; [23.51020408 12.48979592],0
d2,1,0.740441,0.109739,[ 9 13] ; [39 66],[ 8.31496063 13.68503937] ; [39.68503937 65.31496063],0
n4,1,0.746869,0.104181,[11 11] ; [57 49],[11.6875 10.3125] ; [56.3125 49.6875],0
d3,1,0.748428,0.102857,[11 10] ; [59 46],[11.66666667  9.33333333] ; [58.33333333 46.66666667],0
s3,1,0.823098,0.04998,[10 12] ; [45 60],[ 9.52755906 12.47244094] ; [45.47244094 59.52755906],0
r4,1,0.838869,0.041347,[14  8] ; [65 41],[13.578125  8.421875] ; [65.421875 40.578125],0
r1,1,0.852257,0.034685,[14  8] ; [69 36],[14.37795276  7.62204724] ; [68.62204724 36.37795276],0
n1,1,0.948556,0.004163,[5 8] ; [15 23],[5.09803922 7.90196078] ; [14.90196078 23.09803922],0
b4,1,0.988266,0.000216,[12 10] ; [58 48],[12.03125  9.96875] ; [57.96875 48.03125],0
