Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,55.587481,[26 52] ; [238  70],[53.34715026 24.65284974] ; [210.65284974  97.34715026],1
s5,1,0.0,44.8591,[ 7 71] ; [155 149],[33.07853403 44.92146597] ; [128.92146597 175.07853403],1
s6,1,0.0,30.783588,[51 28] ; [280  32],[66.87723785 12.12276215] ; [264.12276215  47.87723785],1
s8,1,1e-06,24.103667,[30 51] ; [212 105],[49.25125628 31.74874372] ; [192.74874372 124.25125628],1
p4,1,9.6e-05,15.222085,[38 43] ; [222  95],[52.91457286 28.08542714] ; [207.08542714 109.91457286],1
p9,1,0.000145,14.437126,[61 20] ; [288  29],[71.02763819  9.97236181] ; [277.97236181  39.02763819],1
v1,1,0.000559,11.909291,[32 47] ; [191 117],[45.52196382 33.47803618] ; [177.47803618 130.52196382],1
d4,1,0.00066,11.599593,[56 24] ; [272  44],[66.26262626 13.73737374] ; [261.73737374  54.26262626],1
a3,1,0.001034,10.765154,[50 31] ; [252  66],[61.30827068 19.69172932] ; [240.69172932  77.30827068],0
r1,1,0.001481,10.10254,[56 24] ; [271  47],[65.72864322 14.27135678] ; [261.27135678  56.72864322],0
d1,1,0.002336,9.264675,[39 42] ; [212 107],[50.8275 30.1725] ; [200.1725 118.8275],0
v4,1,0.002371,9.237415,[71  9] ; [308  10],[76.18090452  3.81909548] ; [302.81909548  15.18090452],0
p10,1,0.004332,8.139248,[60 20] ; [278  39],[68.11083123 11.88916877] ; [269.88916877  47.11083123],0
p12,1,0.005391,7.743455,[ 2 78] ; [ 43 275],[ 9.04522613 70.95477387] ; [ 35.95477387 282.04522613],0
v2,1,0.010741,6.507738,[33 44] ; [180 125],[42.93455497 34.06544503] ; [170.06544503 134.93455497],0
s4,1,0.019417,5.463583,[ 9 72] ; [ 72 243],[16.56818182 64.43181818] ; [ 64.43181818 250.56818182],0
a5,1,0.02867,4.78734,[52 29] ; [243  76],[59.7375 21.2625] ; [235.2625  83.7375],0
p6,1,0.029244,4.753193,[26 55] ; [143 171],[34.6556962 46.3443038] ; [134.3443038 179.6556962],0
r2,1,0.031589,4.620681,[74  6] ; [308   8],[77.17171717  2.82828283] ; [304.82828283  11.17171717],0
a4,1,0.033314,4.52958,[29 51] ; [158 161],[37.49373434 42.50626566] ; [149.50626566 169.49373434],0
d5,1,0.059106,3.562286,[60 21] ; [263  53],[65.90176322 15.09823678] ; [257.09823678  58.90176322],0
