Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4e-06,21.37699,[64 23] ; [23 41],[50.12582781 36.87417219] ; [36.87417219 27.12582781],1
r3,1,0.000174,14.08792,[84  4] ; [50 17],[76.07741935 11.92258065] ; [57.92258065  9.07741935],1
p2,1,0.000231,13.556809,[69 17] ; [35 32],[58.45751634 27.54248366] ; [45.54248366 21.45751634],1
p9,1,0.00025,13.413106,[69 19] ; [32 32],[58.47368421 29.52631579] ; [42.52631579 21.47368421],1
v4,1,0.000417,12.454448,[83  4] ; [51 16],[75.7012987 11.2987013] ; [58.2987013  8.7012987],1
s8,1,0.000611,11.743026,[35 53] ; [10 58],[25.38461538 62.61538462] ; [19.61538462 48.38461538],1
r4,1,0.000659,11.601456,[78 10] ; [45 23],[69.38461538 18.61538462] ; [53.61538462 14.38461538],1
p7,1,0.002525,9.122512,[47 35] ; [21 44],[37.93197279 44.06802721] ; [30.06802721 34.93197279],0
p4,1,0.004461,8.085853,[44 42] ; [19 48],[35.41176471 50.58823529] ; [27.58823529 39.41176471],0
n2,1,0.005521,7.700493,[22  2] ; [18 13],[17.45454545  6.54545455] ; [22.54545455  8.45454545],0
p8,1,0.032236,4.585884,[37 49] ; [17 48],[30.75496689 55.24503311] ; [23.24503311 41.75496689],0
b5,1,0.048705,3.885486,[59 29] ; [35 33],[53.02564103 34.97435897] ; [40.97435897 27.02564103],0
u3,1,0.064994,3.405141,[24  6] ; [13 10],[20.94339623  9.05660377] ; [16.05660377  6.94339623],0
s1,1,0.070323,3.275466,[ 2 83] ; [ 6 61],[ 4.47368421 80.52631579] ; [ 3.52631579 63.47368421],0
d2,1,0.072817,3.21834,[32 56] ; [34 33],[37.47096774 50.52903226] ; [28.52903226 38.47096774],0
n1,1,0.104686,2.632657,[12 10] ; [10 21],[ 9.13207547 12.86792453] ; [12.86792453 18.13207547],0
a1,1,0.150366,2.068537,[ 3 85] ; [ 6 62],[ 5.07692308 82.92307692] ; [ 3.92307692 64.07692308],0
v2,1,0.153053,2.041552,[41 41] ; [24 39],[36.75862069 45.24137931] ; [28.24137931 34.75862069],0
n4,1,0.1639,1.937873,[50 38] ; [31 37],[45.69230769 42.30769231] ; [35.30769231 32.69230769],0
a2,1,0.167938,1.901256,[12 76] ; [15 53],[15.23076923 72.76923077] ; [11.76923077 56.23076923],0
u2,1,0.200243,1.640598,[22  8] ; [13 10],[19.81132075 10.18867925] ; [15.18867925  7.81132075],0
r1,1,0.210347,1.569038,[69 18] ; [48 20],[65.67096774 21.32903226] ; [51.32903226 16.67096774],0
a4,1,0.214188,1.54289,[29 59] ; [29 39],[32.71794872 55.28205128] ; [25.28205128 42.71794872],0
s4,1,0.255967,1.290441,[11 77] ; [13 55],[13.53846154 74.46153846] ; [10.46153846 57.53846154],0
v1,1,0.27351,1.19906,[40 45] ; [26 42],[36.66666667 48.33333333] ; [29.33333333 38.66666667],0
b1,1,0.285108,1.142579,[39 49] ; [36 32],[42.30769231 45.69230769] ; [32.69230769 35.30769231],0
p5,1,0.287333,1.132078,[ 6 81] ; [ 2 64],[ 4.54901961 82.45098039] ; [ 3.45098039 62.54901961],0
d5,1,0.331931,0.941349,[69 19] ; [48 19],[66.42580645 21.57419355] ; [50.57419355 16.42580645],0
s6,1,0.355024,0.855417,[46 42] ; [30 37],[43.1483871 44.8516129] ; [32.8516129 34.1483871],0
a5,1,0.363857,0.824538,[58 30] ; [40 28],[55.28205128 32.71794872] ; [42.71794872 25.28205128],0
s3,1,0.36865,0.808211,[48 38] ; [33 35],[45.23376623 40.76623377] ; [35.76623377 32.23376623],0
p6,1,0.408562,0.682982,[20 63] ; [12 53],[17.94594595 65.05405405] ; [14.05405405 50.94594595],0
d4,1,0.414095,0.667013,[69 19] ; [48 18],[66.85714286 21.14285714] ; [50.14285714 15.85714286],0
p3,1,0.424492,0.637845,[34 53] ; [22 45],[31.63636364 55.36363636] ; [24.36363636 42.63636364],0
