Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.970332,[96 67] ; [96 15],[114.2189781  48.7810219] ; [77.7810219 33.2189781],1
p8,1,0.000812,11.213517,[84 77] ; [81 31],[97.30769231 63.69230769] ; [67.69230769 44.30769231],1
a2,1,0.004407,8.107913,[ 25 139] ; [33 79],[ 34.46376812 129.53623188] ; [23.53623188 88.46376812],0
s5,1,0.005499,7.70755,[ 37 123] ; [42 66],[ 47.1641791 112.8358209] ; [31.8358209 76.1641791],0
p9,1,0.006026,7.542529,[125  39] ; [100  12],[133.69565217  30.30434783] ; [91.30434783 20.69565217],0
a4,1,0.007099,7.247717,[66 98] ; [63 48],[76.93090909 87.06909091] ; [52.06909091 58.93090909],0
b3,1,0.007187,7.225527,[19 73] ; [28 42],[26.69135802 65.30864198] ; [20.30864198 49.69135802],0
b2,1,0.007187,7.225527,[19 73] ; [28 42],[26.69135802 65.30864198] ; [20.30864198 49.69135802],0
p12,1,0.009293,6.765561,[  5 159] ; [ 12 100],[ 10.10144928 153.89855072] ; [  6.89855072 105.10144928],0
p3,1,0.014623,5.961376,[96 67] ; [82 30],[105.50545455  57.49454545] ; [72.49454545 39.50545455],0
p10,1,0.01736,5.659643,[124  40] ; [96 14],[131.67883212  32.32116788] ; [88.32116788 21.67883212],0
s4,1,0.017965,5.599531,[ 19 144] ; [24 83],[ 25.95925926 137.04074074] ; [17.04074074 89.95925926],0
p2,1,0.020941,5.331674,[138  25] ; [105   7],[144.03272727  18.96727273] ; [98.96727273 13.03272727],0
s7,1,0.021949,5.249825,[ 43 114] ; [43 62],[ 51.53435115 105.46564885] ; [34.46564885 70.53435115],0
a3,1,0.041526,4.154412,[97 67] ; [79 32],[104.96  59.04] ; [71.04 39.96],0
d2,1,0.046105,3.977764,[65 99] ; [58 54],[73.08695652 90.91304348] ; [49.91304348 62.08695652],0
n4,1,0.051276,3.799231,[118  46] ; [92 20],[124.7826087  39.2173913] ; [85.2173913 26.7826087],0
p5,1,0.054699,3.691227,[ 15 148] ; [19 93],[ 20.15272727 142.84727273] ; [13.84727273 98.15272727],0
p1,1,0.062119,3.479896,[ 12 151] ; [16 96],[ 16.59636364 146.40363636] ; [ 11.40363636 100.59636364],0
s2,1,0.097169,2.751403,[ 53 110] ; [47 64],[ 59.48905109 103.51094891] ; [40.51094891 70.48905109],0
r2,1,0.109735,2.558039,[145  18] ; [104   6],[148.67032967  14.32967033] ; [100.32967033   9.67032967],0
b5,1,0.119019,2.430188,[99 65] ; [57 55],[92.69565217 71.30434783] ; [63.30434783 48.69565217],0
p11,1,0.12029,2.413541,[125  39] ; [94 18],[130.13043478  33.86956522] ; [88.86956522 23.13043478],0
d3,1,0.123865,2.367754,[112  52] ; [86 26],[117.65217391  46.34782609] ; [80.34782609 31.65217391],0
u1,1,0.12401,2.365931,[ 21 143] ; [22 90],[ 25.55072464 138.44927536] ; [17.44927536 94.55072464],0
n5,1,0.149363,2.07874,[117  47] ; [87 23],[122.10218978  41.89781022] ; [81.89781022 28.10218978],0
b4,1,0.174182,1.846579,[89 75] ; [70 42],[94.47826087 69.52173913] ; [64.52173913 47.47826087],0
s1,1,0.178293,1.811793,[  8 155] ; [  2 109],[  5.94890511 157.05109489] ; [  4.05109489 106.94890511],0
d1,1,0.189945,1.718043,[85 79] ; [67 45],[90.31884058 73.68115942] ; [61.68115942 50.31884058],0
s6,1,0.192984,1.694687,[91 69] ; [70 38],[96.11940299 63.88059701] ; [64.88059701 43.11940299],0
n6,1,0.247288,1.338563,[134  29] ; [97 14],[137.41970803  25.58029197] ; [93.58029197 17.41970803],0
v4,1,0.260243,1.267466,[151  13] ; [106   5],[153.26545455  10.73454545] ; [103.73454545   7.26545455],0
r1,1,0.359314,0.840288,[123  40] ; [89 22],[126.11678832  36.88321168] ; [85.88321168 25.11678832],0
r4,1,0.366283,0.816234,[142  22] ; [101  11],[144.39130435  19.60869565] ; [98.60869565 13.39130435],0
n1,1,0.398512,0.712812,[10 21] ; [10 13],[11.48148148 19.51851852] ; [ 8.51851852 14.48148148],0
a1,1,0.461285,0.542776,[  7 157] ; [  7 105],[  8.31884058 155.68115942] ; [  5.68115942 106.31884058],0
v3,1,0.551851,0.354011,[ 52 106] ; [39 68],[ 54.25660377 103.74339623] ; [36.74339623 70.25660377],0
a7,1,0.566993,0.32774,[124  40] ; [88 24],[125.97101449  38.02898551] ; [86.02898551 25.97101449],0
v1,1,0.591947,0.287314,[80 79] ; [59 51],[82.1598513 76.8401487] ; [56.8401487 53.1598513],0
b1,1,0.592856,0.285907,[65 99] ; [48 64],[67.14492754 96.85507246] ; [45.85507246 66.14492754],0
v2,1,0.618622,0.24781,[85 73] ; [62 47],[86.98876404 71.01123596] ; [60.01123596 48.98876404],0
a8,1,0.631866,0.229539,[ 15 134] ; [ 8 89],[ 13.93089431 135.06910569] ; [ 9.06910569 87.93089431],0
s3,1,0.647365,0.209239,[67 95] ; [49 62],[68.83516484 93.16483516] ; [47.16483516 63.83516484],0
a5,1,0.666251,0.186019,[121  43] ; [80 32],[119.43478261  44.56521739] ; [81.56521739 30.43478261],0
r3,1,0.673477,0.177562,[153  11] ; [104   6],[153.82481752  10.17518248] ; [103.17518248   6.82481752],0
n2,1,0.679439,0.170758,[22  8] ; [18  5],[22.64150943  7.35849057] ; [17.35849057  5.64150943],0
u2,1,0.723615,0.125055,[33 32] ; [18 15],[33.82653061 31.17346939] ; [17.17346939 15.82653061],0
n3,1,0.797393,0.065906,[23  8] ; [17  5],[23.39622642  7.60377358] ; [16.60377358  5.39622642],0
u3,1,0.818211,0.05283,[37 28] ; [19 13],[37.5257732 27.4742268] ; [18.4742268 13.5257732],0
d5,1,0.926498,0.00851,[134  30] ; [92 20],[134.28985507  29.71014493] ; [91.71014493 20.28985507],0
d4,1,0.93311,0.007045,[131  33] ; [89 23],[130.72463768  33.27536232] ; [89.27536232 22.72463768],0
a6,1,0.935999,0.006448,[112  52] ; [77 35],[112.30434783  51.69565217] ; [76.69565217 35.30434783],0
