Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,7.8e-05,15.613681,[17  8] ; [ 3 21],[10.20408163 14.79591837] ; [ 9.79591837 14.20408163],1
p6,1,7.8e-05,15.613681,[17  8] ; [ 3 21],[10.20408163 14.79591837] ; [ 9.79591837 14.20408163],1
p8,1,0.000509,12.083916,[17  7] ; [ 5 19],[11. 13.] ; [11. 13.],1
v1,1,0.000906,11.011114,[17  8] ; [ 5 19],[11.2244898 13.7755102] ; [10.7755102 13.2244898],1
p7,1,0.006482,7.41125,[19  6] ; [ 9 15],[14.28571429 10.71428571] ; [13.71428571 10.28571429],0
s5,1,0.017073,5.688889,[13 11] ; [ 5 19],[ 9. 15.] ; [ 9. 15.],0
a5,1,0.027423,4.863971,[20  5] ; [12 12],[16.32653061  8.67346939] ; [15.67346939  8.32653061],0
r1,1,0.031962,4.600556,[18  7] ; [10 14],[14.28571429 10.71428571] ; [13.71428571 10.28571429],0
a4,1,0.037959,4.306876,[11 14] ; [ 4 20],[ 7.65306122 17.34693878] ; [ 7.34693878 16.65306122],0
d1,1,0.061514,3.496098,[15 10] ; [ 8 16],[11.73469388 13.26530612] ; [11.26530612 12.73469388],0
p9,1,0.073592,3.201021,[22  3] ; [16  8],[19.3877551  5.6122449] ; [18.6122449  5.3877551],0
u2,1,0.095437,2.780183,[1 8] ; [5 6],[2.7 6.3] ; [3.3 7.7],0
n1,1,0.114758,2.487446,[4 3] ; [2 8],[2.47058824 4.52941176] ; [3.52941176 6.47058824],0
n4,1,0.117017,2.456806,[17  8] ; [11 13],[14.28571429 10.71428571] ; [13.71428571 10.28571429],0
s8,1,0.125437,2.348091,[ 9 16] ; [ 4 20],[ 6.63265306 18.36734694] ; [ 6.36734694 17.63265306],0
n3,1,0.129392,2.299784,[6 1] ; [5 5],[4.52941176 2.47058824] ; [6.47058824 3.52941176],0
p10,1,0.136097,2.221543,[22  3] ; [17  7],[19.89795918  5.10204082] ; [19.10204082  4.89795918],0
r4,1,0.158401,1.989429,[21  4] ; [16  8],[18.87755102  6.12244898] ; [18.12244898  5.87755102],0
a2,1,0.171329,1.87128,[ 4 21] ; [ 1 23],[ 2.55102041 22.44897959] ; [ 2.44897959 21.55102041],0
b5,1,0.176189,1.829477,[13 12] ; [17  7],[15.30612245  9.69387755] ; [14.69387755  9.30612245],0
p2,1,0.187406,1.737891,[19  6] ; [14 10],[16.83673469  8.16326531] ; [16.16326531  7.83673469],0
s7,1,0.220671,1.5,[10 14] ; [ 6 18],[ 8. 16.] ; [ 8. 16.],0
d5,1,0.249596,1.325561,[20  5] ; [15  8],[18.22916667  6.77083333] ; [16.77083333  6.22916667],0
