Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000785,11.277291,[ 7 34] ; [9 5],[11.92727273 29.07272727] ; [4.07272727 9.92727273],1
p4,1,0.000785,11.277291,[ 7 34] ; [9 5],[11.92727273 29.07272727] ; [4.07272727 9.92727273],1
p6,1,0.000785,11.27694,[ 1 38] ; [5 9],[ 4.41509434 34.58490566] ; [ 1.58490566 12.41509434],1
v2,1,0.002136,9.428844,[ 8 32] ; [9 5],[12.59259259 27.40740741] ; [4.40740741 9.59259259],0
s8,1,0.002799,8.934249,[ 2 39] ; [5 9],[ 5.21818182 35.78181818] ; [ 1.78181818 12.21818182],0
r1,1,0.003021,8.794933,[11 30] ; [10  4],[15.65454545 25.34545455] ; [5.34545455 8.65454545],0
r3,1,0.005256,7.7893,[17 23] ; [12  2],[21.48148148 18.51851852] ; [7.51851852 6.48148148],0
p2,1,0.008068,7.01826,[10 30] ; [9 5],[14.07407407 25.92592593] ; [4.92592593 9.07407407],0
n6,1,0.018234,5.573571,[14 26] ; [10  4],[17.77777778 22.22222222] ; [6.22222222 7.77777778],0
d5,1,0.033044,4.543476,[22 19] ; [12  2],[25.34545455 15.65454545] ; [8.65454545 5.34545455],0
p3,1,0.048845,3.880662,[ 5 36] ; [5 9],[ 7.45454545 33.54545455] ; [ 2.54545455 11.45454545],0
u3,1,0.050681,3.818782,[ 1 16] ; [2 3],[ 2.31818182 14.68181818] ; [0.68181818 4.31818182],0
p8,1,0.054291,3.703734,[ 5 35] ; [5 9],[ 7.40740741 32.59259259] ; [ 2.59259259 11.40740741],0
p5,1,0.067973,3.331312,[ 2 38] ; [ 3 11],[ 3.7037037 36.2962963] ; [ 1.2962963 12.7037037],0
p7,1,0.073405,3.205184,[10 31] ; [7 7],[12.67272727 28.32727273] ; [4.32727273 9.67272727],0
s5,1,0.092279,2.834161,[ 4 36] ; [ 4 10],[ 5.92592593 34.07407407] ; [ 2.07407407 11.92592593],0
d3,1,0.101226,2.686121,[16 25] ; [9 5],[18.63636364 22.36363636] ; [6.36363636 7.63636364],0
p11,1,0.101226,2.686121,[16 25] ; [9 5],[18.63636364 22.36363636] ; [6.36363636 7.63636364],0
p10,1,0.103556,2.649907,[13 27] ; [8 6],[15.55555556 24.44444444] ; [5.44444444 8.55555556],0
s7,1,0.107626,2.588733,[ 6 33] ; [5 9],[ 8.09433962 30.90566038] ; [ 2.90566038 11.09433962],0
p9,1,0.134775,2.236622,[16 23] ; [9 5],[18.39622642 20.60377358] ; [6.60377358 7.39622642],0
u2,1,0.150164,2.070588,[ 2 15] ; [2 3],[ 3.09090909 13.90909091] ; [0.90909091 4.09090909],0
n1,1,0.161178,1.963141,[11  9] ; [1 4],[ 9.6 10.4] ; [2.4 2.6],0
b5,1,0.187773,1.735005,[18 23] ; [9 5],[20.12727273 20.87272727] ; [6.87272727 7.12727273],0
n3,1,0.192582,1.697755,[ 9 10] ; [4 1],[10.29166667  8.70833333] ; [2.70833333 2.29166667],0
