Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3.2e-05,17.302556,[110  24] ; [21 21],[99.73863636 34.26136364] ; [31.26136364 10.73863636],1
a6,1,5.9e-05,16.137753,[100  35] ; [17 25],[89.23728814 45.76271186] ; [27.76271186 14.23728814],1
p2,1,0.000162,14.22217,[103  29] ; [20 22],[93.31034483 38.68965517] ; [29.68965517 12.31034483],1
a1,1,0.002696,9.002237,[  1 134] ; [ 4 38],[  3.81355932 131.18644068] ; [ 1.18644068 40.81355932],0
r1,1,0.017338,5.661878,[102  32] ; [24 18],[95.93181818 38.06818182] ; [30.06818182 11.93181818],0
p9,1,0.019742,5.434565,[102  28] ; [24 16],[96.35294118 33.64705882] ; [29.64705882 10.35294118],0
b1,1,0.025558,4.985673,[42 93] ; [21 21],[48.05084746 86.94915254] ; [14.94915254 27.05084746],0
n1,1,0.034272,4.481061,[10 38] ; [10 12],[13.71428571 34.28571429] ; [ 6.28571429 15.71428571],0
b5,1,0.041497,4.155622,[88 47] ; [20 22],[82.37288136 52.62711864] ; [25.62711864 16.37288136],0
v3,1,0.068268,3.324176,[38 88] ; [ 6 33],[33.6 92.4] ; [10.4 28.6],0
d1,1,0.077232,3.122203,[88 47] ; [21 21],[83.13559322 51.86440678] ; [25.86440678 16.13559322],0
a2,1,0.077674,3.112901,[ 25 110] ; [ 3 39],[ 21.3559322 113.6440678] ; [ 6.6440678 35.3559322],0
r3,1,0.082243,3.020002,[126   8] ; [36  6],[123.34090909  10.65909091] ; [38.65909091  3.34090909],0
n2,1,0.087816,2.913969,[27 20] ; [18  5],[30.21428571 16.78571429] ; [14.78571429  8.21428571],0
a4,1,0.093481,2.813383,[45 90] ; [20 22],[49.57627119 85.42372881] ; [15.42372881 26.57627119],0
s1,1,0.126456,2.335482,[  3 131] ; [ 3 39],[  4.56818182 129.43181818] ; [ 1.43181818 40.56818182],0
s5,1,0.136842,2.213121,[39 94] ; [16 22],[42.77777778 90.22222222] ; [12.22222222 25.77777778],0
p10,1,0.139732,2.180906,[95 35] ; [25 16],[91.22807018 38.77192982] ; [28.77192982 12.22807018],0
p6,1,0.167455,1.90558,[ 28 104] ; [13 28],[ 31.28323699 100.71676301] ; [ 9.71676301 31.28323699],0
s4,1,0.177669,1.817015,[ 31 104] ; [14 28],[ 34.3220339 100.6779661] ; [10.6779661 31.3220339],0
d2,1,0.186811,1.742593,[52 83] ; [21 21],[55.6779661 79.3220339] ; [17.3220339 24.6779661],0
n5,1,0.199137,1.64869,[40 94] ; [17 25],[43.39772727 90.60227273] ; [13.60227273 28.39772727],0
p7,1,0.248131,1.333798,[60 68] ; [24 18],[63.24705882 64.75294118] ; [20.75294118 21.24705882],0
v2,1,0.281861,1.158094,[70 55] ; [19 22],[67.01807229 57.98192771] ; [21.98192771 19.01807229],0
d4,1,0.294168,1.100446,[118  17] ; [34  8],[115.93220339  19.06779661] ; [36.06779661  5.93220339],0
p1,1,0.327573,0.958468,[  7 125] ; [ 4 38],[  8.34482759 123.65517241] ; [ 2.65517241 39.34482759],0
a5,1,0.330921,0.94529,[82 53] ; [29 13],[84.66101695 50.33898305] ; [26.33898305 15.66101695],0
r4,1,0.386167,0.750978,[111  24] ; [32 10],[109.06779661  25.93220339] ; [33.93220339  8.06779661],0
p8,1,0.402292,0.701466,[60 72] ; [16 26],[57.65517241 74.34482759] ; [18.34482759 23.65517241],0
v4,1,0.432803,0.615291,[125   8] ; [38  4],[123.88   9.12] ; [39.12  2.88],0
p4,1,0.4451,0.5831,[58 76] ; [21 21],[60.14772727 73.85227273] ; [18.85227273 23.14772727],0
s3,1,0.496142,0.46318,[65 68] ; [18 24],[63.08 69.92] ; [19.92 22.08],0
p5,1,0.554939,0.348543,[  6 127] ; [ 1 40],[  5.35057471 127.64942529] ; [ 1.64942529 39.35057471],0
u3,1,0.608992,0.261645,[34 15] ; [10  6],[33.16923077 15.83076923] ; [10.83076923  5.16923077],0
n3,1,0.65885,0.194923,[31 17] ; [13  9],[30.17142857 17.82857143] ; [13.82857143  8.17142857],0
b4,1,0.677795,0.172618,[82 53] ; [24 18],[80.84745763 54.15254237] ; [25.15254237 16.84745763],0
r2,1,0.713584,0.134723,[122  12] ; [39  3],[122.57954545  11.42045455] ; [38.42045455  3.57954545],0
s7,1,0.720896,0.127636,[42 86] ; [14 25],[42.92215569 85.07784431] ; [13.07784431 25.92215569],0
a8,1,0.757068,0.095687,[  2 120] ; [ 1 41],[  2.23170732 119.76829268] ; [ 0.76829268 41.23170732],0
b2,1,0.793927,0.068233,[21 45] ; [ 8 15],[21.50561798 44.49438202] ; [ 7.49438202 15.50561798],0
b3,1,0.793927,0.068233,[21 45] ; [ 8 15],[21.50561798 44.49438202] ; [ 7.49438202 15.50561798],0
u2,1,0.836202,0.042747,[29 20] ; [9 7],[28.64615385 20.35384615] ; [9.35384615 6.64615385],0
p12,1,0.85429,0.033727,[  4 130] ; [ 1 40],[  3.82857143 130.17142857] ; [ 1.17142857 39.82857143],0
s8,1,0.870853,0.02643,[41 94] ; [13 28],[41.42045455 93.57954545] ; [12.57954545 28.42045455],0
p3,1,0.894748,0.017503,[49 84] ; [15 27],[48.64 84.36] ; [15.36 26.64],0
n6,1,0.894748,0.017503,[84 49] ; [27 15],[84.36 48.64] ; [26.64 15.36],0
a3,1,0.90143,0.01534,[85 50] ; [26 16],[84.66101695 50.33898305] ; [26.33898305 15.66101695],0
s2,1,0.95121,0.003744,[60 75] ; [18 23],[59.82954545 75.17045455] ; [18.17045455 22.82954545],0
s6,1,0.959483,0.002581,[81 53] ; [24 16],[80.86206897 53.13793103] ; [24.13793103 15.86206897],0
p11,1,0.960717,0.002426,[83 52] ; [26 16],[83.13559322 51.86440678] ; [25.86440678 16.13559322],0
v1,1,0.980047,0.000626,[56 74] ; [18 24],[55.93023256 74.06976744] ; [18.06976744 23.93023256],0
